Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2013-12-01,Alabama,17.208333,39.3,18,37,0.013542,0.026,9,24,0.2853895,0.75,11,0.5,0.262879,0.65,8.5,3
2013-12-02,Alabama,20.6875,32.4,7,30,0.009375,0.013,0,12,0.5316665,2.1,11,1.5,0.3528125,0.485,8,3
2013-12-03,Alabama,14.9125,22.4,17,21,0.008167,0.012,22,11,0.2526315,1.3499999999999999,12.5,1.5,0.2375755,0.32499999999999996,4,1.5
2013-12-04,Alabama,7.825,19.3,17,18,0.011125,0.014,8,13,0.123052,0.95,17,0.5,0.1151515,0.22,18.5,1
2013-12-05,Alabama,8.004762,16,7,15,0.010083,0.014,18,13,-0.0142855,0.6000000000000001,2.5,0.5,0.1175755,0.2,17.5,1
2013-12-06,Alabama,6.05,10.2,19,9,0.001708,0.007,0,6,-0.1392855,0,10,0,0.140606,0.2,10,1
2013-12-07,Alabama,5.3,8.5,0,8,0.007,0.01,9,9,0.0022725,0.2,4,0,0.15412900000000002,0.195,12.5,1
2013-12-08,Alabama,8.5,10.9,22,9,0,0,0,0,0.419156,2.35,2.5,2,0.244962,0.355,14.5,1.5
2013-12-09,Alabama,6.083333,9.3,23,8,0.005458,0.008,6,7,-0.0316665,0.25,15.5,0,0.128139,0.22499999999999998,2.5,1.5
2013-12-10,Alabama,9.9875,28,21,26,0.010208,0.02,9,19,0.3185065,1.1,20,0.5,0.1538635,0.38,23,1.5
2013-12-11,Alabama,18.895833,28.6,17,26,0.010417,0.018,9,17,2.174026,9.5,11,8.5,0.27030299999999996,0.47000000000000003,9,2.5
