Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2014-07-01,Alaska,2.080952,4.1,9,4,0.013375,0.017,19,16,3.76875,4.25,10,3,0.29312499999999997,0.315,5.5,1.5
2014-07-02,Alaska,1.820833,4.2,6,4,0.010792,0.016,0,15,3.8979165,4.65,22.5,3,0.28729150000000003,0.305,11.5,1.5
2014-07-03,Alaska,2.954167,6.1,11,6,0.01225,0.021,14,19,4.7962735,7.9,11,6.5,0.2876085,0.315,5.5,1.5
2014-07-04,Alaska,3.240909,14,23,13,0.018458,0.03,11,28,4.5270835,8.05,16.5,6.5,0.259167,0.295,4,1.5
2014-07-05,Alaska,3.666667,10.9,0,9,0.023875,0.035,11,32,4.4041665000000005,5.4,9,4.5,0.2545835,0.32499999999999996,5.5,1.5
2014-07-06,Alaska,2.983333,6.7,2,6,0.016,0.02,11,19,4.547515499999999,6.6,13,5,0.27019899999999997,0.31,15,1.5
2014-07-07,Alaska,2.309091,5.5,8,5,0.012583,0.018,12,17,4.2583335,4.949999999999999,19.5,3.5,0.28625,0.32,11.5,1.5
2014-07-08,Alaska,2.17619,7,23,7,0.011708,0.017,9,16,3.6155844999999998,4.8,6.5,3.5,0.2435145,0.295,2.5,1.5
2014-07-09,Alaska,3.305556,7.8,23,7,0.011933,0.023,13,21,2.447647,3.45,4.5,2,0.20088250000000002,0.225,3.5,1
2014-07-10,Alaska,4.472222,11.4,22,10,0.0135,0.021,12,19,2.115,3.25,22.5,2,0.21000000000000002,0.29000000000000004,11,1
2014-07-11,Alaska,4.258333,8.4,22,8,0.010417,0.016,13,15,2.8020835,3.7,22.5,2,0.231875,0.345,16.5,1.5
2014-07-12,Alaska,1.733333,5.3,1,5,0.016917,0.022,12,20,2.929503,4.1,5,3,0.2088045,0.275,0,1.5
2014-07-13,Alaska,1.05,3.5,4,3,0.017583,0.02,9,19,2.8979165,5.4,16.5,4.5,0.19,0.20500000000000002,0,1
2014-07-14,Alaska,1.125,3.6,6,3,0.013833,0.016,6,15,2.6812500000000004,3.25,5,2,0.1852085,0.2,3,1
2014-07-15,Alaska,0.85,1.5,6,1,0.009208,0.012,0,11,2.846894,3.05,10,2,0.19652150000000002,0.20500000000000002,4,1
2014-07-16,Alaska,1.995455,5.2,6,5,0.0085,0.014,11,13,3.075,3.4,5,2,0.201875,0.23500000000000001,3,1
2014-07-17,Alaska,2.604167,7.3,22,7,0.009292,0.013,9,12,3.41875,4.9,16,3.5,0.2025,0.24000000000000002,11.5,1
2014-07-18,Alaska,2.033333,5.2,2,5,0.0125,0.017,13,16,3.534472,4.85,16.5,3.5,0.19260850000000002,0.225,3.5,1
2014-07-19,Alaska,0.85,1.6,21,1,0.015458,0.02,23,19,3.1708334999999996,3.5,22,2,0.1720835,0.225,4.5,1
2014-07-20,Alaska,0.804167,3.6,22,3,0.012542,0.019,0,18,3.1979165,4.35,22.5,3,0.12062500000000001,0.21500000000000002,23,1
2014-07-21,Alaska,2.966667,4.7,16,4,0.004458,0.008,10,7,3.546894,4.15,5.5,3,0.190652,0.23500000000000001,8,1
2014-07-22,Alaska,3.263636,7.2,14,7,0.008389,0.017,14,16,2.9370130000000003,5.4,11,4.5,0.19625,0.275,4,1
2014-07-23,Alaska,2.6375,5.4,0,5,0.010333,0.014,11,13,1.2791665,1.85,1,1.5,0.19708350000000002,0.22,5.5,1
2014-07-24,Alaska,2.191667,4.1,7,4,0.013542,0.017,7,16,1.1332300000000002,1.2999999999999998,1.5,0.5,0.18934800000000002,0.22,7.5,1
2014-07-25,Alaska,1.984615,5.6,23,5,0.010875,0.016,11,15,1.2291664999999998,1.9500000000000002,20,1.5,0.16749999999999998,0.21000000000000002,5.5,1
2014-07-26,Alaska,2.9,5.9,5,5,0.01375,0.022,10,20,1.8666665,5.699999999999999,13.5,5,0.1339585,0.21500000000000002,10.5,1
2014-07-27,Alaska,3.525,5.8,0,5,0.010083,0.016,12,15,1.9618015,3.9,13,3.5,0.15807949999999998,0.20500000000000002,10.5,1
2014-07-28,Alaska,3.754545,7.6,8,7,0.010458,0.019,13,18,2.2895835,4.35,14,3.5,0.185,0.21500000000000002,3,1
2014-07-29,Alaska,3.091667,8.3,0,8,0.01075,0.016,11,15,1.40625,2.65,4,2,0.15437499999999998,0.195,3,1
2014-07-30,Alaska,4.45,10.6,22,9,0.012333,0.022,11,20,2.172981,4.2,8,3.5,0.176848,0.23500000000000001,5.5,1
2014-07-31,Alaska,4.672727,9.2,19,8,0.014667,0.02,11,19,1.9604165,3.1500000000000004,13,2,0.2083335,0.245,9.5,1
2014-08-01,Alaska,1.7375,6.1,6,6,0.014708,0.017,0,16,1.4583335,1.55,1.5,0.5,0.20375,0.22,5.5,1
2014-08-02,Alaska,0.770833,2.5,22,2,0.015083,0.017,3,16,1.592236,1.75,13.5,0.5,0.199565,0.21500000000000002,11.5,1
2014-08-03,Alaska,2.313636,7.2,21,7,0.014375,0.022,12,20,2.0791665000000004,4,16.5,3,0.2058335,0.245,10,1
2014-08-04,Alaska,4.108333,8,9,8,0.0115,0.02,11,19,3.5333335,15.65,10,13.5,0.251458,0.395,9,1.5
2014-08-05,Alaska,3.808696,7.1,6,7,0.010333,0.018,10,17,2.0664594999999997,2.55,16.5,1.5,0.2127275,0.245,11.5,1
2014-08-06,Alaska,3.368182,7.8,21,7,0.010917,0.021,12,19,2.8062500000000004,6.9,10.5,5,0.2195835,0.32,9,1.5
2014-08-07,Alaska,3.479167,10.4,21,9,0.011958,0.023,12,21,2.09375,2.65,22.5,1.5,0.2010415,0.265,11,1
2014-08-08,Alaska,4.595833,14.1,23,13,0.012917,0.022,11,20,1.9152174999999998,2.85,1.5,2,0.183315,0.33499999999999996,12.5,1.5
2014-08-09,Alaska,3.336364,10.7,0,9,0.012208,0.017,8,16,1.7375,2.5,4.5,1.5,0.25104150000000003,0.71,8.5,2.5
2014-08-10,Alaska,1.879167,7.1,2,7,0.013125,0.017,9,16,1.9354165,3.0999999999999996,4.5,2,0.18604150000000003,0.20500000000000002,2,1
2014-08-11,Alaska,1.721429,3.8,5,3,0.01475,0.021,11,19,2.1130435,3.5999999999999996,14,3,0.1963045,0.21500000000000002,11.5,1
2014-08-12,Alaska,4.225,12.6,23,11,0.011417,0.02,11,19,2.0625,2.55,5,1.5,0.23625000000000002,0.32,8,1.5
2014-08-13,Alaska,3.95,10.2,0,9,0.014625,0.024,11,22,2.2458335,3.0999999999999996,6,2,0.232292,0.365,7,1.5
2014-08-14,Alaska,3.913333,8.8,7,8,0.0125,0.022,9,20,2.28,2.8,7.5,1.5,0.2133335,0.265,3.5,1
2014-08-15,Alaska,4.591667,13,21,12,0.012929,0.023,12,21,2.6416665,3.3,22,2,0.24220199999999997,0.32499999999999996,21.5,1.5
2014-08-16,Alaska,3.091667,9,0,8,0.013292,0.024,11,22,2.3520835,2.9,1,2,0.2252085,0.355,10.5,1.5
2014-08-17,Alaska,4.258333,8.3,5,8,0.00975,0.018,11,17,2.528261,3.1,7,2,0.227808,0.28500000000000003,0,1.5
2014-08-18,Alaska,2.268182,6.4,8,6,0.010417,0.016,12,15,2.3854165,3.05,7.5,2,0.23854199999999998,0.305,4.5,1.5
2014-08-19,Alaska,2.395833,9.5,21,8,0.009167,0.016,12,15,2.4916665,3.3,19,2,0.219583,0.32499999999999996,21.5,1.5
2014-08-20,Alaska,2.516667,5.2,8,5,0.010042,0.018,14,17,2.979193,4.7,13,3.5,0.24673899999999999,0.345,4,1.5
2014-08-21,Alaska,3.427273,7.7,6,7,0.010833,0.021,12,19,2.4166665,3,8.5,2,0.219375,0.32499999999999996,14.5,1.5
2014-08-22,Alaska,5.379167,11.7,9,10,0.009667,0.023,12,21,3.4625000000000004,8.65,10,6.5,0.24104150000000002,0.39,9,1.5
2014-08-23,Alaska,4.445833,7.5,22,7,0.011208,0.024,12,22,3.3919255,5.1,11,4.5,0.2260685,0.29000000000000004,3.5,1.5
2014-08-24,Alaska,4.245455,11.4,19,10,0.013458,0.023,11,21,2.7541665,3.95,7.5,3,0.2154165,0.255,10,1
2014-08-25,Alaska,3.754545,7.5,7,7,0.012542,0.02,10,19,2.9354164999999997,4.449999999999999,13,3.5,0.242708,0.32,16,1.5
2014-08-26,Alaska,1.595833,5.9,0,5,0.014542,0.018,13,17,2.6360245,3.2,1,2,0.2334965,0.29000000000000004,0,1.5
2014-08-27,Alaska,2.813636,7.8,21,7,0.014417,0.024,11,22,2.5604165,3.65,21.5,3,0.2366665,0.31,16,1.5
2014-08-28,Alaska,5.179167,9.3,19,8,0.008417,0.015,23,14,3.2958334999999996,4.1,8.5,3,0.2833335,0.39,4.5,1.5
2014-08-29,Alaska,1.641667,6,23,6,0.014792,0.021,12,19,2.586646,3,12,2,0.210815,0.275,3,1.5
2014-08-30,Alaska,4.127273,14.8,22,13,0.012917,0.025,11,23,2.6791665,4.1,5.5,3,0.227292,0.38,10,1.5
2014-08-31,Alaska,3.383333,12.3,20,11,0.014583,0.026,11,24,2.5875000000000004,3.95,10.5,3,0.209167,0.38,21.5,1.5
2014-09-01,Alaska,3.520833,12.9,0,11,0.017208,0.023,12,21,2.2776395000000003,3.25,1.5,2,0.21442050000000001,0.27,0,1.5
2014-09-02,Alaska,4.155556,18.8,22,17,0.016417,0.023,5,21,2.0770835,3.3,23,2,0.2060415,0.265,10.5,1
2014-09-03,Alaska,7.966667,22.7,22,21,0.013458,0.025,11,23,2.6875,4.45,4.5,3,0.236875,0.315,10.5,1.5
2014-09-04,Alaska,13.583333,41.6,7,39,0.016208,0.025,11,23,2.969876,5.300000000000001,5,4.5,0.2536415,0.31,3,1.5
2014-09-05,Alaska,11.863636,48.2,6,45,0.014708,0.025,10,23,2.2875,8.35,7,6.5,0.280833,0.71,6.5,2.5
2014-09-06,Alaska,14.929167,52,7,49,0.011833,0.025,10,23,2.9937500000000004,6.65,7,5,0.2589585,0.38,4.5,1.5
2014-09-07,Alaska,10.1625,28.8,7,26,0.011167,0.023,11,21,2.911491,5.65,1.5,4.5,0.26976449999999996,0.355,9.5,1.5
2014-09-08,Alaska,16.668182,67,7,65,0.010333,0.022,10,20,3.0074674999999997,5.949999999999999,1,4.5,0.2946195,0.385,3.5,1.5
2014-09-09,Alaska,16.558333,66.9,7,64,0.006917,0.017,10,16,2.5645835,4.15,6.5,3,0.3397915,0.48000000000000004,7.5,2.5
2014-09-10,Alaska,14.645833,49.7,7,46,0.008375,0.021,10,19,3.145652,4.9,19.5,3.5,0.3619925,0.49,9,2.5
2014-09-11,Alaska,22.054545,84.1,8,83,0.007625,0.019,12,18,3.1729165000000004,5.65,7.5,3.5,0.40104150000000005,0.5700000000000001,9,3
2014-09-12,Alaska,10.9625,73.1,7,71,0.017292,0.025,10,23,2.8583334999999996,4.95,4.5,3.5,0.341042,0.525,3.5,2.5
2014-09-13,Alaska,14.545833,75.3,7,73,0.010083,0.019,9,18,3.218323,5.3,7.5,4.5,0.40070649999999997,0.725,20.5,3.5
2014-09-14,Alaska,7.040909,24.5,7,23,0.012708,0.023,10,21,3.4124999999999996,5.25,8,3.5,0.37687499999999996,0.54,3.5,3.5
2014-09-15,Alaska,17.058333,43.2,10,41,0.008958,0.018,15,17,4.0666665,5.95,13.5,4.5,0.33458350000000003,0.37,0,2.5
2014-09-18,Alaska,15.025,68.5,7,66,0.013,0.019,17,18,3.4354164999999997,6.4,6.5,4.5,0.33303,0.41500000000000004,17,2.5
