Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2007-01-01,Arkansas,5.208333,16,20,15,0.024875,0.032,9,27,2,2,3,1.5,0.8765155,1.25,21,5.5
2007-01-02,Arkansas,17.869565,33,21,31,0.01,0.02,9,17,3.29697,4,12.5,3,0.647464,1.2,0,5
2007-01-03,Arkansas,18.958333,43,8,41,0.010208,0.017,9,14,4.0357145,5.5,17,4.5,0.825,1.7000000000000002,7.5,7.5
2007-01-04,Arkansas,16.958333,20,1,19,0.001792,0.006,0,5,2.928261,3.8,4,3,0.5666665,0.75,18.5,4
2007-01-05,Arkansas,11.875,17,1,16,0.011333,0.016,9,14,2.395652,3.5,12.5,3,0.49374999999999997,0.7,0.5,4
2007-01-06,Arkansas,10.75,25,22,24,0.012542,0.022,10,19,2.3164595,3.65,22,3,0.3958335,0.5,4.5,3
2007-01-07,Arkansas,5.416667,10,1,9,0.022375,0.027,14,23,2.1798135,3.5,19,3,0.33958299999999997,0.4,0,2.5
2007-01-08,Arkansas,12.375,33,18,31,0.020833,0.029,9,25,2.2661495,3,7,2,0.48106099999999996,0.75,8,3.5
2007-01-09,Arkansas,9.791667,24,22,23,0.019667,0.033,10,28,2.0863354999999997,2.8,7,2,0.475,0.7,11.5,3.5
2007-01-10,Arkansas,17.916667,31,4,29,0.013458,0.023,10,19,3.525155,5.3,12.5,4.5,0.7041664999999999,1.4,8,6.5
2007-01-11,Arkansas,12.916667,24,1,23,0.023,0.03,20,25,3.3524845,5,7,3.5,0.483333,0.6499999999999999,0,3.5
2007-01-12,Arkansas,13.083333,27,7,25,0.016,0.023,0,19,2.7195650000000002,3.8,4.5,3,0.4770835,0.55,7.5,3
2007-01-13,Arkansas,9.041667,12,18,11,0.002458,0.013,0,11,2.1295029999999997,2.65,4,2,0.4791665,0.55,9.5,3
2007-01-14,Arkansas,8.375,12,18,11,0.001917,0.003,18,3,2.0431675,2.65,14,2,0.5041665,0.55,7,3
2007-01-15,Arkansas,6.666667,11,3,10,0.01525,0.028,22,24,2,2,3,1.5,0.4979165,0.55,1.5,3
2007-01-16,Arkansas,6.73913,12,21,11,0.026833,0.029,0,25,2.909091,3,4,2,0.5104165,0.6,13,3.5
2007-01-17,Arkansas,11.583333,17,7,16,0.014,0.02,0,17,3.539441,4.65,11,3.5,0.5729165,0.6,0,3.5
2007-01-18,Arkansas,12.958333,20,20,19,0.010625,0.017,21,14,3.079193,3.8,9,3,0.625,0.75,19.5,4
2007-01-19,Arkansas,14.583333,28,22,26,0.016042,0.025,8,21,2.8776395,3.65,11,3,0.5874999999999999,0.9,11.5,4
2007-01-20,Arkansas,18.708333,33,6,31,0.013583,0.018,12,15,3.1295029999999997,4.65,8,3.5,0.697917,0.8500000000000001,2,5
2007-01-21,Arkansas,10.583333,23,20,22,0.013958,0.022,10,19,2.237578,2.8,3,2,0.63125,0.9500000000000001,21,4.5
2007-01-22,Arkansas,10.25,27,19,25,0.017083,0.03,9,25,2.4027950000000002,3,15,2,0.6765399999999999,0.9500000000000001,10,4.5
2007-01-23,Arkansas,18,29,18,27,0.01025,0.022,9,19,2.9639755,3.65,13,3,0.7875,1.15,7,5
2007-01-24,Arkansas,12.083333,24,19,23,0.017875,0.029,10,25,2.697826,3,6,2,0.6520835,0.9,9.5,5
2007-01-25,Arkansas,15.875,31,21,29,0.012458,0.029,10,25,2.8130435,3,3,2,0.7625,1.2,21.5,5.5
2007-01-26,Arkansas,21.541667,34,22,32,0.0115,0.028,10,24,4.079193,5.65,8,4.5,0.9458329999999999,1.5,11,7.5
2007-01-27,Arkansas,18.625,32,2,30,0.016667,0.03,16,25,3.1658385,4.65,4.5,3.5,0.83125,1.35,0.5,7.5
2007-01-28,Arkansas,7.333333,35,23,33,0.023625,0.034,9,29,2.2664595,3.5,23,3,0.6375,1.05,23,4.5
2007-01-29,Arkansas,18.521739,33,1,31,0.015958,0.025,9,21,3.6454545,5.65,19.5,4.5,0.8125,1.15,3,6.5
2007-01-30,Arkansas,8.458333,21,2,20,0.02525,0.034,9,29,2.2381985,3.8,3,3.5,0.677083,0.8,0,4.5
2007-01-31,Arkansas,14.416667,24,6,23,0.014,0.017,11,14,3.554037,4.5,12,3.5,0.7604165,0.8500000000000001,3.5,4.5
2007-02-01,Arkansas,9.75,15,1,14,0.013583,0.017,9,14,2.223292,3,3,2,0.7625,0.8500000000000001,0,4.5
2007-02-02,Arkansas,8.166667,16,18,15,0.021625,0.029,10,25,2,2,3,1.5,0.75,0.8500000000000001,3,4.5
2007-02-03,Arkansas,17,34,21,32,0.01825,0.036,10,31,2.561491,3.8,3.5,3,0.7979164999999999,1.45,23,5.5
2007-02-04,Arkansas,15.416667,37,22,35,0.020583,0.033,9,28,2.345652,2.8,4.5,2,0.8708335,1.55,12,7.5
2007-02-05,Arkansas,15.458333,32,3,30,0.018708,0.029,9,25,2.920807,3.65,4,3,0.6434785,1.25,0.5,7
2007-02-06,Arkansas,19.458333,29,2,27,0.024792,0.042,12,36,3.80559,4.8,10,3.5,0.51875,0.6499999999999999,4.5,3.5
2007-02-07,Arkansas,16.875,30,1,28,0.013208,0.019,10,16,4.1940995,6.3,14.5,5,0.49791700000000005,0.7,6,3.5
