Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,Colorado,27.434783,46,6,43,0.01325,0.027,11,23,4.13882,19,10.5,18,0.677522,1.2999999999999998,3,7
2000-01-02,Colorado,32.347826,47,19,44,0.013583,0.033,21,28,11.507143,42.15,16,35.5,0.554167,0.85,18.5,4
2000-01-03,Colorado,16.818182,52,21,49,0.01775,0.031,9,26,0.6419255,4.8,21,5.5,0.38134049999999997,1.1,21,5
2000-01-04,Colorado,41.130435,64,7,62,0.009375,0.018,22,15,6.019876,21.3,10.5,18.5,0.808333,1.55,15,6.5
2000-01-05,Colorado,2.086957,42,0,40,0.022958,0.034,9,29,0.0431675,0.65,1,0.5,0.35625,1.1,3.5,5
2000-01-06,Colorado,16.347826,60,6,57,0.005792,0.018,9,15,5.970497,17,10,14.5,0.922917,2.2,20,8.5
2000-01-07,Colorado,0,0,0,0,0.006167,0.013,8,11,4.302174,28.5,10.5,26,1.852083,3.0999999999999996,8,13.5
2000-01-08,Colorado,0.173913,2,0,2,0.021708,0.036,17,31,2.9990680000000003,22.5,10.5,22,0.7354165,2.05,3.5,13
2000-01-09,Colorado,3.521739,30,4,28,0.031708,0.038,10,32,0,0,1,0,0.2104165,0.35,2,1.5
2000-01-10,Colorado,1.608696,18,1,17,0.017625,0.034,7,29,0,0,1,0,0.26875,0.6,20.5,3
2000-01-11,Colorado,15.272727,44,8,42,0.012583,0.026,10,22,1.7696969999999999,9.3,14,8.5,0.71096,1.9000000000000001,8.5,6.5
2000-01-12,Colorado,0.777778,3,0,3,0.023,0.026,0,22,0,0,1,0,0.33131299999999997,0.55,3,4
2000-01-13,Colorado,2.833333,11,16,10,0.005438,0.018,8,15,3.825,6.8,14,5.5,1.7579365,2.75,22,13
2000-01-14,Colorado,53.478261,78,12,77,7.92e-4,0.003,9,3,7.079503000000001,28.3,13,23.5,2.14375,3.1500000000000004,20.5,15
2000-01-15,Colorado,31,52,11,49,0.004875,0.014,9,12,2.4108695,5.3,7,5,1.34375,2.7,0,16.5
2000-01-16,Colorado,0,0,0,0,0.004583,0.01,8,8,5.020497,41,13,35.5,0.6104164999999999,1.65,0.5,8.5
2000-01-17,Colorado,4.130435,38,17,36,0.002917,0.007,9,6,4.8624220000000005,19.65,11,16.5,0.9416665,1.7000000000000002,9.5,7
2000-01-18,Colorado,0,0,0,0,1.82e-4,0.002,23,2,2.676087,12.65,10,13,0.9125000000000001,2.0999999999999996,9.5,8
2000-01-19,Colorado,0.090909,2,11,2,0.013042,0.03,8,25,0.15151550000000003,1.5,1,1.5,0.5309785,1.7000000000000002,0.5,7
2000-01-20,Colorado,7,30,0,28,5.42e-4,0.002,9,2,1.7409935,7.8,12,7,1.204167,2.5,9,10
2000-01-21,Colorado,0,0,0,0,0.004917,0.014,18,12,2.9422360000000003,11.3,13,10.5,1.9020834999999998,3.25,14,13.5
2000-01-22,Colorado,0.086957,2,0,2,0.016417,0.035,11,30,1.0860245,7.15,10,6.5,0.7833330000000001,2.2,4,11.5
2000-01-23,Colorado,0,0,0,0,0.017417,0.036,8,31,0.2881985,1.5,15.5,1.5,0.5791665,1.7999999999999998,22.5,7.5
2000-01-24,Colorado,0,0,0,0,0.018125,0.03,12,25,1.129193,6,10.5,5.5,0.839583,1.8,4,9
2000-01-25,Colorado,5.130435,28,6,26,0.00275,0.01,0,8,0,0,1,0,0.40625,0.65,8,3
2000-01-26,Colorado,1.565217,14,17,13,9.17e-4,0.004,21,3,2.545963,13.65,13,11.5,0.741234,1.75,7.5,6.5
2000-01-27,Colorado,0.272727,4,1,4,0.008375,0.018,10,15,0,0,1,0,0.489583,1.05,22,4.5
2000-01-28,Colorado,0.608696,7,0,7,0.013375,0.028,13,24,0.9493785,7.15,10.5,6.5,0.775,2.1,9.5,9.5
2000-01-29,Colorado,9.521739,57,8,54,0.009125,0.025,9,21,4.035093,22.8,11,19.5,0.704167,1.2,9.5,5.5
2000-01-30,Colorado,1.086957,16,2,15,0.0095,0.025,10,21,3.8211180000000002,17.3,13,15.5,0.8583335000000001,1.35,12.5,5.5
2000-01-31,Colorado,5.565217,63,9,61,0.007,0.021,9,18,2.927329,26.5,10.5,25,1.2625,3.0999999999999996,21,12
2000-02-01,Colorado,0.173913,2,18,2,0.006458,0.019,9,16,4.0068325,14.8,11.5,14.5,1.3875,3,10,13.5
2000-02-02,Colorado,1.043478,9,9,8,0.0165,0.027,19,23,2.2161495,10.65,10,9.5,1.0958335,2.9,4.5,11.5
2000-02-03,Colorado,0.136364,2,0,2,0.026958,0.035,9,30,0.5727275000000001,4,1,4.5,0.6013584999999999,2.8499999999999996,8,8
