Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-04-04,Connecticut,15.75,45,23,42,0.022792,0.033,12,28,4.1916665,8.65,8.5,7,0.1785715,0.2,19.5,1
2006-04-05,Connecticut,23.416667,54,0,51,0.022917,0.036,10,31,6.1916665,13.3,16.5,10,0.209524,0.30000000000000004,0.5,1
2006-04-06,Connecticut,24.782609,51,20,48,0.013722,0.031,10,26,7.4875,13.3,10,10.5,0.2395835,0.55,23,2.5
2006-04-07,Connecticut,38.166667,56,23,53,0.020333,0.033,9,28,8.6979165,14.5,4.5,10.5,0.5333335,1.15,6,5
2006-04-08,Connecticut,17.375,38,3,36,0.026833,0.031,8,26,2.6125,3.65,1.5,3,0.2583335,0.4,0,2.5
2006-04-09,Connecticut,14.791667,47,23,44,0.026167,0.038,7,32,6.9416665,42,16,35,0.17916700000000002,0.35,22,1.5
2006-04-10,Connecticut,34.333333,55,5,52,0.016708,0.03,8,25,5.1125,9.8,5,8.5,0.295833,0.7,5,2.5
2006-04-11,Connecticut,48,60,3,57,0.017625,0.031,21,26,10.214907,18.5,8,14.5,0.46458350000000004,1,7,4.5
2006-04-12,Connecticut,21.666667,43,6,41,0.033417,0.04,11,34,3.35625,6.65,23,5.5,0.270833,0.35,6.5,1.5
2006-04-13,Connecticut,27.909091,42,6,40,0.027625,0.036,12,31,3.8958335,10.3,11,9.5,0.332065,0.45,15,2.5
2006-04-14,Connecticut,31.791667,54,5,51,0.016792,0.025,20,21,3.2833335,5.8,12.5,5,0.3979165,0.5,10.5,3
2006-04-15,Connecticut,16.625,46,14,43,0.033875,0.051,15,43,1.7375,4.8,13.5,3.5,0.389583,0.6499999999999999,13.5,3.5
2006-04-16,Connecticut,3.333333,8,21,8,0.038667,0.048,11,41,0.4083335,1,6,0.5,0.26249999999999996,0.3,4,1.5
2006-04-17,Connecticut,10.958333,31,5,29,0.028583,0.034,15,29,2.0270835,5.15,9.5,4.5,0.29583349999999997,0.35,7.5,1.5
2006-04-18,Connecticut,6.25,22,23,21,0.029667,0.041,14,35,2.0666665,6.3,14,5,0.3208335,0.4,13.5,2.5
2006-04-19,Connecticut,14.166667,42,5,40,0.036542,0.048,15,41,2.5729165,7.8,16,7,0.375,0.6,8.5,3
2006-04-20,Connecticut,8.791667,20,13,19,0.0385,0.047,14,40,1.6979165,6,14,5.5,0.383152,0.55,18.5,3
2006-04-21,Connecticut,6,19,2,18,0.037042,0.043,14,36,1.0791665,1.8,4.5,1.5,0.3479165,0.4,4.5,2.5
2006-04-22,Connecticut,4.416667,8,1,8,0.040208,0.045,10,38,1.1979165,1.8,1.5,1.5,0.3083335,0.35,4,1.5
2006-04-23,Connecticut,5.166667,15,19,14,0.036083,0.042,4,36,0.9541664999999999,1,1,0.5,0.37083299999999997,0.45,14,2.5
2006-04-24,Connecticut,24.041667,46,20,43,0.011625,0.025,0,21,2.4030300000000002,5.5,16,4.5,0.5388584999999999,0.8,21.5,4
2006-04-25,Connecticut,29.666667,54,15,51,0.022625,0.037,16,31,4.0333335,7.65,10.5,5.5,0.75625,1.25,5.5,6.5
2006-04-26,Connecticut,14.777778,25,14,24,0.024708,0.037,15,31,2.9479165,7,14,5.5,0.425,0.5,10.5,3
2006-04-27,Connecticut,27.041667,50,6,47,0.034,0.047,16,40,4.8958335,11.3,7.5,8.5,0.641667,0.9500000000000001,7,4.5
2006-04-28,Connecticut,11.909091,38,23,36,0.034375,0.048,11,41,1.3229165,2.5,23,2,0.508605,0.7,23,3.5
2006-04-29,Connecticut,21.25,45,14,42,0.025208,0.037,11,31,2.5729165,5.5,14,5,0.58125,0.75,1.5,4
2006-04-30,Connecticut,21.083333,47,22,44,0.025125,0.046,9,39,2.6520835,4.8,4,3.5,0.6499999999999999,0.9500000000000001,22.5,4.5
2006-05-01,Connecticut,17.708333,49,2,46,0.034056,0.046,13,39,2.0333335,4,2.5,3,0.6166665,0.8,0,4.5
2006-05-02,Connecticut,8.166667,13,7,12,0.029875,0.037,0,31,1.0454545,1.5,4,1.5,0.6270834999999999,0.7,10.5,4
2006-05-03,Connecticut,8.608696,12,7,11,0.016792,0.021,0,18,1,1,1,0.5,0.7395835,0.8,13.5,4.5
2006-05-04,Connecticut,20.208333,43,23,41,0.017958,0.034,12,29,3.6686335000000003,7.5,18.5,5.5,0.7979164999999999,0.95,22.5,5
2006-05-05,Connecticut,29.25,55,20,52,0.033917,0.045,8,38,4.2833335,13,17,10.5,0.6928445000000001,1.15,5,6.5
2006-05-06,Connecticut,13.208333,36,10,34,0.033,0.045,13,38,2.11875,9,10.5,8,0.3041665,0.4,2.5,2.5
2006-05-07,Connecticut,11.958333,34,12,32,0.0245,0.03,13,25,2.4020835,7.3,14,7,0.260417,0.35,10,1.5
2006-05-08,Connecticut,17.083333,45,21,42,0.027583,0.046,9,39,1.6916665000000002,3.5,14.5,3,0.333333,0.45,5.5,2.5
2006-05-09,Connecticut,14.708333,40,0,38,0.030542,0.036,22,31,1.4541665,2.65,1,2,0.35,0.4,0,2.5
2006-05-10,Connecticut,9.708333,15,18,14,0.020958,0.034,0,29,0.9541664999999999,1,1,0.5,0.404167,0.5,14.5,3
2006-05-11,Connecticut,7.681818,17,4,16,0.027042,0.044,22,37,0.5377780000000001,1,4,0.5,0.333786,0.45,2.5,2.5
2006-05-12,Connecticut,3.041667,5,6,5,0.04325,0.046,1,39,0.15833350000000002,0.8,1.5,0.5,0.2,0.2,0,1
2006-05-13,Connecticut,5.708333,17,10,16,0.035292,0.04,0,34,0.6645835,7.5,10.5,7,0.2520835,0.35,11.5,1.5
2006-05-14,Connecticut,6.708333,12,19,11,0.026875,0.035,0,30,0,0,1,0,0.2375,0.3,11.5,1.5
2006-05-15,Connecticut,10.5,23,5,22,0.027917,0.044,15,37,0.397619,1,6,0.5,0.2604165,0.3,6.5,1.5
2006-05-16,Connecticut,23.166667,45,19,42,0.012625,0.023,11,19,1.9875,9,22,8,0.322917,0.45,18.5,2.5
2006-05-17,Connecticut,30.25,39,14,37,0.019792,0.035,12,30,10.5666665,31.5,10.5,26,0.4083335,0.6,7,3
2006-05-18,Connecticut,26.478261,42,2,40,0.029125,0.049,13,42,8.124845,20.3,7.5,15.5,0.43125,0.5,5,3
2006-05-19,Connecticut,21.416667,31,20,29,0.023958,0.039,9,33,1.5208335,3.8,8,3.5,0.390909,0.45,3,2.5
2006-05-20,Connecticut,20.083333,39,0,37,0.020125,0.035,12,30,7.23125,27.15,11.5,21.5,0.37916649999999996,0.5,10.5,2.5
2006-05-21,Connecticut,12.166667,20,12,19,0.034071,0.04,11,34,3.4020835,12.5,19.5,12,0.3125,0.4,4,2.5
2006-05-22,Connecticut,8.583333,25,4,24,0.027583,0.032,12,27,6.10625,19.8,23,18,0.24791649999999998,0.3,7.5,1.5
2006-05-23,Connecticut,13,34,23,32,0.020917,0.031,10,26,5.7770835,14.15,15,12,0.31295300000000004,0.4,13.5,2.5
2006-05-24,Connecticut,21.25,50,22,47,0.02575,0.046,10,39,4.85625,8.8,8,7,0.41875,0.55,22.5,3
2006-05-25,Connecticut,31.136364,49,13,46,0.033792,0.048,15,41,4.0333335,12.65,13.5,10,0.5916669999999999,0.75,6,4
2006-05-26,Connecticut,14.458333,29,7,27,0.0325,0.048,8,41,0.9083335,1.65,7.5,1.5,0.47708300000000003,0.55,6.5,3
2006-05-27,Connecticut,17.833333,49,21,46,0.026667,0.044,11,37,0.9479165,1.65,5,1.5,0.639583,0.85,17.5,4
2006-05-28,Connecticut,10,32,13,30,0.040667,0.05,14,42,2.0208335,7,13.5,5.5,0.5833335,0.75,6,4
2006-05-29,Connecticut,22.375,50,12,47,0.048417,0.078,11,106,12.6458335,51.15,13,42.5,0.7041665,0.8500000000000001,14,4.5
2006-05-30,Connecticut,14.208333,33,4,31,0.046,0.068,11,77,2.1583335,3,7,2,0.645833,0.75,2,4
2006-05-31,Connecticut,12.208333,25,23,24,0.024042,0.036,10,31,5.4020835,22.65,23,21.5,0.54375,0.6,10.5,3.5
2006-06-01,Connecticut,24,40,12,38,0.023875,0.038,16,32,10.935416499999999,33.15,1.5,28,0.610688,0.75,12,4
2006-06-02,Connecticut,29.708333,58,13,55,0.016917,0.027,11,23,4.2692545,13.5,11,11.5,0.6520835,0.8,13,4.5
2006-06-03,Connecticut,10.75,15,7,14,0.01775,0.027,23,23,0.0395835,0.65,5,0.5,0.4895835,0.6,5.5,3.5
2006-06-04,Connecticut,8.958333,28,21,26,0.0185,0.027,0,23,1.1583335,4.65,16.5,3.5,0.4291665,0.55,19.5,3
2006-06-05,Connecticut,19.375,33,22,31,0.0135,0.023,10,19,2.4479165,6.5,13,5.5,0.5579365000000001,0.75,22,4
2006-06-06,Connecticut,13.45,31,22,29,0.025708,0.039,9,33,1.11875,3.15,10.5,3,0.6166665,0.75,0,4
2006-06-07,Connecticut,9.5,14,5,13,0.026875,0.031,0,26,0.0791665,0.8,1,0.5,0.485417,0.55,0,3.5
2006-06-08,Connecticut,15.478261,34,22,32,0.016125,0.022,6,19,2.60625,7.3,5.5,7,0.504167,0.6,16.5,3.5
2006-06-09,Connecticut,23,39,19,37,0.018667,0.026,20,22,5.8104165,13.8,19,11.5,0.6020835,0.6499999999999999,3.5,3.5
2006-06-10,Connecticut,6.041667,11,1,10,0.022417,0.028,16,24,5.23125,12.15,15.5,9.5,0.4708335,0.55,0,3.5
2006-06-11,Connecticut,5.125,12,3,11,0.02175,0.026,0,22,6.9020835,12.15,11,9.5,0.441667,0.5,12,3
2006-06-12,Connecticut,18.333333,50,20,47,0.015333,0.025,11,21,2.0333335,3.5,13,3,0.5562499999999999,0.75,20,4
2006-06-13,Connecticut,24.173913,55,23,52,0.0175,0.031,10,26,2.4102485,4.8,22,3.5,0.6583335,0.8,21,4.5
2006-06-14,Connecticut,23.333333,52,0,49,0.031,0.053,11,45,2.6916665,5.15,1,4.5,0.7791665000000001,0.95,5.5,5
2006-06-15,Connecticut,8.708333,16,18,15,0.028917000000000002,0.038,10,32,4.5333335,15.15,19,13.5,0.482337,0.6,0,3.5
2006-06-21,Connecticut,19.166667,28,4,26,0.03525,0.059,12,50,2.18,5.3,14,5,0.35208300000000003,0.45,9,2.5
2006-06-22,Connecticut,28.954545,62,16,60,0.042708,0.061,11,54,1.875,4.15,12.5,3.5,0.48523550000000004,0.6499999999999999,17.5,3.5
2006-06-23,Connecticut,25.041667,44,8,42,0.032042,0.051,13,43,2.8229165,8.8,13.5,7,0.5416665,0.6,3,3.5
2006-06-24,Connecticut,18.583333,28,10,26,0.015625,0.017,4,14,1.6645835,8.65,7.5,7,0.46458299999999997,0.55,9.5,3
2006-06-25,Connecticut,6.166667,13,5,12,0.01575,0.023,9,19,0.4875,1.65,10,1.5,0.38125,0.45,0,3
2006-06-26,Connecticut,8.166667,12,9,11,0.011958,0.015,8,13,1,1,1,0.5,0.3666665,0.4,7.5,2.5
2006-06-27,Connecticut,5.954545,9,4,8,0.012917,0.014,8,12,1.1798134999999998,2.65,10.5,2,0.34873149999999997,0.4,2.5,2.5
2006-06-28,Connecticut,13.208333,46,15,43,0.0235,0.03,13,25,0.36875,1,1,0.5,0.31875,0.4,13.5,2.5
2006-06-29,Connecticut,18.916667,38,15,36,0.03025,0.045,9,38,0.125,1.5,13.5,1.5,0.405,0.5,13,3
2006-06-30,Connecticut,19.375,40,0,38,0.033167,0.049,8,42,3.6125,25.5,17,23.5,0.4291665,0.55,18,3
2006-07-01,Connecticut,23.208333,49,15,46,0.043542,0.066,13,71,8.4416665,25.8,16,20.5,0.49375,0.6499999999999999,12,3.5
2006-07-02,Connecticut,17.833333,35,0,33,0.055875,0.08,10,111,8.9875,26.15,1,20.5,0.5104165,0.6499999999999999,12.5,3.5
2006-07-03,Connecticut,15.541667,27,6,25,0.04725,0.068,13,77,1.2833335,2.65,19,2,0.5104165,0.6499999999999999,13,3.5
2006-07-04,Connecticut,26.041667,43,20,41,0.043167,0.083,10,119,4.6583335,20.5,13,18,0.7104165,1.15,20,5
2006-07-05,Connecticut,27.619048,36,4,34,0.020208,0.032,14,27,1.35625,4.15,17,3.5,0.6333329999999999,0.85,0.5,5.5
2006-07-06,Connecticut,16.625,27,0,25,0.017083,0.026,11,22,2.0270835,7.65,16.5,6.5,0.5166665,0.6499999999999999,0,3.5
2006-07-07,Connecticut,19.708333,39,14,37,0.016958,0.032,10,27,1.775,4.8,17,4.5,0.55154,0.85,21,4
