Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,Delaware,25.916667,41,0,39,0.01325,0.021,11,18,2.4875,5.9,10,4.5,0.7268795,1.6435,4,8.5
2011-01-02,Delaware,15.208333,34,0,32,0.019458,0.026,18,22,1.6375,3.4000000000000004,20,2,0.275,0.4925,0.5,2.5
2011-01-03,Delaware,25.166667,47,23,44,0.012792,0.024,9,20,1.6895835,2.8,19.5,2,0.278083,0.6085,21.5,3
2011-01-04,Delaware,35.136364,53,8,50,0.008,0.017,10,14,2.33125,3.65,11,2,0.499583,0.7889999999999999,7.5,4
2011-01-05,Delaware,30.708333,45,7,42,0.010458,0.021,8,18,2.8916665,3.9000000000000004,8,3,0.4166665,0.717,1,3.5
2011-01-06,Delaware,30.666667,42,7,40,0.010833,0.02,9,17,4.0291665000000005,5.9,14,4.5,0.401542,0.614,8.5,3.5
2011-01-07,Delaware,28.625,45,23,42,0.008708,0.015,8,13,2.922619,4.9,1,3.5,0.345146,0.6545000000000001,22.5,3
2011-01-08,Delaware,23.875,45,0,42,0.015875,0.022,23,19,2.98125,4.9,22.5,3.5,0.368104,0.685,0.5,3.5
2011-01-09,Delaware,9.916667,12,0,11,0.023583,0.027,10,23,2.8770835,4.05,8,3,0.2099585,0.228,8.5,1
2011-01-10,Delaware,27.26087,41,22,39,0.012542,0.02,9,17,1.411111,1.75,7.5,0.5,0.280354,0.486,22,2.5
2011-01-13,Delaware,17.125,31,23,29,0.013125,0.023,9,19,1.6183334999999999,2.4,19,1.5,0.2665835,0.5235000000000001,22,2.5
2011-01-14,Delaware,26.791667,39,20,37,0.007625,0.018,9,15,2.4666665,4.9,13.5,3.5,0.5211875,0.8965,23,4
2011-01-15,Delaware,19.166667,34,0,32,0.01175,0.022,10,19,2.7666665,5.25,10.5,3.5,0.48502049999999997,0.914,4,5
2011-01-16,Delaware,11.708333,28,2,26,0.0235,0.03,9,25,1.5229165,2.55,4,1.5,0.2795625,0.461,0.5,2.5
