Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,District Of Columbia,26.541667,39,17,37,0.004167,0.014,23,12,11.2375,26,16,23.5,2.0338814999999997,3.8499999999999996,4,20.5
2000-01-02,District Of Columbia,14.958333,22,0,21,0.023083,0.029,11,25,7.7770835,11,1,8,0.770833,2.35,1.5,12
2000-01-03,District Of Columbia,18.291667,32,17,30,0.014875,0.026,20,22,7.1161495,10.3,12.5,8,0.5833335,1.65,18,5
2000-01-04,District Of Columbia,13.363636,25,18,24,0.01725,0.024,0,20,5.4020835,9.3,21,7,0.5083335,0.8500000000000001,8,5
2000-01-05,District Of Columbia,16.625,33,21,31,0.009583,0.025,3,21,8.3625,11.5,11,8.5,0.6166665,1.45,23,5.5
2000-01-06,District Of Columbia,26.333333,42,9,40,0.003542,0.004,11,3,8.2770835,11.15,10,9.5,1.6854165,2.95,16,12.5
2000-01-07,District Of Columbia,26.625,34,10,32,0.006042,0.012,10,10,9.9020835,15.65,9.5,11.5,1.547917,3.25,1,16
2000-01-08,District Of Columbia,26.541667,32,0,30,0.00475,0.011,9,9,15.1520835,24.65,11,19.5,0.95625,1.25,3.5,6.5
2000-01-09,District Of Columbia,24.208333,28,0,26,0.004538,0.008,9,7,10.5270835,18.8,16.5,15.5,0.9979165,1.5499999999999998,8,7
2000-01-10,District Of Columbia,21.458333,32,23,30,0.002667,0.004,0,3,7.1295455,13.8,16,11.5,1.2847825,2.9,20.5,11.5
2000-01-11,District Of Columbia,19.090909,36,0,34,0.012708,0.022,21,19,7.9479165,13,12,10.5,0.7375,1.5,0,11.5
2000-01-12,District Of Columbia,22.875,35,17,33,0.008792,0.019,0,16,9.0666665,15,19,11.5,1.1354164999999998,3.15,20.5,13
2000-01-13,District Of Columbia,20.458333,32,0,30,0.014542,0.025,20,21,13.11875,45.15,11,38,1.1229165,2.35,1,14
2000-01-14,District Of Columbia,14.541667,25,18,24,0.019542,0.027,9,23,8.6125,17.3,22.5,13.5,0.6958335,0.9,17,4.5
2000-01-15,District Of Columbia,22.333333,30,8,28,0.010833,0.015,9,13,18.0666665,28.8,16,22,0.88125,1.1,9.5,5.5
2000-01-16,District Of Columbia,15.25,25,2,24,0.020125,0.03,21,25,11.5208335,22.8,7,19.5,0.8500000000000001,0.95,5.5,5
2000-01-17,District Of Columbia,10.166667,17,21,16,0.02675,0.031,2,26,4.6854165,7.3,22,5.5,0.825,1.2,18.5,5.5
2000-01-18,District Of Columbia,27.5,38,16,36,0.007583,0.022,0,19,8.5940995,26.65,12.5,25,1,1.5,16,7
2000-01-19,District Of Columbia,24.521739,34,0,32,0.004625,0.008,8,7,12.6916665,18.3,1,13.5,1.216667,2.3,21,10
2000-01-20,District Of Columbia,18.916667,24,18,23,0.010958,0.024,21,20,9.9020835,19.5,16.5,14.5,0.95,1.5,4.5,10
2000-01-21,District Of Columbia,16.041667,25,19,24,0.018083,0.022,9,19,11.6979165,13.65,16.5,10,0.741667,0.8500000000000001,8.5,4.5
2000-01-22,District Of Columbia,19.416667,35,22,33,0.0145,0.024,9,20,11.6916665,17.15,19.5,13,0.8729165,1.3,22.5,6.5
2000-01-23,District Of Columbia,25.791667,34,0,32,0.00575,0.01,11,8,14.3166665,31.5,21.5,24.5,1.1,1.2999999999999998,10.5,7
2000-01-24,District Of Columbia,31.157895,42,6,40,0.006438,0.011,23,9,20.9600875,37.5,2.5,32.5,1.139638,1.4,9.5,7.5
2000-01-25,District Of Columbia,16.458333,25,2,24,0.017167,0.024,9,20,12.0270835,25.3,21.5,20,0.6729165,0.85,0,5.5
2000-01-26,District Of Columbia,18.916667,26,7,25,0.017833,0.022,9,19,15.2708335,23.3,8,18,0.7833335,0.9,9,5
2000-01-27,District Of Columbia,17.5,31,19,29,0.021,0.028,8,24,11.98125,23.5,1.5,18,0.7041664999999999,0.8500000000000001,19.5,4.5
2000-01-28,District Of Columbia,22.291667,34,7,32,0.014292,0.024,9,20,15.0208335,22.8,22,18,0.8395835,0.95,8.5,5
2000-01-29,District Of Columbia,34,52,23,49,0.008542,0.021,9,18,17.145833500000002,40.3,22.5,31,1.547917,4,22.5,17
2000-01-30,District Of Columbia,46.375,58,2,55,0.003417,0.005,17,4,18.2770835,25.65,1,20,2.1,4.25,1.5,23.5
2000-01-31,District Of Columbia,24.75,35,22,33,0.010125,0.023,9,19,14.5666665,22.5,1,17,1.258333,1.75,23,8.5
2000-02-01,District Of Columbia,25.541667,37,9,35,0.014458,0.022,10,19,10.5686335,14.15,8,10.5,1.275,2.4,8,11.5
2000-02-02,District Of Columbia,21.391304,40,20,38,0.015042,0.028,9,24,9.5666665,14.3,22,10.5,0.8583335,2.3,23,9
2000-02-03,District Of Columbia,36.5,69,6,67,0.00425,0.009,7,8,13.9416665,24.5,4,20.5,2.1020835,3.45,6,17.5
2000-02-04,District Of Columbia,33.166667,37,12,35,0.002583,0.004,23,3,15.0666665,19.5,13,14.5,1.6229165,2.3499999999999996,9,11
2000-02-05,District Of Columbia,19.541667,34,19,32,0.015667,0.028,9,24,12.060416499999999,16.8,7,13,1.0208335,1.55,10.5,8.5
2000-02-06,District Of Columbia,16.791667,32,18,30,0.016792,0.029,8,25,10.23125,13,4,9.5,1.0875,2.15,21.5,9.5
2000-02-07,District Of Columbia,21.541667,33,8,31,0.014042,0.024,10,20,11.283333500000001,15,20,12,1.1302535,2.35,3.5,9.5
2000-02-08,District Of Columbia,22.772727,42,6,40,0.01125,0.023,9,19,7.1816770000000005,12.5,8.5,10,0.9125000000000001,1.35,15,7
2000-02-09,District Of Columbia,27.083333,34,22,32,0.007208,0.017,9,14,12.8166665,27,10,21.5,1.7583335,3.8499999999999996,22.5,17.5
2000-02-10,District Of Columbia,49.8,73,9,71,0.008125,0.018,21,15,16.165217499999997,27.8,2,24.5,3.1937499999999996,6,7.5,29
2000-02-11,District Of Columbia,35.25,47,13,44,0.012625,0.025,23,21,13.2770835,27,11,21.5,1.097917,1.35,4.5,7.5
2000-02-13,District Of Columbia,4.25,7,17,7,0.007875,0.013,7,11,9.185416499999999,12.3,13,9.5,1.3479165,2.75,3,12
2000-02-14,District Of Columbia,7,45,11,42,0.008792,0.018,23,15,8.971739,18.5,13,14.5,0.914674,1.1,8.5,5.5
2000-02-15,District Of Columbia,13.5,18,22,17,0.012917,0.022,9,19,10.3229165,13.15,4,10,1.0791665,2.1,21,9.5
2000-02-16,District Of Columbia,25.478261,141,16,109,0.015958,0.027,23,23,9.5208335,15.8,4.5,13,0.9729165,1.4,8,9.5
2000-02-17,District Of Columbia,13.458333,27,20,25,0.020625,0.028,9,24,6.2708335,9.65,19,7,1,1.2000000000000002,11,6.5
2000-02-18,District Of Columbia,16,25,16,24,0.005792,0.017,0,14,6.4083335,14.65,20,12,1.1208334999999998,1.45,13.5,8
2000-02-19,District Of Columbia,9.75,17,2,16,0.010458,0.019,21,16,9.3166665,12.15,10.5,9.5,1.075,1.25,12.5,7
2000-02-20,District Of Columbia,6.708333,11,17,10,0.0225,0.029,8,25,7.73125,9.65,13.5,7,1.033333,1.1,0,6.5
