Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,Florida,14.75,32,0,30,0.023167,0.048,11,41,0.1645835,1,1,0.5,0.975439,1.9000000000000001,3,9
2000-01-02,Florida,12.5,26,22,25,0.01825,0.04,10,34,0.125,1,10,0.5,0.7124999999999999,0.95,7,5
2000-01-03,Florida,14.047619,26,8,25,0.017625,0.032,10,27,0.2041665,1.5,8,1.5,0.8593295,1.65,8,7
2000-01-04,Florida,14.458333,24,17,23,0.014708,0.031,23,26,0.8127329999999999,5.15,20,4.5,0.7,0.9500000000000001,8,4.5
2000-01-05,Florida,9.875,16,7,15,0.022125,0.03,0,25,0.5395835,1.65,7.5,1.5,0.579167,0.7,8.5,4
2000-01-06,Florida,14.791667,24,9,23,0.015958,0.026,10,22,0.15833350000000002,0.8,9.5,0.5,0.7458335,1.05,9,5
2000-01-07,Florida,11.625,25,18,24,0.014958,0.021,10,18,0.0395835,0.65,10,0.5,0.7395835,1.05,10,5
2000-01-08,Florida,12.333333,37,18,35,0.015,0.031,9,26,0.0791665,0.8,19,0.5,0.825,1.5499999999999998,21,8
2000-01-09,Florida,16.791667,32,20,30,0.010375,0.029,10,25,0.0395835,0.65,22,0.5,1.1625,1.75,11.5,9
2000-01-10,Florida,18.083333,26,0,25,0.00975,0.023,10,19,0.5791664999999999,2.15,2,2,0.89375,1.4,0.5,8
2000-01-11,Florida,23.714286,58,18,55,0.016778,0.044,10,37,1.8704969999999999,8.65,22.5,7,1.0327655,3.05,21,11
2000-01-12,Florida,26.875,62,18,60,0.017583,0.045,10,38,1.5666665000000002,4.65,13.5,4.5,1.11875,2.05,9,11.5
2000-01-13,Florida,24.333333,56,18,53,0.02375,0.039,10,33,1.0666665000000002,2.8,16.5,2,1.3916665,2.7,7.5,11.5
2000-01-14,Florida,10.208333,20,20,19,0.024708,0.03,10,25,1.11875,2.5,4.5,2,0.6625000000000001,0.8500000000000001,0,5
2000-01-15,Florida,13.083333,35,23,33,0.019125,0.035,10,30,0.0395835,0.65,22,0.5,0.71875,1.15,22.5,5.5
2000-01-16,Florida,18.375,37,20,35,0.015167,0.038,10,32,0.11875,0.8,21.5,0.5,0.9604170000000001,1.4500000000000002,22,7.5
2000-01-17,Florida,19.958333,35,1,33,0.017167,0.032,9,27,0.9020835,1.65,7.5,1.5,1.0895835,1.8,3.5,8
2000-01-18,Florida,15.5,27,8,25,0.022667,0.037,10,31,0.9875,6.5,11,5.5,0.925,1.4,8,7
2000-01-19,Florida,15.666667,30,23,28,0.013125,0.022,0,19,0.61875,2,12.5,1.5,0.86875,1.05,13.5,5.5
2000-01-20,Florida,11.333333,22,0,21,0.025875,0.036,12,31,0.9116885,2.8,11,3,0.8080620000000001,0.95,0,5.5
2000-01-21,Florida,18.636364,40,19,38,0.013875,0.027,9,23,1.6916665000000002,3,9.5,2,0.9458335,1.95,21.5,9
2000-01-22,Florida,21.25,42,18,40,0.019208,0.036,10,31,2.1125,6.3,13,5.5,1.10625,1.85,0.5,10
2000-01-23,Florida,18.125,44,20,42,0.020375,0.04,9,34,0.6645835,2,18.5,1.5,0.9666665,1.5,22,7.5
2000-01-24,Florida,14.458333,37,0,35,0.019625,0.026,21,22,0.2041665,1.5,1,1.5,0.9895835,1.45,0,8
2000-01-25,Florida,9.708333,23,7,22,0.024417,0.032,11,27,2.3180125,14.3,7.5,13,0.562206,0.9,8.5,5
2000-01-26,Florida,16.238095,38,19,36,0.017542,0.026,10,22,2.61875,4,4,3,0.28541649999999996,0.55,19.5,2.5
