Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2010-10-01,Georgia,16.833333,31,0,29,0.024417,0.048,9,41,0.51875,0.95,9.5,0.5,0.279875,0.4355,7,2.5
2010-10-02,Georgia,18.333333,46,20,43,0.0235,0.053,10,45,0.9145835,6.35,16.5,5.5,0.2967725,0.6475,22.5,3
2010-10-03,Georgia,9.041667,26,0,25,0.024917,0.036,9,31,1.459091,8.25,11,8,0.21379199999999998,0.499,0,3
2010-10-04,Georgia,9.833333,19,19,18,0.016458,0.027,11,23,0.6604165,5.2,13,4.5,0.170354,0.21550000000000002,7,1
2010-10-05,Georgia,15.291667,39,20,37,0.015667,0.036,11,31,0.29166650000000005,0.6499999999999999,19.5,0,0.235875,0.391,15.5,1.5
2010-10-06,Georgia,21.75,51,19,48,0.015333,0.04,10,34,0.7395835,1.7,10,0.5,0.3748125,0.55,5,3
2010-10-07,Georgia,28.791667,52,20,49,0.020917,0.05,10,42,2.2979165000000004,9.25,13.5,7,0.34325,0.5705,11.5,3
2010-10-08,Georgia,17.458333,44,21,42,0.026375,0.062,10,58,0.721212,1.35,11,0.5,0.4530205,0.748,5,3.5
2010-10-09,Georgia,23.904762,57,19,54,0.023167,0.062,10,58,1.8479165,6.050000000000001,13.5,4.5,0.6324164999999999,1.0685,7.5,5.5
2010-10-10,Georgia,21.166667,51,18,48,0.023833,0.062,10,58,0.756818,1.45,16,0.5,0.6929164999999999,1.135,7.5,6.5
2010-10-11,Georgia,21.375,50,20,47,0.024417,0.06,11,51,1.3875,6.85,11,6.5,0.6166665,1.1025,8,5.5
2010-10-12,Georgia,24.583333,42,21,40,0.021583,0.054,10,46,0.5727275000000001,1.4,14,0.5,0.328167,0.499,11.5,2.5
2010-10-13,Georgia,23,48,20,45,0.0185,0.048,10,41,0.64375,2.2,13.5,1.5,0.4474165,0.632,4.5,3.5
2010-10-14,Georgia,19.125,40,1,38,0.020333,0.039,9,33,0.2104165,0.5,8,0,0.2786455,0.5375,0,3
2010-10-15,Georgia,22.416667,43,22,41,0.021125,0.047,10,40,1.0770835,3.75,17.5,3.5,0.2960205,0.5495,7,2.5
2010-10-16,Georgia,26.714286,47,19,44,0.01775,0.047,10,40,2.1958335,10.2,17,7,0.42360600000000004,0.7095,15.5,3.5
2010-10-17,Georgia,20.5,51,19,48,0.02075,0.054,10,46,1.48125,8.45,10.5,7,0.641,1.054,6.5,5.5
2010-10-18,Georgia,22.041667,44,23,42,0.022958,0.058,11,49,1.5604165,6.3,16.5,5,0.6057710000000001,1.0785,7,5.5
2010-10-19,Georgia,27.75,65,19,63,0.02475,0.066,10,71,1.4734845,5.3,10.5,4.5,0.532083,0.962,6,4
2010-10-20,Georgia,27,47,22,44,0.017125,0.043,10,36,1.3875,6.5,11,6.5,0.3969375,0.6675,0.5,4
