Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,Hawaii,3.25,16,0,15,0.022208,0.029,9,25,0.9619435000000001,3.55,1,3,0.178786,0.329,2.75,1.25
2011-01-02,Hawaii,1.73913,5,18,5,0.024667,0.028,10,24,0.725621,1.35,11.75,1,0.15102175,0.1785,10,0.75
2011-01-03,Hawaii,3,8,7,8,0.025833,0.028,10,24,1.0100725000000002,2.2,20,1.75,0.15315225000000002,0.21575,5.25,1
2011-01-04,Hawaii,4.434783,25,7,24,0.0325,0.037,23,31,1.068638,1.8,8,1.25,0.149288,0.2635,5.75,1
2011-01-05,Hawaii,5.521739,21,7,20,0.036458,0.05,11,42,1.34456525,4.125,13.25,3.25,0.17006175,0.2345,4.75,1
2011-01-06,Hawaii,3.695652,6,7,6,0.045542,0.05,19,42,0.6796582499999999,1.5,9.75,1,0.16634225,0.1975,4,1
2011-01-07,Hawaii,5.347826,16,19,15,0.038042,0.048,9,41,0.81739125,2.25,16.5,1.75,0.14984425,0.2385,14.5,1
2011-01-08,Hawaii,6.041667,19,13,18,0.039125,0.047,5,40,3.1368595,16.4,13.5,13.5,0.18521375,0.29225,11,1.25
2011-01-09,Hawaii,3.217391,9,7,8,0.045375,0.056,10,47,0.792702,1.525,9.75,1.25,0.18036950000000002,0.261,2.25,1.25
2011-01-10,Hawaii,2.5,4,0,4,0.034,0.049,0,42,1.37313675,3.775,8.5,3.25,0.168125,0.25375,20.75,1.25
2011-01-11,Hawaii,7.1,18,8,17,0.034542,0.05,10,42,1.8575425,7.25,15,6.75,0.24263075,0.37375,5.5,1.5
2011-01-12,Hawaii,2.73913,8,13,8,0.023292,0.032,0,27,1.22360225,3.075,7.25,2.5,0.123507,0.23625,2,1.25
2011-01-13,Hawaii,6.347826,25,2,24,0.021708,0.028,0,24,0.9563665,4.55,1.5,4.25,0.09709975,0.2485,8.25,1
2011-01-14,Hawaii,2.130435,11,23,10,0.017625,0.024,8,20,0.65,1.125,5.25,0.5,0.06339675,0.18875,21.75,0.75
2011-01-15,Hawaii,6.791667,15,22,14,0.015875,0.027,11,23,0.9391305,1.625,6,1,0.13081175,0.26175,4.5,1
2011-01-16,Hawaii,5.25,15,3,14,0.031333,0.038,12,32,1.2415530000000001,4.375,22,4.5,0.10503575,0.151,1,0.75
2011-01-17,Hawaii,6.434783,21,7,20,0.033458,0.053,10,45,1.4611797499999999,2.875,4.5,2,0.1555565,0.24625,7.25,1
2011-01-18,Hawaii,7.666667,22,8,21,0.036833,0.047,11,40,0.510766,1.375,7.5,1,0.21512525,0.314,12,1.75
2011-01-19,Hawaii,4.636364,16,9,15,0.038583,0.05,10,42,0.27858525,1.225,10,1,0.24698225000000001,0.3175,3.5,1.75
2011-01-20,Hawaii,3.26087,8,7,8,0.025292,0.032,0,27,0.1885095,0.47500000000000003,10,0.25,0.2023535,0.23249999999999998,1.5,1.25
2011-01-21,Hawaii,4.130435,17,7,16,0.025913,0.033,9,28,0.2526515,0.675,9.25,0.25,0.1954745,0.25825,3.5,1
2011-01-22,Hawaii,3.208333,8,7,8,0.028833,0.036,8,31,0.14860250000000003,0.4,8.75,0.25,0.20799825,0.24575,3.5,1
2011-01-23,Hawaii,2,4,7,4,0.029,0.033,23,28,0.11583825,0.65,16.5,0.25,0.185308,0.20775,2.25,1
2011-01-24,Hawaii,3.173913,14,7,13,0.032167,0.038,10,32,0.17531075,0.95,9.5,0.5,0.21363749999999998,0.27675,6,1.25
2011-01-25,Hawaii,5.5,23,7,22,0.030625,0.04,9,34,0.5534472500000001,4.1,12,4.5,0.25657075,0.51125,8.25,2.25
2011-01-26,Hawaii,5.26087,22,7,21,0.027875,0.037,9,31,0.43338525,1.175,15,0.5,0.2414255,0.395,6.5,1.75
2011-01-27,Hawaii,4.73913,21,7,20,0.03,0.038,9,32,0.210093,0.875,13.25,0.5,0.2335795,0.38625,7,1.75
2011-01-28,Hawaii,2.782609,8,7,8,0.0315,0.038,9,32,0.09177025,0.35,10,0,0.20863025000000002,0.24225000000000002,3.25,1
2011-01-29,Hawaii,3.416667,15,21,14,0.026625,0.04,9,34,0.15612725,0.9,10,0.5,0.223442,0.34825,21.75,1.75
2011-01-30,Hawaii,6,13,8,12,0.026417,0.042,23,36,0.59161475,2.05,13.25,1.75,0.258882,0.3335,3.5,1.75
2011-01-31,Hawaii,2.869565,7,7,7,0.042458,0.046,8,39,0.10574525,0.95,16.5,0.5,0.2747735,0.2965,5.25,1.75
2011-02-01,Hawaii,5.73913,20,7,19,0.034417,0.046,9,39,0.87879025,2.85,16.5,2.5,0.29259775,0.34325,2.75,1.75
2011-02-02,Hawaii,4.826087,24,7,23,0.024292,0.032,9,27,0.32127325,1.125,14,0.5,0.26290225,0.40025,5.5,2
2011-02-03,Hawaii,5.380952,17,7,16,0.02575,0.038,10,32,0.285766,1.25,6.25,1,0.26768375,0.38025,11.75,1.75
2011-02-04,Hawaii,6.26087,16,7,15,0.020208,0.034,9,29,0.5704972500000001,1.875,14.5,1.25,0.299154,0.45375,4.25,2
2011-02-05,Hawaii,2.590909,8,6,8,0.024792,0.031,9,26,0.3824535,0.925,10.25,0.75,0.26331224999999997,0.372,1.75,2
2011-02-06,Hawaii,3.863636,13,22,12,0.020667,0.027,0,23,1.2235530000000001,4.375,15.5,3.5,0.24847725,0.26125,5.5,1.5
2011-02-07,Hawaii,4.521739,13,8,12,0.019708,0.026,20,22,0.2729815,1.35,8.75,1,0.3090925,0.57575,8.5,2.5
2011-02-08,Hawaii,3.809524,14,7,13,0.02975,0.036,9,31,0.270704,0.875,18.5,0.5,0.27275525,0.35225,11.25,2
2011-02-09,Hawaii,2.826087,17,7,16,0.031667,0.036,13,31,0.14798125,0.675,5.75,0.5,0.29088575,0.432,5,2
2011-02-10,Hawaii,3.304348,19,7,18,0.025958,0.03,9,25,0.60580875,2.275,17.75,1.75,0.2986775,0.42625,5.75,2
2011-02-11,Hawaii,5.521739,19,7,18,0.025667,0.036,19,31,1.8414012499999999,3.825,9,3.5,0.33434075,0.38625,5.75,2
2011-02-12,Hawaii,2.666667,13,18,12,0.027042,0.034,0,29,0.2614585,1,17,1,0.32580425,0.37324999999999997,11.5,2
2011-02-13,Hawaii,2.391304,7,7,7,0.016708,0.022,9,19,0.04227033333333333,0.43333333333333335,8,0.3333333333333333,0.342893,0.44175,5.25,2.25
2011-02-14,Hawaii,3.956522,13,7,12,0.016167,0.023,10,19,0.19824,0.875,22.25,0.5,0.33681900000000004,0.57325,7.25,2.5
2011-02-15,Hawaii,3.695652,12,7,11,0.017167,0.022,9,19,0.810512,1.8250000000000002,12,1.5,0.31055425000000003,0.427,3.25,2
2011-02-16,Hawaii,2.130435,9,23,8,0.017417,0.022,8,19,0.3024845,1.05,13,0.5,0.26637,0.31174999999999997,2.5,1.75
2011-02-17,Hawaii,2.130435,10,7,9,0.016542,0.019,8,16,0.40450275,1.325,7.5,1,0.27916475,0.3895,3.5,1.75
2011-02-18,Hawaii,1.782609,9,23,8,0.016083,0.019,2,16,0.3363355,0.9249999999999999,8,0.5,0.25148349999999997,0.3095,7.5,1.75
2011-02-19,Hawaii,4.416667,10,6,9,0.01425,0.018,9,15,0.77254125,2.55,15,2.25,0.29416475000000003,0.43674999999999997,7,2.25
2011-02-20,Hawaii,1.391304,4,1,4,0.025833,0.035,11,30,0.264596,0.925,8.75,0.5,0.30452175000000004,0.333,3.5,1.75
2011-02-21,Hawaii,5.956522,12,16,11,0.025292,0.03,8,25,1.23788825,3.875,13.5,3.25,0.34261575,0.412,3.25,2.25
2011-02-22,Hawaii,6.565217,22,15,21,0.027458,0.033,9,28,1.3296585,4.325,14,4,0.3471305,0.538,7,2.25
2011-02-23,Hawaii,7.043478,22,7,21,0.029917,0.037,23,31,1.1165115,3.65,14,3.25,0.34782775,0.48425,6.75,2.25
2011-02-24,Hawaii,4.26087,13,7,12,0.038625,0.048,10,41,0.7563664999999999,3.275,13.5,3,0.3124365,0.39675,6.25,2.25
2011-02-25,Hawaii,5.583333,21,7,20,0.030208,0.042,10,36,0.3726385,1.175,8.5,0.5,0.34330425,0.4925,6,2.25
2011-02-26,Hawaii,5.5,16,7,15,0.025583,0.039,11,33,1.2852290000000002,6.25,13,6,0.333844,0.42824999999999996,5.25,2.25
2011-02-27,Hawaii,4.333333,10,1,9,0.022625,0.028,12,24,1.31881475,4.85,11.75,4,0.3349275,0.399,0.25,2.25
2011-02-28,Hawaii,3.608696,12,7,11,0.029625,0.036,20,31,0.48975175,1.9,9.5,1.75,0.31551075,0.396,4.5,2
2011-03-01,Hawaii,3.833333,12,6,11,0.036708,0.039,9,33,0.79469725,3.35,14.5,3,0.32005275,0.4,7.25,2.25
2011-03-02,Hawaii,4.291667,10,6,9,0.033417,0.038,0,32,0.748182,2.5,15.5,2,0.32271025000000003,0.3705,4.75,2
2011-03-03,Hawaii,3.478261,15,7,14,0.023375,0.027,9,23,0.7863355,1.625,7,1,0.32740925,0.39749999999999996,3.5,2
2011-03-04,Hawaii,5.875,16,18,15,0.020042,0.028,9,24,0.81520425,3.375,19,2.5,0.33654900000000004,0.39949999999999997,10,2
2011-03-05,Hawaii,5.416667,13,1,12,0.025375,0.033,19,28,0.328504,1.375,1.25,1,0.37684075,0.44775,3.25,2.5
2011-03-06,Hawaii,2.125,7,18,7,0.025167,0.028,20,24,0.38756475,1.275,16,1,0.309252,0.3505,5,2
2011-03-07,Hawaii,2.478261,6,7,6,0.022542,0.028,0,24,0.38882,0.7,6.666666666666667,0.3333333333333333,0.30107625,0.33225,2.75,1.75
2011-03-08,Hawaii,2.291667,10,6,9,0.020292,0.022,7,19,0.186111,0.9,14.666666666666666,0.3333333333333333,0.30155975,0.34099999999999997,2.75,1.75
2011-03-09,Hawaii,2.958333,8,7,8,0.018,0.022,20,19,0.27520825,1.2,11.25,0.5,0.310806,0.36275,5.5,2
2011-03-10,Hawaii,3.26087,9,7,8,0.02075,0.023,23,19,0.54915125,1.075,12,0.5,0.30727,0.35875,9.25,2
2011-03-11,Hawaii,2,4,7,4,0.024125,0.027,8,23,0.36845875,0.925,11,0.5,0.32485875,0.35675,5.25,2
2011-03-12,Hawaii,4.125,18,15,17,0.022292,0.026,6,22,1.158534,7,16.5,5.75,0.33002725,0.36024999999999996,5,2
2011-03-13,Hawaii,2.583333,9,22,8,0.024208,0.03,8,25,0.4823175,1.8,15.5,1.75,0.32827724999999996,0.363,5.25,2
2011-03-14,Hawaii,3.913043,14,5,13,0.023625,0.03,9,25,0.5551240000000001,1.675,14.5,1.5,0.34662125,0.44275,4.5,2.25
2011-03-15,Hawaii,2.833333,9,6,8,0.031125,0.036,20,31,0.53235,0.775,9.5,0.25,0.326085,0.391,3,2
2011-03-16,Hawaii,1.541667,8,7,8,0.0335,0.036,8,31,0.38863225,1.125,6.75,0.5,0.33211775,0.35475,3,2
2011-03-17,Hawaii,2.217391,8,7,8,0.029,0.029,0,25,0.58446175,1.25,8.75,1,0.34319575,0.3505,1.75,2
2011-03-29,Hawaii,3,8,7,8,0.031,0.033,22,28,0.6127135,1.4,14.75,1,0.357442,0.39025,2.75,2
2011-03-30,Hawaii,3.083333,10,7,9,0.033,0.033,0,28,0.5143375,1.65,18,1.5,0.35532775,0.39349999999999996,3.25,2
2011-03-31,Hawaii,3.782609,15,20,14,0.024857,0.034,10,29,0.827329,2.725,20,2.25,0.34126075,0.39449999999999996,3.25,2
2011-04-01,Hawaii,4.173913,8,6,8,0.02425,0.029,8,25,0.4558465,0.925,11.75,0.5,0.35553025,0.38725,3,2
2011-04-02,Hawaii,2.041667,5,6,5,0.029458,0.036,8,31,0.4612125,0.9,10.75,0.5,0.33413950000000003,0.35875,5.25,2
2011-04-03,Hawaii,2.434783,8,21,8,0.0245,0.033,8,28,0.54285725,1.525,16.25,1.5,0.33473,0.3585,4.75,2
2011-04-04,Hawaii,3.73913,16,15,15,0.025542,0.029,8,25,0.81692575,3.525,16,2.75,0.32691125,0.40449999999999997,2.75,2
2011-04-05,Hawaii,3.75,13,22,12,0.030917,0.038,10,32,0.43216875,1.25,13,1,0.3397755,0.39175,4.5,2
2011-04-06,Hawaii,6.541667,19,6,18,0.02675,0.032,8,27,0.94329725,3.35,16.5,3,0.3809925,0.5327500000000001,6,2.5
2011-04-07,Hawaii,2.956522,13,5,12,0.027667,0.035,8,30,0.29906825,0.6,15.75,0.25,0.33509225,0.40349999999999997,3,2
