Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2009-04-30,Idaho,7.65,25,23,24,0.0075,0.008,22,7,0.1166665,0.44999999999999996,17,0,0.178875,0.269,3,1
2009-05-01,Idaho,7.375,20,6,19,0.032292,0.046,10,39,0.2291665,1.2,17,0.5,0.158854,0.2535,3,1
2009-05-02,Idaho,8.95,24,22,23,0.028167,0.044,11,37,0.1333335,0.4,10,0,0.130625,0.254,21.5,1
2009-05-03,Idaho,5.3125,17,23,16,0.02725,0.043,12,36,0.1666665,1.15,17,0.5,0.153021,0.232,10.5,1
2009-05-04,Idaho,5.8,18,6,17,0.035167,0.045,14,38,0.16875,0.44999999999999996,8.5,0,0.16722900000000002,0.266,3,1
2009-05-05,Idaho,5.3125,14,22,13,0.026958,0.036,11,31,0.25,1.15,17,0.5,0.14347900000000002,0.219,8,1
2009-05-06,Idaho,6.8,21,5,20,0.027792,0.043,12,36,0.25,0.85,7,0.5,0.1469375,0.246,3,1
2009-05-07,Idaho,5.5,25,5,24,0.034458,0.045,8,38,0.22499999999999998,1.1,12.5,0.5,0.1770625,0.261,5,1
2009-05-08,Idaho,7.35,30,23,28,0.027167,0.045,11,38,0.1086955,0.6,7,0,0.1772645,0.315,11.5,1
2009-05-09,Idaho,7.3125,23,23,22,0.028417,0.052,11,44,0.2895835,1.05,17,0.5,0.203854,0.372,11.5,1.5
2009-05-10,Idaho,5.529412,21,5,20,0.038667,0.05,12,42,0.1026315,0.4,5,0,0.1182085,0.3095,0.5,1.5
2009-05-11,Idaho,8,28,22,26,0.033208,0.053,11,45,0.40625,1.95,7,1.5,0.160104,0.33,6,1
2009-05-12,Idaho,2,7,6,7,0.038167,0.048,8,41,0.04375,0.3,5.5,0,0.150625,0.1895,3,1
2009-05-13,Idaho,7.0625,26,5,25,0.035125,0.048,11,41,0.26458349999999997,1.25,11,0.5,0.17375000000000002,0.25,4,1
2009-05-14,Idaho,4.9,14,6,13,0.031375,0.037,16,31,0.09583349999999999,0.35,8.5,0,0.1056875,0.1855,3,1
2009-05-15,Idaho,8.3125,36,23,34,0.028556,0.059,13,50,0.168323,1,17,0.5,0.1215185,0.222,6.5,1
2009-05-16,Idaho,10.3,44,21,42,0.034375,0.061,12,54,0.2354165,1.15,22,0.5,0.028999999999999998,0.077,2.5,0.5
2009-05-17,Idaho,3.6875,17,5,16,0.039542,0.061,11,54,0.16041650000000002,1.05,17,0.5,0.022646,0.027,11,0
2009-05-18,Idaho,9.55,34,21,32,0.035667,0.058,10,49,0.1979165,0.55,7,0,0.0502085,0.0785,5,0.5
2009-05-19,Idaho,5.875,31,5,29,0.032708,0.04,18,34,0.20625,1.05,11,0.5,0.0779165,0.0815,10,0.5
2009-05-20,Idaho,2.65,13,22,12,0.037625,0.052,11,44,0.014583500000000001,0.2,10,0,0.0326875,0.076,2.5,0.5
2009-05-21,Idaho,9.25,33,23,31,0.032417,0.058,11,49,0.272671,1,17,0.5,0.0191085,0.023,11,0
