Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-06,Illinois,30.5,43,17,41,9.17e-4,0.006,23,5,11.9020835,27.65,12,23,0.6657200000000001,1.4,16,7
2000-01-07,Illinois,32.291667,51,15,48,0.002667,0.006,0,5,6.48125,19.15,16.5,17,0.8208335,1.55,17,7.5
2000-01-08,Illinois,27.5,34,17,32,0.002042,0.004,3,3,6.5270835,12.65,13,10,0.5625,0.8500000000000001,4,5
2000-01-09,Illinois,22,28,23,26,7.08e-4,0.001,0,1,2,2,1,1.5,0.6541665,0.8500000000000001,13,4.5
2000-01-10,Illinois,27.791667,37,7,35,0.004083,0.011,22,9,3.4020835,5.8,13,4.5,0.6166665,1.1,17,4.5
2000-01-11,Illinois,22.478261,32,17,30,0.005292,0.01,0,8,2.5227275000000002,3.8,1,3,0.414674,0.7,8,3.5
2000-01-12,Illinois,21.75,36,3,34,0.008458,0.013,8,11,2.2833335,3,5,2,0.439583,0.55,3.5,3
2000-01-13,Illinois,33.166667,45,15,42,0.001917,0.004,0,3,4.215528,7.65,16.5,5.5,0.6830620000000001,1.45,15.5,5.5
2000-01-14,Illinois,39.083333,60,8,57,1.25e-4,0.001,20,1,10.3625,24.15,11,20.5,0.958333,1.7,11,8
2000-01-15,Illinois,26.166667,43,20,41,2.5e-4,0.001,6,1,12.7375,22,13,16.5,0.5291665,0.8,11,4.5
2000-01-16,Illinois,17.583333,25,1,24,0.016875,0.026,20,22,3.86875,9.15,1,7,0.45416650000000003,0.6499999999999999,1.5,3.5
2000-01-17,Illinois,20.25,31,21,29,0.009583,0.024,0,20,3.0333335,7.5,11.5,6.5,0.56875,0.9500000000000001,12.5,4.5
2000-01-18,Illinois,31.416667,50,3,47,0.001125,0.002,6,2,3.4875,4.8,14,3.5,0.8458335,1.3,9.5,5.5
2000-01-19,Illinois,44,82,7,81,0.001583,0.009,22,8,6.5357145,16.3,13,13,1.4063405,2.55,10.5,12
2000-01-20,Illinois,35.166667,80,11,79,0.003833,0.009,0,8,3.4875,9.15,11,8.5,0.7354165,1.15,8.5,6.5
2000-01-21,Illinois,43.375,55,19,52,6.25e-4,0.002,7,2,6.4020835,10.65,23,8.5,1.297917,2.4000000000000004,19,12
2000-01-22,Illinois,39.041667,51,0,48,0.001125,0.004,23,3,11.685416499999999,22,1.5,16.5,1.3770835,2.3,0,12
2000-01-23,Illinois,22.958333,37,22,35,0.009125,0.015,6,13,4.6520835,8,1,5.5,0.5979165,0.9,0,5.5
2000-01-24,Illinois,42.958333,54,8,51,6.67e-4,0.002,7,2,10.7770835,26.8,10.5,23,1.13125,1.7,10.5,8.5
2000-01-25,Illinois,34.954545,42,0,40,0.003083,0.006,11,5,7.185065,16.5,1,13.5,0.6267210000000001,1,4,5.5
2000-01-26,Illinois,38,44,7,42,0.001958,0.005,9,4,7.85,14.8,13,12,0.554167,1.15,17,5
2000-01-27,Illinois,39.791667,54,9,51,0.004875,0.008,10,7,9.0729165,16.8,10,14.5,0.8708335,1.65,8.5,7.5
2000-01-28,Illinois,48.916667,77,4,76,0.00575,0.02,23,17,11.8229165,23.5,13.5,17,1.275,1.85,7,9
2000-01-29,Illinois,16.916667,32,10,30,0.017917,0.023,1,19,5.1520835,11.15,1,8.5,0.3125,0.7,0,4.5
2000-01-30,Illinois,32.25,51,19,48,0.003458,0.008,0,7,6.5666665,15.15,16.5,11.5,0.535417,0.8,17.5,4
2000-01-31,Illinois,41.833333,53,11,50,0.002875,0.006,0,5,6.48125,16.3,13,13.5,0.766667,1.3,11,6.5
2000-02-01,Illinois,38.375,48,17,45,0.002,0.006,9,5,5.4020835,8.5,13.5,6.5,0.65625,0.9500000000000001,9.5,4.5
2000-02-02,Illinois,45.173913,69,8,67,0.001958,0.003,8,3,9.432467500000001,28.3,11.5,27.5,0.9160985,1.9,9.5,8.5
2000-02-03,Illinois,35.375,43,7,41,0.002792,0.004,8,3,7.1458335,16.8,1,13,0.652083,1.05,8.5,4.5
2000-02-04,Illinois,39.458333,69,18,67,0.002833,0.008,9,7,5.1979165,9.65,19,8,0.8104165,1.25,10.5,6.5
2000-02-05,Illinois,34.458333,49,0,46,0.005333,0.01,8,8,3.1458335,4.8,1,3.5,0.60625,0.9,0,5
2000-02-06,Illinois,41.083333,47,15,44,0.001167,0.004,9,3,8.0208335,14,15.5,10.5,0.6583330000000001,1.25,5,6.5
2000-02-07,Illinois,35.208333,47,8,44,0.008,0.018,19,15,6.1125,10.65,7,8.5,0.7562500000000001,1.4,12,7
2000-02-08,Illinois,46.541667,97,7,97,0.003375,0.009,0,8,6.85625,16.5,13,14.5,0.9770829999999999,2.4,8.5,10
2000-02-09,Illinois,32.863636,50,13,47,0.005125,0.009,19,8,9.268939,26.5,8,20.5,0.5423915,1,13,4.5
2000-02-10,Illinois,34.041667,49,16,46,0.0045,0.012,21,10,5.73125,11.5,4.5,8.5,0.9375,1.65,16,8.5
2000-02-11,Illinois,31,43,17,41,0.0115,0.025,23,21,5.1125,8.65,14.5,6.5,0.7479165,1.35,18,6.5
2000-02-12,Illinois,21.666667,39,18,37,0.016375,0.027,1,23,5.4875,11.8,13,10,0.4291665,0.7,5,4
2000-02-13,Illinois,23.208333,27,21,25,0.008083,0.011,22,9,4.0208335,6.8,2.5,5,0.53125,0.6499999999999999,2,3.5
2000-02-14,Illinois,39.291667,53,16,50,0.002792,0.01,0,8,5.9083335,8.5,17,6.5,0.8791665,1.45,16,7
2000-02-15,Illinois,36.541667,51,0,48,0.002333,0.009,23,8,12.4416665,23.3,19.5,18.5,0.8,1.15,10,5.5
2000-02-16,Illinois,35.041667,49,21,46,0.005,0.009,0,8,5.1979165,8.65,13,6.5,0.7520835,1.25,18.5,6.5
2000-02-17,Illinois,34.045455,66,7,64,0.012083,0.019,18,16,7.8142855,18.65,7.5,14.5,0.8820650000000001,1.6,7.5,7.5
2000-02-18,Illinois,23.291667,30,13,28,0.013958,0.021,19,18,2.1583335,3.8,1.5,3,0.5291665,0.6499999999999999,10,3.5
2000-02-19,Illinois,33.166667,45,10,42,0.011833,0.019,23,16,2.5333335,5.15,13.5,4.5,0.5958335,0.8,6,4
2000-02-20,Illinois,38.083333,66,18,64,0.012417,0.021,4,18,7.2375,37.65,22,31,0.566667,0.9500000000000001,18.5,4.5
2000-02-21,Illinois,40.458333,56,0,53,0.004417,0.009,0,8,17.310416500000002,54,1,40.5,0.6708335000000001,1,8.5,4.5
2000-02-22,Illinois,39.666667,46,14,43,0.001875,0.006,22,5,13.2770835,20.65,13,15.5,0.7895829999999999,1.25,10.5,5.5
2000-02-23,Illinois,46.181818,61,15,58,0.010958,0.018,23,15,12.531818,23.15,8,18.5,0.6935685,0.9500000000000001,9.5,4.5
2000-02-24,Illinois,32.875,43,8,41,0.006,0.018,0,15,3.23125,6.15,1,5,0.59375,0.8,14.5,4.5
2000-02-25,Illinois,31.125,46,16,43,0.009042,0.017,21,14,2.9416665,5.8,19.5,4.5,0.75,1.1,16,5
2000-02-26,Illinois,24.666667,37,18,35,0.013708,0.016,0,14,1.6125,5.15,1,4.5,0.37083350000000004,0.55,3.5,3.5
2000-02-27,Illinois,14.208333,29,19,27,0.018417,0.026,10,22,0.74375,1.65,12.5,1.5,0.31666649999999996,0.45,1.5,2.5
2000-02-28,Illinois,39.791667,62,8,60,0.0055,0.008,10,7,6.98125,13.15,12.5,11.5,0.81875,1.6,11,7.5
2000-02-29,Illinois,39.695652,62,7,60,0.010208,0.019,21,16,10.935093,18.3,7.5,13.5,0.657065,1,3,4.5
2000-03-01,Illinois,28.083333,45,17,42,0.011833,0.015,0,13,2.5729165,3.65,5.5,3,0.4395835,0.7,17.5,3.5
2000-03-02,Illinois,28.291667,40,10,38,0.015208,0.028,20,24,1.5604165,2.8,7.5,2,0.5958330000000001,0.95,18,5
2000-03-03,Illinois,32.625,58,23,55,0.007833,0.023,0,19,3.1979165,8,17,7,0.8625,1.9000000000000001,22.5,9
2000-03-04,Illinois,38.416667,55,0,52,0.006958,0.012,10,10,7.7833335,16.5,1,13,0.8125,1.75,0,9
2000-03-05,Illinois,33.666667,47,16,44,0.00875,0.016,13,14,4.61875,9.5,13.5,7,0.71875,1.35,22.5,6.5
2000-03-06,Illinois,51.083333,73,8,71,0.008667,0.015,20,13,16.3166665,50.65,8,43.5,0.95625,1.45,10,7
2000-03-07,Illinois,44.347826,74,17,72,0.007708,0.017,22,14,14.7357145,34.3,19.5,25.5,0.7041664999999999,1.1,15,5.5
2000-03-08,Illinois,34.75,57,8,54,0.013583,0.018,20,15,9.35625,19.5,10,15,0.6854169999999999,1.1,9.5,5
2000-03-09,Illinois,21.666667,33,15,31,0.010458,0.019,20,16,1.99375,6.65,1.5,5,0.58125,0.9500000000000001,15.5,4.5
2000-03-10,Illinois,28.5,44,8,42,0.009833,0.021,23,18,2.1583335,4,12,3,0.7354165,1.2,15,5.5
2000-03-11,Illinois,23.666667,45,23,42,0.013708,0.022,0,19,1.8291665,2,4,1.5,0.5687500000000001,0.9,0,4.5
2000-03-12,Illinois,34.25,46,8,43,0.009542,0.02,14,17,5.8166665,15.3,10,13.5,0.7270835,1.25,23,5
2000-03-13,Illinois,34.708333,45,10,42,3.75e-4,0.001,1,1,5.5145835000000005,12.15,7.5,9.5,0.8541665,1.25,16,6.5
2000-03-14,Illinois,36.826087,45,17,42,0.004208,0.009,10,8,6.687267,15.3,11.5,13.5,0.8291665,1.2000000000000002,10,6.5
2000-03-15,Illinois,37.166667,63,15,61,0.01025,0.027,22,23,10.1520835,28,13,23,0.8833335,1.2000000000000002,9.5,6.5
2000-03-16,Illinois,26.458333,41,11,39,0.019208,0.026,22,22,1.3625,2,9,1.5,0.7895829999999999,1.25,17.5,6.5
2000-03-17,Illinois,19.416667,27,7,25,0.021833,0.026,14,22,1.10625,2,11,1.5,0.589583,0.95,4,5.5
2000-03-18,Illinois,21.916667,33,8,31,0.015167,0.019,14,16,9.158333500000001,21.15,9.5,16.5,0.625,1,0,4
2000-03-19,Illinois,14.625,20,14,19,0.010375,0.014,0,12,1.4541665,3.5,1,3,0.54375,0.6499999999999999,6,3.5
2000-03-20,Illinois,16.541667,27,19,25,0.01025,0.018,3,15,0.6916665,1.5,12,1.5,0.360417,0.6,11,3
2000-03-21,Illinois,29.583333,38,18,36,2.92e-4,0.001,6,1,6.3625,14.3,16,11.5,1.0083335,1.9000000000000001,23,9
2000-03-22,Illinois,38.391304,52,21,49,0.002542,0.008,8,7,11.560559,17.15,14,13,1.2261775,2.2,20,11.5
2000-03-23,Illinois,32.833333,58,7,55,0.019083,0.034,15,29,9.8166665,19,10.5,15,1.03125,2,3.5,11.5
2000-03-24,Illinois,37.875,58,17,55,0.007208,0.015,23,13,11.6979165,25,22,20.5,0.6541665,0.9,7,4.5
2000-03-25,Illinois,16.291667,44,0,42,0.025292,0.034,10,29,2.7375,9.5,1,8,0.33958299999999997,0.55,0,3.5
2000-03-26,Illinois,27.583333,39,8,37,0.021292,0.026,13,22,4.6458335,13,10.5,10,0.4125,0.55,9.5,3
2000-03-27,Illinois,25.125,38,15,36,0.014292,0.02,0,17,2.6125,13.5,13,13.5,0.36875,0.55,9,3
2000-03-28,Illinois,30.958333,41,17,39,0.003125,0.009,0,8,1.98125,3.65,16.5,3,0.6354165,1.2,15.5,5
2000-03-29,Illinois,25.478261,47,8,44,0.009542,0.018,18,15,3.087879,6,8.5,5,0.694697,1.05,10.5,5.5
2000-03-30,Illinois,30.083333,50,5,47,0.009375,0.016,8,14,3.1125,5.15,5,4.5,0.8125,1.5,7,6.5
2000-03-31,Illinois,51.125,67.66666666666667,6.666666666666667,65.33333333333333,0.006041666666666667,0.007666666666666666,18,6.666666666666667,22.985416666666666,44.166666666666664,12.833333333333334,34.5,1.6333333333333333,2.6166666666666667,14.833333333333334,12.166666666666666
2000-04-01,Illinois,36.958333333333336,51.333333333333336,6.333333333333333,48.333333333333336,0.012514,0.021333333333333333,13.333333333333334,18,11.661111166666666,26.866666666666667,7.5,22.166666666666668,0.9305553333333333,1.75,9.166666666666666,10.666666666666666
2000-04-02,Illinois,30,44.666666666666664,18.333333333333332,42,0.01525,0.024333333333333335,6,20.666666666666668,11.53125,23.65,16.333333333333332,18.666666666666668,0.8993053333333334,1.4833333333333334,17.333333333333332,7.166666666666667
2000-04-03,Illinois,28.236111,48,2.3333333333333335,45,0.017166666666666667,0.026,17.333333333333332,21.666666666666668,8.731250166666667,18.866666666666667,6.833333333333333,14.666666666666666,0.8479166666666667,1.4333333333333333,3.5,7.5
2000-04-04,Illinois,26.5,47.333333333333336,20.666666666666668,44.333333333333336,0.015694666666666666,0.026,6.666666666666667,22,3.218055666666667,6.033333333333333,20,4.666666666666667,0.6868055,1.0333333333333334,20.666666666666668,5.166666666666667
2000-04-05,Illinois,31.841666666666665,53.333333333333336,6,50.666666666666664,0.023486,0.036,15,30.333333333333332,9.114448,19.266666666666666,7.5,14.166666666666666,0.948611,1.7,6,7.833333333333333
2000-04-06,Illinois,20.090177,35,15.666666666666666,33,0.018458333333333334,0.030666666666666665,6.666666666666667,26,4.5403210000000005,8.216666666666667,9.5,6.666666666666667,0.6790761666666667,1.1333333333333333,19.666666666666668,5.166666666666667
2000-04-07,Illinois,25.458333500000002,46.5,3,43.5,0.012271,0.0215,21,18,4.8166665,15.475,7,13,0.7958335,1.325,6.25,6.25
2000-04-08,Illinois,25.0625,49.5,20.5,46.5,0.015,0.0245,5,21,3.88541675,8.075,13,6,0.65625,1.175,22,5.75
2000-04-09,Illinois,22.241666666666667,36.666666666666664,14,34.666666666666664,0.018430333333333333,0.031000000000000003,9.333333333333334,26.666666666666668,8.029166666666667,25.333333333333332,8.5,22.5,0.8395835,1.6166666666666667,18.666666666666668,7.166666666666667
2000-04-10,Illinois,18.66243933333333,41.333333333333336,7.666666666666667,38.666666666666664,0.021069333333333336,0.024666666666666667,8.666666666666666,20.666666666666668,3.5708335,7.333333333333333,2.5,6.166666666666667,0.8666668333333334,1.6666666666666667,0.5,7.666666666666667
2000-04-11,Illinois,26.275252666666667,46.333333333333336,22.333333333333332,43.666666666666664,0.012791666666666666,0.021666666666666667,6.666666666666667,18.333333333333332,2.5620558333333334,4.5,15,3.5,0.8625303333333334,1.4166666666666667,20.166666666666668,6.5
2000-04-12,Illinois,31.202294666666667,51.666666666666664,10.333333333333334,48.666666666666664,0.016653,0.030333333333333334,12.666666666666666,25.666666666666668,5.683135,11.6,12,10.5,0.9496376666666667,1.5,6.333333333333333,7.5
2000-04-13,Illinois,33.609903333333335,51,11,48,0.013917,0.026666666666666665,5.666666666666667,22.666666666666668,8.1695825,16.083333333333332,16.333333333333332,13.5,0.8536533333333334,1.1833333333333333,4,6.166666666666667
2000-04-14,Illinois,27.916666666666664,42.666666666666664,0.3333333333333333,40,0.019889,0.033666666666666664,11.666666666666666,28.666666666666668,9.704861166666667,22.71666666666667,10,18.5,0.7347223333333334,0.95,2.8333333333333335,4.833333333333333
2000-04-15,Illinois,18.847222,33.666666666666664,11.333333333333334,31.666666666666668,0.018333333333333333,0.02666666666666667,11.666666666666666,22.666666666666668,6.417361166666667,18.533333333333335,13,16,0.645139,0.8666666666666667,16.333333333333332,4.5
2000-04-16,Illinois,18.875,29.333333333333332,14.333333333333334,27.333333333333332,0.010764,0.017,0,14.333333333333334,5.890972166666667,13.65,12.666666666666666,11,0.7993055,1.2,10.833333333333334,6.5
2000-04-17,Illinois,19.791667,29.666666666666668,20.666666666666668,28,0.008930666666666667,0.013333333333333334,7.666666666666667,11.333333333333334,2.2569445,4.1000000000000005,12.5,3,0.757639,1.0333333333333334,7,5.833333333333333
2000-04-18,Illinois,29.623232333333334,40.333333333333336,14,38,0.006194333333333333,0.011666666666666667,19,9.666666666666666,9.137094166666667,22.866666666666667,15.5,18.333333333333332,0.9391413333333334,1.4666666666666666,12.5,7.666666666666667
2000-04-19,Illinois,26.15476166666667,40,8.666666666666666,38,0.008083333333333333,0.013666666666666666,10.666666666666666,11.333333333333334,4.545337333333333,8.316666666666666,10.5,6.666666666666667,0.8801136666666667,1.3333333333333333,9.666666666666666,6.833333333333333
