Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-03-31,Indiana,31.041667,51,20,48,0.003,0.003,22,3,7.2518635,11.3,23,8.5,1.9666670000000002,3.2,23,14
2000-04-01,Indiana,33.416667,50,21,47,0.018625,0.035,10,30,14.429193,23.3,12.5,18.5,2.075,3.0999999999999996,1,16.5
2000-04-02,Indiana,25.083333,47,0,44,0.017375,0.021,1,18,10.2586955,19.5,16.5,15,1.864583,2.2,0,12.5
2000-04-03,Indiana,23.791667,46,7,43,0.020875,0.03,9,25,10.733229999999999,22.15,16,19.5,1.8666665,2.4000000000000004,7.5,12
2000-04-04,Indiana,11.833333,39,21,37,0.021792,0.033,11,28,5.3524845,8.15,22.5,6.5,1.64375,2,21.5,10
2000-04-05,Indiana,18.708333,37,5,35,0.032208,0.046,11,39,12.056211000000001,37.15,10.5,31,1.7770834999999998,2.3,6.5,11.5
2000-04-06,Indiana,16.416667,39,21,37,0.023167,0.035,0,30,8.557143,16.15,12,13,1.69375,2.15,22.5,11.5
2000-04-07,Indiana,23.583333,41,0,39,0.0155,0.028,3,24,7.836335500000001,13.8,11,11.5,1.8562500000000002,2.2,20,12
2000-04-08,Indiana,9.625,36,23,34,0.021708,0.034,10,29,5.719565,8,22,5.5,1.75625,2.05,11.5,11.5
2000-04-09,Indiana,21.666667,45,22,42,0.023458,0.047,11,40,9.1,26.15,10.5,23,2.0145835,2.55,2.5,13.5
2000-04-10,Indiana,23.619048,43,0,41,0.021,0.033,9,28,6.0642855,7.65,7,5.5,1.9335225,2.3499999999999996,3,13
2000-04-11,Indiana,15.166667,30,10,28,0.018083,0.026,15,22,4.550000000000001,11.8,10.5,9.5,1.3083334999999998,2.2,12,12
2000-04-12,Indiana,19.75,46,21,43,0.0255,0.04,11,34,1.0863355000000001,1.65,14,1.5,0.2583335,0.7,22,2.5
2000-04-13,Indiana,18.333333,45,20,42,0.02425,0.038,9,32,6.717702,19,20.5,15,0.2520835,0.55,10,2.5
2000-04-14,Indiana,18.833333,38,0,36,0.023,0.043,11,36,1.4611800000000001,3.3,12.5,3,0.275,0.4,15,2.5
2000-04-15,Indiana,21.958333,44,21,42,0.020292,0.041,10,35,3.53882,12.8,10,13,0.44166649999999996,0.85,22,4
