Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-10-01,Iowa,8.3625,21.2,0,20,0.021625,0.031,13,26,0.5708335,1.35,9.5,0.5,0.323998,0.6415,5,3.5
2006-10-02,Iowa,10.054167,30.8,20,28,0.022875,0.032,9,27,0.6104164999999999,1.15,21.5,0.5,0.293854,0.935,20.5,3.5
2006-10-03,Iowa,7.958333,15.6,7,14,0.026667,0.036,9,31,0.50625,1.3,11.5,0.5,0.23612499999999997,0.4375,3,3
2006-10-04,Iowa,5.416667,16.1,6,15,0.02275,0.029,0,25,0.5395835,1.3,7,0.5,0.1873125,0.268,3,1
2006-10-05,Iowa,6.690476,15.8,20,14,0.017708,0.029,10,25,0.3458335,1.5499999999999998,10,0.5,0.16543750000000002,0.2505,13,1
2006-10-06,Iowa,9.704167,14.8,21,13,0.01725,0.026,10,22,0.360065,0.9500000000000001,16,0.5,0.2410755,0.41800000000000004,6,1.5
2006-10-07,Iowa,9.729167,14.8,22,13,0.024792,0.032,11,27,1.58125,3.3499999999999996,13,3,0.21210400000000001,0.3085,21,1.5
2006-10-08,Iowa,11.245833,31.7,20,29,0.02725,0.039,9,33,1.6520834999999998,2.3499999999999996,10.5,1.5,0.290833,0.611,20,3
2006-10-09,Iowa,5.745833,10.2,0,9,0.02025,0.027,9,23,0.6854165,2.3,10.5,1.5,0.21389550000000002,0.3785,0,3
2006-10-10,Iowa,8.254167,17,19,16,0.01375,0.023,8,19,0.2875,0.5,13.5,0,0.19858350000000002,0.23900000000000002,8.5,1
2006-10-11,Iowa,4.072727,10.6,1,9,0.01525,0.019,11,16,0.0125,0.1,10,0,0.15516649999999998,0.20400000000000001,1,1
2006-10-12,Iowa,2.4375,3.4,19,3,0.021583,0.027,9,23,0,0,1,0,0.114591,0.127,9.5,0.5
2006-10-13,Iowa,2.504167,3.4,21,3,0.023125,0.029,11,25,0.0895835,0.2,12.5,0,0.1149585,0.124,10.5,0.5
2006-10-14,Iowa,5.391667,22.3,22,21,0.017708,0.03,10,25,0.175,0.35,11,0,0.16562500000000002,0.369,22,1.5
2006-10-15,Iowa,10.8625,25.5,4,24,0.018875,0.025,7,21,0.40625,1.2999999999999998,19,0.5,0.264708,0.4415,1,2.5
2006-10-16,Iowa,10.195833,17.6,6,16,0.016625,0.022,11,19,0.5916665,1.7999999999999998,10,0.5,0.2103335,0.23950000000000002,3,1
2006-10-17,Iowa,8.175,18.4,17,17,0.007042,0.013,8,11,0.15833350000000002,0.5,15.5,0,0.222958,0.3355,19,1.5
2006-10-18,Iowa,4.720833,6.6,7,6,0.005917,0.008,18,7,0.04375,0.15000000000000002,1,0,0.188542,0.2585,5,1.5
2006-10-19,Iowa,8.833333,23.4,19,22,0.009,0.02,9,17,0.06875,0.35,22.5,0,0.189708,0.4675,22,2.5
2006-10-20,Iowa,13.833333,22.5,20,21,0.009333,0.015,9,13,0.7916665,3.1500000000000004,16,3,0.25677099999999997,0.41500000000000004,8.5,2.5
2006-10-21,Iowa,8.9,17.6,4,16,0.012833,0.017,19,14,0.3458335,1.3,13,0.5,0.2239375,0.347,3,1.5
2006-10-22,Iowa,3.025,4.3,17,4,0.02025,0.025,14,21,0.041666499999999995,0.1,13,0,0.12762500000000002,0.174,0,1
2006-10-23,Iowa,5.383333,7.7,17,7,0.012417,0.019,10,16,0.125,0.25,12.5,0,0.142104,0.1935,7.5,1
2006-10-24,Iowa,12.666667,23.9,20,22,0.006042,0.016,9,14,0.3401515,1.4,16,0.5,0.2250835,0.3655,21,1.5
2006-10-25,Iowa,15.745455,22.3,0,21,0.007417,0.011,21,9,2.5229165,7.1,20,5,0.2485955,0.38,0,2.5
2006-10-26,Iowa,11.358333,17.3,23,16,0.00225,0.008,0,7,0.29374999999999996,1.45,1,0.5,0.222375,0.28900000000000003,16,1.5
2006-10-27,Iowa,13.816667,23.8,21,22,0.007083,0.013,9,11,0.1520835,0.45,10.5,0,0.2754375,0.4625,21.5,2.5
2006-10-28,Iowa,4.958333,9,0,8,0.020292,0.026,11,22,0.1333335,0.35,11.5,0,0.15510400000000002,0.2925,0,2.5
2006-10-29,Iowa,9.075,14.5,6,13,0.017417,0.022,22,19,0.26666650000000003,0.9,12.5,0.5,0.20016650000000002,0.23600000000000002,8.5,1
2006-10-30,Iowa,7.366667,13.8,7,12,0.026167,0.037,13,31,0.5666665,1.05,13.5,0.5,0.21531250000000002,0.3185,10,1.5
2006-10-31,Iowa,8.65,24,22,23,0.014526,0.021,8,18,0.041666499999999995,0.1,7,0,0.14100000000000001,0.20450000000000002,11,1
2007-03-31,Iowa,8.7875,18.9,0,17,0.0365,0.037,22,31,2.2145835,6.75,1.5,5,0.2630625,0.351,4,1.5
2007-04-01,Iowa,3.75,7,3,7,0.029,0.036,0,31,0.2354165,1.05,13.5,0.5,0.187104,0.197,9.5,1
2007-04-02,Iowa,8.7761365,19.1,8,18,0.021199,0.025500000000000002,15,21.5,1.14369875,5.45,11.75,4.75,0.26550925,0.326,16.75,1.5
2007-04-03,Iowa,6.2354164999999995,22.65,7.5,21.5,0.020541999999999998,0.0245,11,20.5,0.398661,1.325,8.75,0.75,0.26573925,0.42175,5.75,1.5
2007-04-04,Iowa,2.59375,3.7,11,3.5,0.027041500000000003,0.033,15.5,28,0.06325775,0.1,5.75,0,0.28064775000000003,0.6065,8.5,2.25
2007-04-05,Iowa,3.472619,6.65,13,6.5,0.0305,0.034,5,28.5,0.0691965,0.125,8.25,0,0.20092125,0.216,6.25,1
2007-04-06,Iowa,2.578322,3.5,8.5,3.5,0.031821,0.035,9,30,0.11775350000000001,0.225,11,0,0.271469,0.358,9,1.75
2007-04-07,Iowa,2.3916665000000004,4.4,12.5,4,0.028395499999999997,0.0325,9.5,27.5,0.10416675,0.125,4.25,0,0.20087275,0.23575000000000002,10.5,1.25
2007-04-08,Iowa,5.24375,17.25,21,16.5,0.0224795,0.031,10.5,26.5,0.144837,0.3,17.5,0,0.2205675,0.34575,20.5,1.5
2007-04-09,Iowa,13.43125,31,14,29.5,0.0190625,0.035,10.5,30,0.5407285,1.9500000000000002,8.75,1.5,0.494664,1.1564999999999999,12.25,4.75
2007-04-10,Iowa,10.8125,33.45,0,31,0.0266665,0.0365,15.5,31,1.24587875,2.425,7.75,1.25,0.39858225,0.847,5.75,3.5
2007-04-11,Iowa,7.495832999999999,10.15,10.5,9.5,0.0294585,0.037,18.5,31,0.160048,0.45,7,0.25,0.4043855,0.8160000000000001,11.75,3.25
2007-04-12,Iowa,7.512311,22.25,15,21,0.0313125,0.0405,10,34.5,0.18333325,0.5,10.75,0.25,0.376702,0.81925,10,3
2007-04-13,Iowa,12.9229165,27.55,12,26,0.028104,0.040999999999999995,10,34.5,0.25309824999999997,0.7,7.5,0.25,0.43442225,0.98,9,3.75
2007-04-14,Iowa,13.36875,33.05,21.5,31.5,0.024646,0.0415,10,35.5,0.62423,1.45,14.5,0.75,0.34052175,0.67525,17,3
2007-04-15,Iowa,11.23125,29.55,13,28,0.0276875,0.048,10,40.5,0.27259325,0.625,10.25,0.25,0.41205375,0.7495,7,4
2007-04-16,Iowa,13.0895835,33,10.5,31,0.028958499999999998,0.0445,11,37.5,1.3740940000000001,4.175000000000001,10,3,0.5344775,1.20675,14.5,5.25
2007-04-17,Iowa,11.622916499999999,29.05,5,27.5,0.035500000000000004,0.0495,11,42,0.81656975,1.8,11.25,1,0.318306,0.43425,3.75,2.75
