Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,Kansas,12.7291665,24,1.5,23,0.0336045,0.044,13.5,37,2.96770825,4.825,10.5,4,0.8893092499999999,0.925,2.75,5
2000-01-02,Kansas,7.0208335,13,20.5,12.5,0.017771000000000002,0.037500000000000006,0,32,1.4479165,3.725,1.5,2.75,0.8885415,1.125,12,6
2000-01-03,Kansas,8.1666665,14,9.5,13,0.0110625,0.0195,21,16.5,0.22708325000000001,0.5,2.5,0.25,0.9270832499999999,1.05,6.5,6.5
2000-01-04,Kansas,6.403409,10.5,11.5,10,0.015896,0.022,9,18.5,1.0017315,4.4,8.25,3.5,1.0291665,1.4000000000000001,14.75,7.75
2000-01-05,Kansas,12.9375,18.5,12.5,17.5,0.017729,0.028,10,24,1.83958325,3.9,16,2.75,1.25729175,1.4,5.75,8
2000-01-06,Kansas,13.145833,22.5,16,21.5,0.011125,0.017,10,14.5,3.03333325,15.825,13.5,14.25,1.2645835,1.55,15.5,8.25
2000-01-07,Kansas,12.8958335,17.5,18,16.5,0.013854499999999999,0.0245,10,20.5,2.609375,7.65,12.25,5.5,1.5114584999999998,2.5250000000000004,6.75,11.25
2000-01-08,Kansas,14.625,20,0.5,19,0.017541499999999998,0.021500000000000002,10,18.5,1.45416675,2.575,2.5,2.25,1.34479175,1.625,8,8.75
2000-01-09,Kansas,11.9583335,14.5,9.5,14,0.017,0.0205,7,17.5,0.99375,2,15.25,1.25,1.37708325,1.55,16.5,8.5
2000-01-10,Kansas,9.7708335,13,8,12.5,0.026125,0.035500000000000004,19.5,30.5,1.0104165,2.575,12.25,2,1.40833325,1.55,5.25,8.5
2000-01-11,Kansas,11.528409,20,14.5,18.5,0.0204585,0.0325,4.5,27.5,3.2119185000000003,11.075,13.5,10,1.127841,1.725,9.5,9.25
2000-01-12,Kansas,14.4166665,18.5,15,17.5,0.014875,0.022,9.5,19,6.05625,11.25,11.5,8.25,0.8104169999999999,1.075,9.75,6
2000-01-13,Kansas,10.7291665,17,20,16,0.011021,0.018000000000000002,9,15.5,2.65833325,9.725,19.5,7.5,1.03333325,2.65,11.5,11.75
2000-01-14,Kansas,14.875,25,4,23.5,0.0175,0.026500000000000003,10.5,22.5,4.59270825,11.3,9,8.25,1.34375,3.125,11.25,16
2000-01-15,Kansas,14.5833335,20,14,19,0.0216455,0.033,10,28,3.1385417500000004,5.75,15.75,4.25,0.94166675,1.3250000000000002,16.25,6.5
