Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-02-29,Kentucky,16.46956525,30.75,11.75,29,0.03325,0.033999999999999996,22,28.5,6.864648,15.4875,11.125,13,0.11564437500000001,0.3,3.5,1.5
2000-03-01,Kentucky,10.42391325,28.75,17.75,27.25,0.03054175,0.04275,2.25,36.5,3.523058875,8.9,10.375,7.5,0.067961625,0.19999999999999998,2.875,1
2000-03-02,Kentucky,14.3423912,29.4,15.2,27.8,0.0212186,0.0292,10,24.8,2.9575705,8.94,14.7,8.5,0.0466781,0.19,6.8,0.5
2000-03-03,Kentucky,16.1043478,26.2,17.4,24.8,0.0135584,0.019200000000000002,11.8,16.2,6.5605071,18.65,13.7,15.8,0.0528985,0.15,4.9,0.4
2000-03-04,Kentucky,17.773913,37,20.2,34.8,0.0176168,0.0336,10,28.4,9.0673447,25.47,12.8,21.9,0.1176135,0.67,18.4,2.4
2000-03-05,Kentucky,19.9043478,41.8,15.2,39.6,0.0201584,0.040799999999999996,10.4,34.6,6.2364078,23.88,10.3,20.9,0.2750824,0.9,10.3,3.7
2000-03-06,Kentucky,25.678261,48,19.2,45.2,0.0209582,0.0458,10.2,39.2,8.0884369,23.85,11,20,0.4110425,1.16,7.5,4.4
2000-03-07,Kentucky,23.952795,51.8,13.4,49.2,0.0331082,0.0574,10,52.8,6.4727630000000005,19.55,9.9,16.1,0.3217145,0.87,6.3,4.3
2000-03-08,Kentucky,15.951087,42.2,6,40,0.0431748,0.061000000000000006,8.4,60.6,5.0030175,14.79,4.2,12.7,0.1834799,0.6,3,3.7
2000-03-09,Kentucky,8.3985508,27.6,15,26.4,0.0316832,0.0458,7,38.8,3.7919047,14.59,8.7,12.7,0.0433697,0.13,0.1,0.9
2000-03-10,Kentucky,12.4826088,20.2,12.4,19,0.0152,0.023200000000000002,11.4,19.8,4.0959819,11.01,13.8,9.1,0.1112047,0.39,7.5,1.2
2000-03-11,Kentucky,12.572826,20.8,8.8,19.8,0.0126164,0.0212,18.4,18.2,4.9833385,11.35,5.2,8.8,0.0569927,0.08,2,0.4
2000-03-12,Kentucky,12.6869566,33.2,20.6,31.4,0.023741599999999998,0.0386,10.4,33,2.9044901,8.15,8.4,7.2,0.0954151,0.41000000000000003,12.4,1.5
2000-03-13,Kentucky,19.917443,39,12,36.8,0.022033399999999998,0.0366,10.4,31.2,4.4129969000000004,11.04,13.7,9.1,0.1133845,0.33,5.2,1.7
2000-03-14,Kentucky,22.8697204,47.6,18.8,44.8,0.024058200000000002,0.041800000000000004,11.2,35.4,5.4128727,22.44,12.4,20.1,0.2036806,0.79,13.2,2.6
2000-03-15,Kentucky,14.6673912,33.6,9.6,31.8,0.0395416,0.0558,10,50.6,4.2210284,9.01,9.8,7.6,0.1017621,0.33,1.5,2.4
2000-03-16,Kentucky,14.7008282,27,6,25.4,0.02025,0.0308,4.6,26.2,0.9953624,3.66,6,3.7,0.0564647,0.16,3.9,0.5
2000-03-17,Kentucky,10.3974638,18,12,17,0.027475,0.0344,10.4,29,2.4475675,8.05,12.1,7.3,0.0217391,0.04,3.7,0.1
2000-03-18,Kentucky,10.496739,21.6,17.8,20.4,0.024274999999999998,0.028999999999999998,8,24.8,3.7765476000000002,12.28,13.1,11.5,0.044805700000000004,0.12000000000000001,7.5,0.5
2000-03-19,Kentucky,9.2677534,21.2,12.8,20,0.025325,0.031200000000000002,16.2,26.4,4.0979348,12.58,6.8,9.7,0.0315629,0.07,1.6,0.4
2000-03-20,Kentucky,11.642391400000001,25.6,13.8,24,0.013966600000000001,0.0208,4.2,17.8,1.5995806,5.04,9.9,4.4,0.0356522,0.13,8.5,0.4
2000-03-21,Kentucky,15.528283833333333,26,17.333333333333332,24.666666666666668,0.010882,0.017499999999999998,8.666666666666666,14.833333333333334,6.239388416666666,18.383333333333333,14.25,14.916666666666666,0.15036475,0.35833333333333334,10.916666666666666,1.3333333333333333
2000-03-22,Kentucky,16.894539333333334,32,16.833333333333332,30.166666666666668,0.018048666666666668,0.0325,11,27.5,7.977036333333333,19.983333333333334,13.333333333333334,15.333333333333334,0.19221041666666666,0.47500000000000003,9.75,1.75
2000-03-23,Kentucky,17.4149375,32.833333333333336,10.166666666666666,31.166666666666668,0.020493,0.034333333333333334,11.166666666666666,29.166666666666668,9.372116583333334,22.291666666666668,13.166666666666666,17.333333333333332,0.16974316666666667,0.45833333333333337,4.75,1.6666666666666667
