Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,Louisiana,31.083333,72,18,70,0.02335,0.038,10,32,7.7375,12.3,2,10.5,0.845943,1.5,20.5,7
2000-01-02,Louisiana,10.95,28,0,26,0.0185,0.025,10,21,5.4833335000000005,7.65,20,6.5,0.6182355,1.05,0,7.5
2000-01-03,Louisiana,10.083333,19,16,18,0.013792,0.02,22,17,5.0333335,10.65,14,10,0.5583335,0.7,8,3.5
2000-01-04,Louisiana,15.916667,32,22,30,0.01025,0.019,0,16,14.3958335,34.5,19,29.5,0.45,0.5,4.5,3
2000-01-05,Louisiana,24.958333,45,18,42,0.009833,0.023,9,19,8.4416665,50,1,42,0.70625,1.5499999999999998,23,7
2000-01-06,Louisiana,29.428571,46,17,43,0.010083,0.025,9,21,6.6396105,13.65,7.5,10.5,1.271591,2.5,22,10
2000-01-07,Louisiana,23.166667,49,18,46,0.021542,0.036,9,31,4.7770835,6.5,10.5,5,0.96875,1.75,0,11
2000-01-08,Louisiana,18.958333,40,19,38,0.02095,0.03,11,25,6.4875,10,10.5,8,0.7708335,1.05,19.5,5
2000-01-09,Louisiana,10.6,15,6,14,0.013136,0.017,20,14,4.4583335,6.5,13.5,5,0.7473529999999999,0.8500000000000001,0,5
2000-01-10,Louisiana,22.954545,50,19,47,0.014958,0.028,11,24,7.5208335,16.8,11,15,0.8,1.05,8.5,5
2000-01-11,Louisiana,25.666667,37,1,35,0.012958,0.025,9,21,5.7041664999999995,8.5,2,6.5,0.9520835000000001,1.4,23,6.5
2000-01-12,Louisiana,18.083333,27,17,25,0.009792,0.014,8,12,4.6916665,6.5,17,5,0.9145835,1.45,0,7
2000-01-13,Louisiana,11.047619,18,7,17,0.018125,0.024,11,20,6.172078,17.15,13,14.5,0.738068,0.9,3.5,5
2000-01-14,Louisiana,13.125,41,18,39,0.017042,0.026,9,22,3.6916665,5.15,14.5,4.5,0.6979165,1.05,19.5,5
2000-01-15,Louisiana,18.041667,33,19,31,0.0199,0.031,10,26,6.2708335,8.8,15,7,0.7791665,0.95,11.5,5
2000-01-16,Louisiana,24.45,47,19,44,0.015273,0.032,9,27,8.125,17.65,8,15,0.8873530000000001,1.2,23,5.5
2000-01-17,Louisiana,28.541667,94,1,94,0.015167,0.027,10,23,5.6916665,8.3,17,6.5,1.225,2,4,10
2000-01-18,Louisiana,16.083333,31,17,29,0.016375,0.023,9,19,4.8166665,9.15,1,7,0.7895835,0.9,4,4.5
2000-01-19,Louisiana,9.333333,19,22,18,0.018417,0.027,10,23,4.1520835,4.8,10.5,3.5,0.7354165,0.8500000000000001,4,4.5
2000-01-20,Louisiana,13.9,25,5,24,0.021375,0.027,9,23,13.575,43.5,4.5,34.5,0.730952,0.8,4,4.5
2000-01-21,Louisiana,16.375,34,20,32,0.018917,0.027,8,23,2.1916665,4.5,8.5,3.5,0.7333335000000001,0.8500000000000001,7.5,4.5
2000-01-22,Louisiana,21.083333,33,9,31,0.0168,0.028,8,24,1.86875,4,5.5,3.5,0.8125,1.05,19,5.5
2000-01-23,Louisiana,14.95,26,16,25,0.0105,0.016,11,14,6.125,19.15,22,16.5,0.775397,0.95,8.5,5.5
2000-01-24,Louisiana,15.291667,25,23,24,0.016333,0.022,9,19,13.60625,43.5,5,33,0.6854165000000001,0.8,2.5,4.5
2000-01-25,Louisiana,18,34,21,32,0.017667,0.025,10,21,6.4416665,27.8,17,24.5,0.6666665,0.8,14.5,4.5
2000-01-26,Louisiana,11.416667,25,6,24,0.023375,0.029,9,25,1.1583335,6.3,14,5.5,0.6541669999999999,0.8,3,4.5
2000-01-27,Louisiana,13.333333,25,18,24,0.019042,0.023,7,19,2.8220780000000003,6.65,16.5,5,0.6331439999999999,0.75,19,4
2000-01-28,Louisiana,13.833333,21,7,20,0.010333,0.017,0,14,9.2770835,31.5,17,25,0.6958335,0.75,3,4
2000-01-29,Louisiana,11.041667,17,2,16,0.01345,0.023,18,19,7.5666665,22.8,4,23,0.6979165,0.7,0,4
2000-01-30,Louisiana,9.65,25,20,24,0.023364,0.032,11,27,2.6583335,11.65,10.5,12,0.7317644999999999,0.9,20,4.5
2000-01-31,Louisiana,24.208333,55,18,52,0.019917,0.038,9,32,0.24375,1.5,19.5,1.5,1.00625,1.65,20,7.5
2000-02-01,Louisiana,26.625,57,19,54,0.02125,0.038,10,32,0.11875,0.8,19.5,0.5,1.0583335,1.85,22,8.5
2000-02-02,Louisiana,16.541667,46,19,43,0.031875,0.045,9,38,0.24375,1.65,17,1.5,0.85,1.35,9.5,8.5
2000-02-03,Louisiana,32.904762,56,23,53,0.026417,0.044,10,37,2.9616885,9.3,10.5,7,1.006629,1.6,7.5,7.5
2000-02-04,Louisiana,21.958333,53,6,50,0.027625,0.035,10,30,4.7770835,17,14,17,0.8041665,0.95,3,5
2000-02-05,Louisiana,14.666667,47,18,44,0.02235,0.032,9,27,2.5729165,7.8,16.5,6.5,0.7479165000000001,0.9,15.5,4.5
2000-02-06,Louisiana,31.7,65,19,63,0.019273,0.04,9,34,4.1583334999999995,14.15,23,13,1.204706,2.65,21,10
2000-02-07,Louisiana,56.958333,77,18,76,0.011292,0.027,9,23,6.99375,14.5,1,11.5,1.625,2.7,9.5,12.5
2000-02-08,Louisiana,32.347826,55,1,52,0.020875,0.043,10,36,8.60625,26.8,13,23.5,1.0166665,1.25,4,7.5
2000-02-09,Louisiana,34.416667,56,7,53,0.027958,0.047,11,40,3.10625,7.8,15.5,6.5,1.1875,1.95,8,8
2000-02-10,Louisiana,25.52381,42,18,40,0.028375,0.043,10,36,1.3603895000000001,3.15,14.5,3,1.0473485,1.25,3.5,6.5
2000-02-11,Louisiana,25.333333,42,6,40,0.019875,0.029,9,25,2.2708335,17.65,10,18.5,0.7394925,1.2000000000000002,6.5,6.5
2000-02-12,Louisiana,16.875,27,2,25,0.0234,0.034,9,29,3.1125,8,17,7,0.395833,0.5,1,3
2000-02-13,Louisiana,9,15,17,14,0.024182,0.03,6,25,1.0416665,4.3,17,3.5,0.4,0.45,8.5,2.5
2000-02-14,Louisiana,24.125,61,20,58,0.021,0.036,10,31,8.1979165,39.5,12.5,33,0.6229165,2.55,22,8.5
2000-02-15,Louisiana,19.458333,34,7,32,0.024083,0.041,10,35,0.9416665,3.65,13,3,0.64375,1.2000000000000002,4.5,9
2000-02-16,Louisiana,25.666667,41,19,39,0.011875,0.025,10,21,3.4416665,8,19,6.5,0.83125,2.55,21,8
2000-02-17,Louisiana,13.904762,25,0,24,0.010583,0.018,9,15,1.0298705,6.65,8,7,0.6695074999999999,1.55,2,9
2000-02-18,Louisiana,14.916667,26,7,25,0.0185,0.028,9,24,0.8625,4.65,19,4.5,0.5083335,0.6499999999999999,17.5,3.5
2000-02-19,Louisiana,9.666667,15,6,14,0.02145,0.029,11,25,8.48125,27.3,7,22,0.41875,0.55,0,3.5
2000-02-20,Louisiana,13.8,44,19,42,0.024136,0.041,10,35,0.09761900000000001,0.8,19,0.5,0.5,1,20.5,4.5
2000-02-21,Louisiana,23.291667,49,23,46,0.021917,0.039,9,33,2.9145835,13.65,23,13,0.49791700000000005,0.9,3.5,5
2000-02-22,Louisiana,25.083333,46,0,43,0.033625,0.052,11,44,3.8461035,13.15,2.5,11.5,0.547917,1,7,4
2000-02-23,Louisiana,17.333333,34,7,32,0.028917000000000002,0.043,10,36,1.4875,5.65,19.5,5,0.4666665,0.8,9,4
2000-02-24,Louisiana,15.952381,29,17,27,0.026208,0.034,9,29,3.4045455000000002,27.5,10.5,28,0.5132575,0.6499999999999999,7.5,3.5
2000-02-25,Louisiana,14.291667,36,23,34,0.02575,0.037,9,31,1.24375,3.5,16,3,0.4583335,0.6499999999999999,11.5,3.5
2000-02-26,Louisiana,12.541667,33,0,31,0.02885,0.034,9,29,3.23125,13.65,20,12,0.43125,0.55,0,3
2000-02-27,Louisiana,13.5,41,19,39,0.029091,0.037,9,31,3.4940474999999998,18,19.5,19.5,0.45873050000000004,0.55,11.5,3
2000-02-28,Louisiana,24.583333,65,21,63,0.020917,0.041,10,35,2.8625,18.65,22.5,16.5,0.6125,1.05,20,4.5
2000-02-29,Louisiana,26.041667,48,1,45,0.022708,0.039,9,33,5.23125,32.8,1.5,27.5,0.6854169999999999,0.95,3.5,5
2000-03-01,Louisiana,16.25,45,18,42,0.0175,0.032,10,27,2.4875,19.15,8,20,0.575,0.85,19.5,4
2000-03-02,Louisiana,16.285714,29,22,27,0.022333,0.036,8,31,1.1025975,3.3,14,3,0.580303,0.7,8,4
2000-03-03,Louisiana,15.916667,32,7,30,0.02,0.027,13,23,3.0729165,23.3,22.5,19.5,0.58125,0.8,8,4
2000-03-04,Louisiana,13.541667,34,19,32,0.02595,0.034,9,29,7.8104165,21.65,11.5,21.5,0.3104165,0.4,4,2.5
2000-03-05,Louisiana,21.95,65,19,63,0.0255,0.05,10,42,2.1011905,7.3,19.5,5.5,0.6162700000000001,1.3,21,5.5
2000-03-06,Louisiana,28,50,0,47,0.032,0.059,11,50,2.9354165,5.8,22.5,4.5,1.097917,1.9500000000000002,3.5,9.5
2000-03-07,Louisiana,17.583333,36,0,34,0.035708,0.057,11,48,2.0666665,4.8,7,4.5,0.6854165,0.8500000000000001,0,5
2000-03-08,Louisiana,18.875,31,18,29,0.018417,0.03,9,25,1.23125,3.5,19,3,0.75,0.9,7.5,4.5
2000-03-09,Louisiana,16.761905,29,6,27,0.012375,0.02,8,17,2.6824675,20.3,14,20.5,0.7541665,0.9,3.5,4.5
2000-03-10,Louisiana,14.375,29,7,27,0.017,0.021,9,18,1.6125,3.5,7.5,3,0.7375,0.9500000000000001,6.5,4.5
2000-03-11,Louisiana,12.791667,33,1,31,0.0224,0.027,12,23,4.1520835,15.3,13.5,12,0.5895835,0.7,0,4
2000-03-12,Louisiana,15.35,48,19,45,0.022,0.042,10,36,0.561905,5,13.5,5,0.8,1.7000000000000002,21.5,7.5
2000-03-13,Louisiana,22.916667,39,0,37,0.028875,0.051,10,43,1.4479165,2.8,10,2,0.95625,1.9500000000000002,1,9.5
2000-03-14,Louisiana,21.65,44,19,42,0.029333,0.046,10,39,1.95,5,12.5,4.5,0.8426469999999999,1.15,20,5.5
2000-03-15,Louisiana,15.2,30,13,28,0.02,0.03,2,25,1.4083335,14.5,10,15,0.8041670000000001,0.95,0,5.5
2000-03-16,Louisiana,19.6875,43,18,41,0.022125,0.041,9,35,1.383117,9.3,19.5,8.5,0.7716665,0.9500000000000001,10.5,4.5
2000-03-17,Louisiana,14.5,47,19,44,0.019208,0.036,10,31,0.0791665,0.8,22,0.5,0.99375,2.9000000000000004,22.5,12
2000-03-18,Louisiana,19.25,35,0,33,0.0161,0.024,12,20,0,0,1,0,1.25,3.25,1,16.5
2000-03-19,Louisiana,14.95,34,21,32,0.015773,0.028,9,24,4.8785715,14.65,21.5,12,0.625794,0.7,0,4
2000-03-20,Louisiana,33.541667,59,19,56,0.013583,0.036,10,31,6.60625,24.15,16.5,20,1.1625,2.4,21.5,10
2000-03-21,Louisiana,21.166667,39,0,37,0.031375,0.057,12,48,1.98125,10.3,1,10.5,1.0291665,1.75,0,11
2000-03-22,Louisiana,24.5,68,20,66,0.024833,0.054,10,46,2.3238095000000003,5,19,3.5,1.1875,2.65,23,11.5
2000-03-23,Louisiana,22.142857,53,0,50,0.038625,0.063,11,61,5.2194804999999995,16,10,15.5,1.0598684999999999,2.55,1,15
2000-03-24,Louisiana,19.25,38,7,36,0.03075,0.05,10,42,2.35,9.3,7.5,8,0.5395835,0.7,3.5,3.5
2000-03-25,Louisiana,19.041667,34,2,32,0.0299,0.05,9,42,2.1583335,6.65,22.5,6.5,0.5687500000000001,0.9,6.5,4.5
2000-03-26,Louisiana,15.15,27,10,25,0.024864,0.04,11,34,1.4607145,4.8,5.5,4.5,0.463889,0.6499999999999999,0,3.5
