Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-01-01,Maine,2.808696,5.2,2,5,0.030667,0.033,6,28,3.0003105,5.45,4,4.5,0.204348,0.25,9,1
2006-01-02,Maine,3.556522,14.5,23,13,0.025375,0.033,9,28,1.570807,3.3499999999999996,14,3,0.20652150000000002,0.30000000000000004,11,1
2006-01-03,Maine,17.113636,35.1,16,33,0.011667,0.02,8,17,6.350649000000001,13.75,8,10.5,0.45075750000000003,0.8999999999999999,15.5,3.5
2006-01-04,Maine,13.931818,19.9,17,18,0.015583,0.02,20,17,5.8795455,7.6499999999999995,10.5,5.5,0.3820075,0.55,4,3
2006-01-05,Maine,9.96087,17.7,16,16,0.02075,0.023,8,19,4.307764000000001,5.4,15.5,3.5,0.28913049999999996,0.3,0,1.5
2006-01-06,Maine,9.047826,25.6,6,24,0.021125,0.026,19,22,3.6180125,5.35,7,3.5,0.2530795,0.3,6.5,1.5
2006-01-07,Maine,1.286957,3.7,3,3,0.026917,0.03,14,25,1.0776395,1.4,5,0.5,0.195652,0.2,0,1
2006-01-08,Maine,9.356522,22.5,22,21,0.019542,0.028,10,24,5.469565,10.35,10.5,8,0.276902,0.45,16.5,2.5
2006-01-09,Maine,14.086957,28.1,0,26,0.020417,0.026,21,22,5.823292,8.3,2,5.5,0.3785325,0.7,9,3
2006-01-10,Maine,6.271429,18.5,7,17,0.024792,0.028,13,24,8.4333335,19.25,15.5,15,0.2303575,0.35,3.5,1.5
2006-01-11,Maine,7.76,12.5,7,11,0.016,0.026,0,22,3.9325,16.55,1.5,15,0.2366665,0.3,13.5,1.5
2006-01-12,Maine,7.813043,13.8,7,12,0.012458,0.017,15,14,1.2636645,2.05,12.5,1.5,0.2757575,0.35,3.5,1.5
2006-01-13,Maine,6.717391,12.5,23,11,0.016375,0.021,10,18,2.7307455000000003,6.9,1,6.5,0.244837,0.3,6,1.5
2006-01-14,Maine,3.678261,17,0,16,0.027,0.033,12,28,0.5683229999999999,2,1,1.5,0.223188,0.3,0,1.5
2006-01-15,Maine,0.826087,2,0,2,0.030958,0.032,4,27,0.35403700000000005,0.55,16,0,0.1828805,0.2,0,1
2006-01-16,Maine,0.604348,1.6,6,1,0.032917,0.036,18,31,0.47204999999999997,0.7,6.5,0,0.16168500000000002,0.2,7.5,1
2006-01-17,Maine,3.886364,16.9,22,15,0.030042,0.035,0,30,1.310065,3.55,17,3,0.2151515,0.35,20,1.5
