Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-02-15,Maryland,30.166667,39,5,37,0.006417,0.016,9,14,8.658333500000001,16,11.5,13.5,0.659091,1.4,22.5,5.5
2006-02-16,Maryland,24.521739,43,11,41,0.023917,0.039,14,33,7.6916665,18.3,14.5,16.5,0.7145835,1.75,7,8.5
2006-02-17,Maryland,6.913043,13,10,12,0.030667,0.036,11,31,3.8229165,12,5,10.5,0,0,0,0
2006-02-18,Maryland,6.086957,24,7,23,0.029417,0.035,16,30,5.225,10.3,11,8.5,0,0,0,0
2006-02-19,Maryland,9.869565,31,20,29,0.020458,0.032,8,27,6.1125,17,19.5,13,0.0229165,0.15000000000000002,20.5,0.5
2006-02-20,Maryland,24.73913,37,4,35,0.01175,0.024,9,20,8.48125,13.5,15.5,10.5,0.19166650000000002,0.44999999999999996,7,1.5
2006-02-21,Maryland,21.826087,38,8,36,0.016083,0.037,10,31,5.5270835,11.15,8,9.5,0.5229165,2.05,7,7.5
2006-02-22,Maryland,19.565217,36,8,34,0.011833,0.021,11,18,5.1125,10.65,4.5,8,0.35416650000000005,1,7,4.5
2006-02-23,Maryland,18.782609,37,21,35,0.015292,0.029,23,25,5.1583335,11.3,10.5,8.5,0.1020835,0.30000000000000004,8.5,1
2006-02-24,Maryland,7.913043,30,21,28,0.027417,0.04,9,34,1.9541665,4,1,3,0.05,0.30000000000000004,22.5,1
2006-02-25,Maryland,14.521739,32,3,30,0.0265,0.038,19,32,6.0604165,23.15,11,21.5,0.241667,0.65,7,3
2006-02-26,Maryland,2.173913,11,20,10,0.035125,0.039,10,33,1.2375,1.8,3,1.5,0.058332999999999996,0.15000000000000002,7,0.5
2006-02-27,Maryland,11.869565,26,7,25,0.023875,0.031,9,26,6.35625,8.5,8,6.5,0.23125,0.5,7,2.5
