Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2001-04-01,Massachusetts,17.416667,23,16,22,0.028958,0.03,8,25,9.8835405,17,13,13.5,0.0751195,0.15000000000000002,11,0.5
2001-04-02,Massachusetts,24.863636,43,18,41,0.02225,0.03,21,25,9.0270835,14.3,12,12,0.20661200000000002,0.65,19,3
2001-04-03,Massachusetts,28.958333,47,23,44,0.019167,0.034,8,29,7.8625,14.8,23,12,0.168116,0.6000000000000001,11.5,2.5
2001-04-04,Massachusetts,33.4,49,18,46,0.01675,0.028,9,24,13.493182000000001,27.5,6,22,0.24734849999999997,0.6000000000000001,9,2.5
2001-04-05,Massachusetts,36.291667,59,5,56,0.0175,0.038,9,32,10.3958335,19.3,5,15,0.2641305,0.9,19.5,3
2001-04-06,Massachusetts,45.181818,74,8,72,0.018167,0.043,21,36,16.35625,43.15,7.5,31,0.622826,1.6,8,6.5
2001-04-07,Massachusetts,16.791667,25,7,24,0.032125,0.04,0,34,5.7984475,8.3,7.5,6.5,0.054166500000000006,0.2,3.5,1
2001-04-08,Massachusetts,21.363636,31,23,29,0.022167,0.031,8,26,5.7833335,7.5,4.5,5.5,0.0936595,0.25,16,1
2001-04-09,Massachusetts,27.583333,34,5,32,0.018875,0.027,10,23,7.23125,9.5,6.5,7,0.16358699999999998,0.30000000000000004,3.5,1
2001-04-10,Massachusetts,22.590909,35,21,33,0.017792,0.028,9,24,8.495963,13.15,8,10,0.093561,0.25,14,1
2001-04-11,Massachusetts,25.875,38,5,36,0.021667,0.027,9,23,6.1916665,11.15,8,8.5,0.16205350000000002,0.35,18.5,1.5
2001-04-12,Massachusetts,29.958333,42,15,40,0.011375,0.019,0,16,2.74375,7.8,19.5,6.5,0.221667,0.45,9.5,2.5
2001-04-13,Massachusetts,25.125,36,6,34,0.017917,0.029,14,25,4.1916665,11,7,8.5,0.256629,0.6,11.5,3
2001-04-14,Massachusetts,14.5,22,19,21,0.039,0.046,9,39,1.74375,3,22,2,0.027536,0.2,0.5,0.5
2001-04-15,Massachusetts,20.208333,57,21,54,0.03,0.046,8,39,2.9354165,6.15,22.5,5,0.07500000000000001,0.6,21,1.5
2001-04-16,Massachusetts,22.916667,36,23,34,0.018,0.031,9,26,4.4875,10,22,8,0.140909,0.35,9.5,1.5
2001-04-17,Massachusetts,28.5,45,6,42,0.021625,0.031,20,26,4.73125,11.15,5.5,9.5,0.19963799999999998,0.44999999999999996,3,1.5
2001-04-18,Massachusetts,21.375,33,7,31,0.028167,0.034,11,29,3.0729165,6.15,4.5,5,0.017029000000000002,0.1,9,0.5
2001-04-19,Massachusetts,32.136364,50,22,47,0.017083,0.034,9,29,5.2194804999999995,11.15,23,8.5,0.164869,0.5,22,2.5
2001-04-20,Massachusetts,34,47,4,44,0.026625,0.035,11,30,8.1285715,15.65,5.5,12,0.39990950000000003,0.7,6,3
2001-04-21,Massachusetts,22.666667,34,18,32,0.040042,0.049,10,42,5.9416665,9.8,17.5,8.5,0.3490945,0.55,0.5,2.5
2001-04-22,Massachusetts,13.863636,28,21,26,0.038083,0.052,9,44,3.6125,4.8,9.5,3.5,0.2145835,0.4,0,2.5
2001-04-23,Massachusetts,20.75,42,15,40,0.027375,0.034,17,29,4.352174,6.65,15.5,5.5,0.302174,0.55,16.5,3
2001-04-24,Massachusetts,20.55,33,7,31,0.033125,0.047,9,40,4.0074535000000004,6.15,1,5,0.27635849999999995,0.45,10,2.5
2001-04-25,Massachusetts,25,49,20,46,0.022083,0.032,9,27,4.4416665,9.15,23,7,0.220644,0.75,21.5,3.5
2001-04-26,Massachusetts,26.136364,49,7,46,0.026333,0.036,10,31,5.2298135,9.3,3.5,7,0.22264499999999998,0.6,3.5,3.5
2001-04-27,Massachusetts,29.958333,62,20,60,0.016417,0.029,9,25,6.48125,12.8,21.5,10,0.37355099999999997,1.35,22,5
2001-04-28,Massachusetts,17.818182,49,0,46,0.033833,0.041,8,35,3.6854165,7.65,1,6.5,0.220644,1,0,5.5
2001-04-29,Massachusetts,18.5,41,19,39,0.027875,0.044,8,37,3.6475155,6.65,4.5,5,0.0854165,0.5,20,1.5
2001-04-30,Massachusetts,38.5,58,21,55,0.018167,0.034,8,29,5.1520835,9.5,5,7,0.38595999999999997,1.4,22,5
2001-05-01,Massachusetts,43.25,74,10,72,0.022958,0.041,14,35,7.6916665,15.65,8,12,0.591288,1.15,9.5,5.5
2001-05-02,Massachusetts,45.272727,66,21,64,0.02675,0.053,10,45,5.827019,9.5,6.5,7,0.38106850000000003,0.8500000000000001,6.5,3.5
2001-05-03,Massachusetts,40.833333,63,5,61,0.0425,0.059,20,50,4.6520835,7.8,22.5,5.5,0.37681699999999996,0.6,2.5,3
2001-05-04,Massachusetts,36,59,6,56,0.0435,0.052,9,44,4.9541664999999995,8,1,5.5,0.336932,0.55,20.5,3
2001-05-05,Massachusetts,13.958333,22,0,21,0.029333,0.039,0,33,3.3313664999999997,5.5,1,4.5,0.10561599999999999,0.4,0,3
2001-05-06,Massachusetts,12.818182,39,23,37,0.025708,0.038,10,32,3.9416665,9.65,4.5,8,0.015036,0.2,11.5,0.5
2001-05-07,Massachusetts,26.958333,43,4,41,0.022292,0.029,9,25,5.1916665,11.15,5.5,9.5,0.20397749999999998,0.4,5,1.5
2001-05-08,Massachusetts,21.2,31,5,29,0.026792,0.037,10,31,3.537121,5.5,5,4.5,0.0872285,0.2,16,1
2001-05-09,Massachusetts,22.583333,33,17,31,0.022333,0.033,9,28,4.9416665,8.3,20,6.5,0.172464,0.35,14.5,1.5
2001-05-10,Massachusetts,35.857143,63,18,61,0.022417,0.042,10,36,6.0270835,11,7.5,8.5,0.2922345,0.75,19.5,3.5
2001-05-11,Massachusetts,33.916667,47,6,44,0.043625,0.054,14,46,4.726708,5.8,14,4.5,0.24846000000000001,0.55,8,3.5
2001-05-12,Massachusetts,26,40,6,38,0.040208,0.067,9,74,5.1854165,7.8,7.5,5.5,0.214674,0.35,0.5,1.5
2001-05-13,Massachusetts,11,27,19,25,0.024458,0.029,9,25,3.1125,9.15,20,8.5,0.00625,0.05,0,0.5
2001-05-14,Massachusetts,18.545455,33,6,31,0.028458,0.032,9,27,3.532298,5.5,5,4.5,0.0086955,0.05,3,0
2001-05-15,Massachusetts,17.875,29,6,27,0.022,0.028,0,24,4.3166665,11.15,19,9.5,0.025453,0.15000000000000002,16,0.5
2001-05-16,Massachusetts,21.590909,30,7,28,0.021708,0.028,19,24,4.23125,8.15,1,7,0.006818,0.05,3.5,0
2001-05-17,Massachusetts,24.333333,32,6,30,0.016125,0.024,11,20,5.18,7.5,13,5.5,0.129801,0.25,10,1
2001-05-18,Massachusetts,22.727273,31,6,29,0.020917,0.032,20,27,5.6337720000000004,7.8,5.5,5.5,0.198762,0.5,17,2.5
2001-05-19,Massachusetts,14.625,21,14,20,0.030417,0.037,10,31,4.4479165,5.5,15,4.5,0.2323865,0.35,0.5,1.5
2001-05-20,Massachusetts,11.5,23,21,22,0.031083,0.041,9,35,4.913664499999999,6.8,6.5,5.5,0.13840550000000001,0.35,21.5,1.5
2001-05-21,Massachusetts,16.791667,28,18,26,0.023708,0.029,8,25,5.6520835,11.5,14,10.5,0.2210145,0.4,0.5,1.5
2001-05-22,Massachusetts,22.95,33,16,31,0.015125,0.025,20,21,5.029192999999999,6,10,4.5,0.219697,0.45,16.5,2.5
2001-05-23,Massachusetts,23.125,35,7,33,0.017792,0.024,11,20,4.762733,6.65,23,5,0.21050750000000001,0.35,8,1.5
2001-05-24,Massachusetts,23.272727,34,6,32,0.015875,0.021,10,18,5.3958335,7.3,12.5,5.5,0.21050750000000001,0.35,8.5,1.5
2001-05-25,Massachusetts,23.666667,32,5,30,0.019708,0.025,7,21,10.1520835,20.5,14.5,17,0.21553,0.35,18,1.5
2001-05-26,Massachusetts,15.590909,32,0,30,0.0265,0.033,9,28,4.784472,6.3,8,5,0.21920299999999998,0.45,0,2.5
2001-05-27,Massachusetts,19.125,27,18,25,0.01525,0.024,0,20,5.0729165,7.5,14,5.5,0.2041665,0.35,5.5,1.5
2001-05-28,Massachusetts,18.272727,36,21,34,0.024708,0.041,9,35,4.5666665,5.65,7.5,4.5,0.3136365,0.7,20,3
2001-05-29,Massachusetts,24.25,39,17,37,0.023583,0.032,9,27,4.856211,6.5,5,5,0.34429350000000003,0.5,0,3.5
2001-05-30,Massachusetts,16.227273,24,5,23,0.019292,0.022,8,19,4.5333335,6.5,5,5,0.1251815,0.25,2.5,1.5
2001-05-31,Massachusetts,16.166667,27,23,25,0.018083,0.025,12,21,5.0395835,8.15,20,7,0.0651515,0.1,6.5,0.5
2001-06-01,Massachusetts,22.545455,29,4,27,0.023542,0.035,23,30,6.6723605,14.3,21.5,13.5,0.219384,0.4,14,2.5
2001-06-02,Massachusetts,18.791667,37,20,35,0.024833,0.037,2,31,4.6520835,6.3,20,5,0.33414849999999996,0.7,18.5,3.5
2001-06-03,Massachusetts,19.545455,28,21,26,0.013625,0.02,0,17,6.8958335,10.3,11,8,0.2545455,0.8,22,3.5
2001-06-04,Massachusetts,18.875,29,6,27,0.019292,0.026,7,22,4.676087,6.5,7,5,0.23750000000000002,0.5,0,3.5
2001-06-05,Massachusetts,19.25,30,18,28,0.017,0.025,9,21,4.604658499999999,5.65,14.5,4.5,0.168116,0.30000000000000004,9.5,1
2001-06-06,Massachusetts,20.25,37,20,35,0.015417,0.023,11,19,5.119298000000001,8.5,22,6.5,0.117262,0.25,10,1
2001-06-07,Massachusetts,22.545455,36,23,34,0.017375,0.028,10,24,6.4170805,15.15,8,13,0.164221,0.65,19.5,1.5
2001-06-08,Massachusetts,33.666667,63,21,61,0.021,0.04,10,34,5.9020835,9.15,22.5,7,0.30235500000000004,1.0499999999999998,21.5,4
2001-06-09,Massachusetts,24.136364,37,1,35,0.017958,0.033,8,28,5.9479165,12.8,2,10.5,0.1791665,0.7,10,3.5
2001-06-10,Massachusetts,22.583333,49,22,46,0.021708,0.04,9,34,5.662732999999999,9.15,21.5,7,0.144475,0.55,1,3
2001-06-11,Massachusetts,35.227273,49,14,46,0.026625,0.047,20,40,6.60625,9.3,5,7,0.4762685,0.75,5,3.5
2001-06-12,Massachusetts,24.916667,41,12,39,0.026958,0.035,14,30,5.48125,9.65,13.5,8,0.2174245,0.4,12.5,1.5
2001-06-13,Massachusetts,32.181818,53,16,50,0.03225,0.05,17,42,6.129193,9.3,11.5,7,0.3127455,0.7,18,3.5
2001-06-14,Massachusetts,26.333333,38,5,36,0.03975,0.066,9,71,6.9020835,16.5,22.5,13.5,0.502355,0.8,17.5,4
2001-06-15,Massachusetts,21.681818,32,7,30,0.034417,0.061,9,54,5.1125,7,7,5,0.4888255,0.6,3,3.5
2001-06-16,Massachusetts,12,16,15,15,0.017292,0.031,10,26,4.403106,5.8,1,4.5,0.3274455,0.45,0,3
2001-06-17,Massachusetts,12.818182,23,14,22,0.014458,0.017,6,14,5.1916665,9,19.5,7,0.35942050000000003,0.5,8,3
2001-06-18,Massachusetts,22.416667,41,19,39,0.022708,0.036,8,31,5.48125,8.5,11.5,7,0.2848485,0.5,20,2.5
2001-06-19,Massachusetts,24.05,35,6,33,0.054333,0.08,13,111,6.3295455,7,10,5,0.3785325,0.5,4,2.5
2001-06-20,Massachusetts,27.041667,39,7,37,0.048208,0.079,10,109,9.0270835,19.15,20,18,0.36802500000000005,0.55,15,3
2001-06-21,Massachusetts,21.227273,34,5,32,0.021667,0.028,20,24,8.2708335,14.3,5.5,11.5,0.22178,0.4,3,2.5
2001-06-22,Massachusetts,19.25,33,5,31,0.018458,0.025,0,21,5.1149070000000005,6.65,13.5,5,0.289674,0.5,14,2.5
2001-06-23,Massachusetts,14.272727,20,6,19,0.023625,0.032,10,27,4.5729165,5.8,22,4.5,0.2936595,0.4,3,1.5
2001-06-24,Massachusetts,11.333333,22,18,21,0.022625,0.032,9,27,4.4875,5.65,1.5,4.5,0.241288,0.5,20.5,2.5
2001-06-25,Massachusetts,20.772727,39,18,37,0.024875,0.035,11,30,8.346273499999999,17.3,10.5,15,0.3449275,0.7,19,3
2001-06-26,Massachusetts,25.208333,37,8,35,0.025333,0.037,14,31,9.325,23.3,7.5,18.5,0.4104165,0.55,3.5,3
2001-06-27,Massachusetts,28.375,38,5,36,0.040167,0.056,20,47,7.3690475,10.3,5,8,0.3016665,0.45,3,2.5
2001-06-28,Massachusetts,19.958333,46,6,43,0.033083,0.048,0,41,6.58,8.8,14,7,0.1783515,0.3,3,1.5
2001-06-29,Massachusetts,22.875,34,6,32,0.024458,0.028,20,24,7.73125,14,5,10.5,0.1874095,0.45,16,2.5
2001-06-30,Massachusetts,15.041667,26,19,25,0.053042,0.078,10,106,6.6125,11,16.5,8.5,0.256818,0.45,19,2.5
2001-07-01,Massachusetts,12.272727,19,18,18,0.042,0.067,9,74,5.3090065,7.15,14.5,5.5,0.2082425,0.4,0.5,2.5
2001-07-02,Massachusetts,14.458333,27,20,25,0.013417,0.022,10,19,4.9541664999999995,6,14,4.5,0.0850545,0.25,9.5,1
2001-07-03,Massachusetts,21,27,15,25,0.02825,0.043,19,36,6.1161495,8.5,5.5,7,0.2107955,0.4,7,1.5
2001-07-04,Massachusetts,11.458333,21,20,20,0.03975,0.053,9,45,5.223292,6.5,15,5,0.129801,0.35,20.5,1.5
2001-07-05,Massachusetts,20.772727,35,17,33,0.02675,0.044,8,37,5.1583335,6.5,10,5,0.2553445,0.5,18,2.5
2001-07-06,Massachusetts,18.208333,25,19,24,0.015875,0.022,8,19,5.4083335,6.5,13.5,5,0.1452655,0.4,10.5,2.5
2001-07-07,Massachusetts,15.5,23,18,22,0.03575,0.046,12,39,5.388820000000001,6.3,13,5,0.1423915,0.35,1,1.5
2001-07-08,Massachusetts,12.583333,17,7,16,0.0375,0.042,8,36,5.5333335,8.5,23,7,0.15942050000000002,0.3,1,1.5
2001-07-09,Massachusetts,23.227273,35,13,33,0.032917,0.044,10,37,6.48125,8.65,7,6.5,0.31344700000000003,0.5,15.5,3
2001-07-10,Massachusetts,27.75,49,17,46,0.024875,0.037,12,31,6.4888200000000005,8.15,12.5,6.5,0.3082425,0.5,8.5,2.5
2001-07-11,Massachusetts,22.954545,30,7,28,0.016333,0.028,11,24,6.49375,10,9.5,8,0.1656705,0.44999999999999996,3.5,1.5
2001-07-12,Massachusetts,16.916667,22,20,21,0.012458,0.019,8,16,5.6125,7.15,5,5.5,0.010984500000000001,0.1,9.5,0.5
2001-07-13,Massachusetts,15.681818,26,21,25,0.0125,0.019,9,16,5.4608695,6.8,7.5,5,0.0255435,0.2,10.5,0.5
2001-07-14,Massachusetts,16.5,23,18,22,0.013833,0.025,8,21,5.4416665,6.5,15,5,0.029801,0.2,10.5,0.5
2001-07-15,Massachusetts,13.863636,32,22,30,0.016417,0.03,8,25,5.6583335,7,17,5,0.08276549999999999,0.44999999999999996,20.5,1.5
2001-07-16,Massachusetts,23.708333,43,19,41,0.0145,0.03,9,25,6.3745345,8,13,5.5,0.11721000000000001,0.65,21.5,2.5
2001-07-17,Massachusetts,26.25,31,22,29,0.004042,0.009,12,8,6.504037,8.5,22.5,6.5,0.2211955,0.6000000000000001,10.5,2.5
2001-07-18,Massachusetts,20.666667,26,2,25,0.018417,0.034,11,29,7.4541664999999995,13.15,9,10,0.10113649999999999,0.3,2.5,1.5
2001-07-19,Massachusetts,21.272727,34,21,32,0.017333,0.031,9,26,6.7121115,9.8,3.5,8,0.0322465,0.44999999999999996,23,1
2001-07-20,Massachusetts,26.916667,38,19,36,0.018875,0.037,11,31,10.4479165,20.3,10.5,16.5,0.227355,0.6,2,3
2001-07-21,Massachusetts,20,30,8,28,0.034167,0.053,10,45,6.35625,8.8,7.5,6.5,0.0757575,0.2,10,1
2001-07-22,Massachusetts,13.083333,21,19,20,0.051167,0.078,11,106,6.100932,7.5,8,5.5,0.002174,0.05,9.5,0
2001-07-23,Massachusetts,19.272727,28,15,26,0.052208,0.08,11,111,7.6520835,9.5,18,7,0.002174,0.05,9.5,0
2001-07-24,Massachusetts,16.142857,25,7,24,0.050667,0.081,11,114,7.5666665,10,6.5,7,0.0033335,0.05,3.5,0
2001-07-25,Massachusetts,25.136364,40,17,38,0.033625,0.054,9,46,6.754969,11.3,23,10,0.004348,0.05,3,0
2001-07-26,Massachusetts,21.416667,26,5,25,0.006958,0.014,0,12,8.98125,15.3,17,13,0.136685,0.65,17,2.5
2001-07-27,Massachusetts,22.538462,37,18,35,0.013792,0.026,9,22,6.6125,12.8,5,10.5,0.05359849999999999,0.4,9.5,1.5
2001-07-28,Massachusetts,19.333333,29,20,27,0.024,0.037,11,31,8.646584,15.3,6,12,0.021105,0.2,10,1
2001-07-29,Massachusetts,18.318182,30,22,28,0.036208,0.063,10,61,6.11875,8.3,13,6.5,0.004348,0.05,8,0
2001-07-30,Massachusetts,22.291667,39,6,37,0.0205,0.04,8,34,5.3229165,8.65,8,6.5,0.44905300000000004,0.8500000000000001,6.5,3.5
2001-07-31,Massachusetts,26.65,34,8,32,0.02075,0.039,10,33,7.0242425,9.65,6,8,0.4828805,0.65,7.5,3
2001-08-01,Massachusetts,28.833333,51,19,48,0.024667,0.04,21,34,8.0666665,17.3,10,13,0.549185,0.9,20,4
2001-08-02,Massachusetts,27.636364,55,5,52,0.06475,0.093,16,145,7.9875,11.65,5,8.5,0.531818,0.7,3,4
2001-08-03,Massachusetts,23.291667,45,6,42,0.049,0.08,10,111,7.8913045,9.8,1,7,0.4703805,0.6,15.5,3.5
2001-08-04,Massachusetts,24.409091,38,21,36,0.017042,0.028,11,24,6.0729165,8.3,14.5,6.5,0.4338385,0.5,1,3
2001-08-07,Massachusetts,19.166667,42,20,40,0.043833,0.072,9,90,7.4875,9,3.5,6.5,0.5140385000000001,0.75,2.5,4
2001-08-08,Massachusetts,16.318182,40,4,38,0.0335,0.045,19,38,6.4020835,10.8,7.5,8,0.298452,0.6000000000000001,9,2.5
2001-08-09,Massachusetts,10.791667,29,7,27,0.060542,0.085,18,124,7.1979165,9.5,20.5,7,0.447826,0.8500000000000001,19,4.5
2001-08-10,Massachusetts,20.818182,41,15,39,0.034125,0.06,5,51,8.2770835,14,10,10.5,0.523188,0.75,7.5,4
2001-08-11,Massachusetts,17.666667,26,3,25,0.014833,0.021,9,18,7.0270835,12.65,7,10,0.153788,0.35,0,2.5
2001-08-12,Massachusetts,19.636364,29,21,27,0.010625,0.016,10,14,7.850932,12.8,21.5,10.5,0.09574250000000001,0.2,12.5,1
2001-08-13,Massachusetts,25.375,40,20,38,0.013667,0.028,11,24,5.99375,10.65,2,8.5,0.31748149999999997,0.55,14,3
2001-08-14,Massachusetts,25.8,37,22,35,0.010958,0.019,9,16,8.425776500000001,15.3,14,13,0.29261349999999997,0.45,10.5,2.5
2001-08-15,Massachusetts,25.083333,38,7,36,0.010833,0.026,9,22,7.992236,15.5,7.5,12,0.41730100000000003,0.7,14,3.5
2001-08-16,Massachusetts,24.636364,30,15,28,0.025958,0.052,10,44,6.7375,8.5,3.5,6.5,0.348279,0.6,2.5,3.5
2001-08-17,Massachusetts,20.041667,26,22,25,0.027208,0.035,9,30,5.4541664999999995,6,1,4.5,0.291856,0.45,13.5,2.5
2001-08-18,Massachusetts,19,29,18,27,0.024042,0.038,9,32,5.8130435,6,6,4.5,0.24682949999999998,0.45,11.5,2.5
2001-08-19,Massachusetts,19.875,27,0,25,0.034167,0.062,10,58,6.5270835,8.3,7.5,6.5,0.374366,0.5,10,3
2001-08-20,Massachusetts,26.545455,45,22,42,0.019208,0.029,8,25,5.2833335,6,12,4.5,0.318939,0.5,6,2.5
2001-08-21,Massachusetts,32.458333,56,18,53,0.014458,0.025,20,21,7.2524844999999996,10,20,8,0.485779,1.4,20.5,5
