Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-03-31,Michigan,34.708333,60,21,57,0.002,0.002,22,2,4.9020835,21.15,19.5,17,0.93125,3.3,20,12
2000-04-01,Michigan,37.666667,61,20,58,0.01975,0.036,10,31,9.3229165,38.15,13.5,32,0.238587,1.7,10,11.5
2000-04-02,Michigan,25.833333,55,1,52,0.025667,0.036,10,31,3.9416665,11.3,1.5,8.5,0.2395835,1.85,2,5.5
2000-04-03,Michigan,36.25,50,18,47,0.010625,0.018,22,15,4.60625,10.15,16.5,8.5,0.310417,1.05,20.5,4.5
2000-04-04,Michigan,17,32,0,30,0.020958,0.027,12,23,0.1645835,1,1,0.5,0.054167,0.39999999999999997,0,4
2000-04-05,Michigan,25.416667,48,18,45,0.021792,0.035,9,30,1.9479165,12.8,19,12,0.204167,0.95,18.5,2.5
2000-04-06,Michigan,20.25,52,21,49,0.021792,0.034,11,29,1.8625,13.3,1.5,12,0.30625,0.7,11.5,3
2000-04-07,Michigan,27.142857,42,0,40,0.01475,0.022,23,19,2.9354165,10.65,17,8,0.1244445,0.30000000000000004,0,2.5
2000-04-08,Michigan,11.875,36,20,34,0.024875,0.034,11,29,0.36875,2.15,1,2,0.0083335,0.05,0,0
2000-04-09,Michigan,19.875,38,5,36,0.02075,0.032,12,27,0.6583335,1.65,11,1.5,0.0708335,0.2,6,0.5
2000-04-10,Michigan,20.583333,41,21,39,0.021417,0.034,9,29,0.7041664999999999,5,22,4.5,0.0479165,0.2,7,0.5
2000-04-11,Michigan,28.25,45,22,42,0.014292,0.02,12,17,2.3958335,11.15,16,10.5,0.21875,0.9,21.5,3
2000-04-12,Michigan,29.291667,50,2,47,0.022278,0.038,9,32,1.427193,3,20.5,2,0.3770835,1,7,4.5
2000-04-13,Michigan,27.291667,45,5,42,0.022542,0.039,9,33,5.3958335,19.65,7,18,0.06875,0.2,3,0.5
2000-04-14,Michigan,40.210526,53,22,50,0.012375,0.025,11,21,28.8166665,76.8,13,51,1.31875,5.45,21.5,18
2000-04-15,Michigan,30.333333,53,21,50,0.021417,0.035,10,30,24.908333499999998,86,16,55.5,2.09375,6.35,20,25.5
2000-04-16,Michigan,9.416667,17,21,16,0.017917,0.026,8,22,2.6125,9.15,22.5,7,0.260417,1.95,0,21.5
2000-04-17,Michigan,19.041667,27,16,25,0.011458,0.018,5,15,8.2770835,20.3,23,15,0.035416500000000004,0.1,13.5,0.5
2000-04-18,Michigan,28.125,42,17,40,0.00525,0.012,10,10,15.1520835,36.8,1.5,27.5,0.2041665,0.9,17.5,3
