Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,Minnesota,0.041667,1,7,1,0.033083,0.037,13,31,0.5992645000000001,1.25,2,0.5,0.111341,0.117,13.5,0.5
2011-01-02,Minnesota,8.791667,19,8,18,0.026333,0.032,0,27,2.7416665,7.55,19,6.5,0.1868355,0.23,15.5,1
2011-01-03,Minnesota,11.916667,28,15,26,0.0205,0.025,18,21,0.6956519999999999,1.6,14.5,0.5,0.29047,0.4225,17,2.5
2011-01-04,Minnesota,19.625,38,19,36,0.011958,0.023,9,19,2.9074535,6,16,5,0.27078800000000003,0.463,21.5,2.5
2011-01-05,Minnesota,19.791667,36,0,34,0.016583,0.027,12,23,1.7692545000000002,2.85,8,2,0.283038,0.3915,4,2.5
2011-01-06,Minnesota,12.25,24,8,23,0.020458,0.026,9,22,1.3835405,2.0999999999999996,19.5,1.5,0.243621,0.3625,4,1.5
2011-01-07,Minnesota,3.291667,17,4,16,0.028667,0.033,11,28,0.7453415,1.25,1.5,0.5,0.1664015,0.2215,3.5,1
2011-01-08,Minnesota,11.041667,38,23,36,0.016958,0.03,8,25,1.1457895,5.050000000000001,23,3.5,0.2395835,0.786,22.5,3.5
2011-01-09,Minnesota,32.833333,46,8,43,0.00975,0.016,22,14,5.6568325,11.600000000000001,13.5,8.5,0.407342,0.6659999999999999,5.5,3.5
2011-01-10,Minnesota,9.083333,19,6,18,0.023792,0.028,19,24,1.8909935,4.8,22,3.5,0.225409,0.2815,3.5,1.5
2011-01-11,Minnesota,4.25,10,18,9,0.0265,0.031,9,26,1.171739,2.25,1,1.5,0.200024,0.23700000000000002,9.5,1
2011-01-12,Minnesota,14.952381,31,18,29,0.012417,0.027,8,23,0.3944445,0.95,11.5,0.5,0.271425,0.504,20.5,3
2011-01-13,Minnesota,22.458333,33,1,31,0.012083,0.021,11,18,1.7227275,3.35,9.5,2,0.312801,0.51,0,3
2011-01-14,Minnesota,19.625,37,19,35,0.014125,0.024,23,20,2.95303,4,19,3,0.3243635,0.4225,18.5,2.5
2011-01-15,Minnesota,4.25,11,21,10,0.03025,0.035,10,30,0.5322370000000001,1.5,11.5,1.5,0.233472,0.336,11.5,2.5
2011-01-16,Minnesota,5.375,13,18,12,0.029458,0.032,0,27,1.519697,3.1500000000000004,14.5,2,0.22133350000000002,0.2895,6.5,1.5
2011-01-17,Minnesota,9.083333,20,14,19,0.023333,0.034,22,29,3.0560609999999997,6.449999999999999,10.5,4.5,0.26671199999999995,0.3345,12,1.5
2011-01-18,Minnesota,0.916667,7,21,7,0.033625,0.036,5,31,6.7142855,17.95,18.5,15,0.18872,0.2575,9,1.5
2011-01-19,Minnesota,11,34,7,32,0.022208,0.03,9,25,1.3733330000000001,2.35,13.5,1.5,0.2449285,0.41400000000000003,7,1.5
2011-01-20,Minnesota,8.583333,25,2,24,0.022625,0.029,10,25,1.238421,2.45,11,1.5,0.2437105,0.3015,4,1.5
2011-01-21,Minnesota,18.958333,31,7,29,0.011667,0.018,23,15,1.7439390000000001,3.4,16.5,2,0.31828,0.4905,7.5,2.5
2011-01-22,Minnesota,7.708333,19,0,18,0.0205,0.03,8,25,1.043182,1.75,19.5,0.5,0.23905300000000002,0.3275,11.5,1.5
2011-01-23,Minnesota,14.75,30,8,28,0.021792,0.03,13,25,1.3424245,2.55,10.5,1.5,0.34392449999999997,0.5595,8.5,3
2011-01-24,Minnesota,12,28,8,26,0.024333,0.029,13,25,1.2742425,1.65,4,1.5,0.266947,0.313,8,1.5
2011-01-25,Minnesota,11.041667,30,21,28,0.02125,0.029,9,25,0.6416665,0.8500000000000001,10.5,0,0.240159,0.35150000000000003,19.5,1.5
2011-01-26,Minnesota,11.708333,23,6,22,0.024375,0.031,10,26,0.46136350000000004,0.7,14,0,0.264909,0.316,4,1.5
2011-01-27,Minnesota,7.625,19,6,18,0.029625,0.036,21,31,0.077143,0.30000000000000004,4,0,0.233964,0.321,19,1.5
2011-01-28,Minnesota,9.708333,20,18,19,0.025542,0.032,0,27,0.252778,0.5,10,0,0.2152435,0.2905,9,1.5
