Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2001-10-01,Nevada,3.173913,14,17,13,0.040667,0.054,9,46,1.1363355,8.65,19.5,8,0,0,0,0
2001-10-02,Nevada,6.708333,18,17,17,0.044333,0.057,10,48,0,0,1,0,0,0,0,0
2001-10-03,Nevada,3.458333,17,6,16,0.040125,0.052,9,44,0.9083335,6.3,4,5.5,0,0,0,0
2001-10-04,Nevada,3.916667,17,6,16,0.04625,0.054,11,46,0.2895835,4.65,2,5,0,0,0,0
2001-10-05,Nevada,4.541667,14,5,13,0.048542,0.057,11,48,0,0,1,0,0,0,0,0
2001-10-06,Nevada,1.666667,10,7,9,0.037833,0.041,10,35,0,0,1,0,0,0,0,0
2001-10-07,Nevada,0,0,0,0,0.045042,0.05,9,42,0,0,1,0,0,0,0,0
2001-10-08,Nevada,4.809524,17,6,16,0.043722,0.049,10,42,0.2041665,3.3,7.5,3.5,0,0,0,0
2001-10-09,Nevada,4.458333,30,6,28,0.045458,0.053,9,45,0,0,1,0,0,0,0,0
2001-10-10,Nevada,0.625,5,7,5,0.039292,0.044,9,37,0,0,1,0,0,0,0,0
2001-10-11,Nevada,13.541667,30,7,28,0.029625,0.036,13,31,0.4083335,3.3,17,3.5,0,0,0,0
2001-10-12,Nevada,1.375,10,17,9,0.037958,0.042,9,36,0,0,1,0,0,0,0,0
2001-10-13,Nevada,8.041667,20,7,19,0.029625,0.035,11,30,0,0,1,0,0,0,0,0
2001-10-14,Nevada,1.541667,9,17,8,0.037875,0.042,8,36,0,0,1,0,0,0,0,0
2001-10-15,Nevada,12.608696,40,21,38,0.024625,0.038,10,32,0,0,1,0,0.0149455,0.25,21,0.5
2001-10-16,Nevada,13.833333,31,7,29,0.029125,0.038,20,32,0,0,1,0,0.0729165,0.4,17,1
2001-10-17,Nevada,7.041667,24,7,23,0.0395,0.049,20,42,0.9658384999999999,6,15,5,0.0020835,0.05,0,0.5
2001-10-18,Nevada,10.291667,26,8,25,0.03975,0.052,11,44,1.98125,5.8,8,4.5,0,0,0,0
2001-10-19,Nevada,10.833333,23,2,22,0.031875,0.038,13,32,0,0,1,0,0,0,0,0
2001-10-20,Nevada,12.666667,28,6,26,0.033417,0.042,12,36,1.7041665,9.8,19.5,8,0,0,0,0
2001-10-21,Nevada,3.416667,12,7,11,0.035625,0.043,5,36,0,0,1,0,0,0,0,0
2001-10-22,Nevada,4.85,16,8,15,0.029542,0.035,18,30,0,0,1,0,0,0,0,0
2001-10-23,Nevada,6.458333,33,6,31,0.036542,0.044,10,37,0.7919255000000001,10,8,10.5,0.025,0.25,6,0.5
2001-10-24,Nevada,2.458333,12,16,11,0.03325,0.039,7,33,0,0,1,0,0,0,0,0
2001-10-25,Nevada,8.75,28,6,26,0.026167,0.033,11,28,0,0,1,0,0.025,0.25,16,0.5
2001-10-26,Nevada,8.25,27,4,25,0.027542,0.038,14,32,0,0,1,0,0.027083000000000003,0.3,16,0.5
2001-10-27,Nevada,11.333333,27,6,25,0.028333,0.041,22,35,0.45416650000000003,7.3,19,8,0.0395835,0.35,7,0.5
2001-10-28,Nevada,1.041667,8,17,8,0.044583,0.05,9,42,0,0,1,0,0,0,0,0
2001-10-29,Nevada,6.75,18,16,17,0.031917,0.037,0,31,0,0,1,0,0.05,0.25,6,0.5
2001-10-30,Nevada,6.125,20,15,19,0.024667,0.031,20,26,1.4479165,8.15,13.5,6.5,0,0,0,0
2001-10-31,Nevada,4.75,10,8,9,0.032875,0.037,9,31,0,0,1,0,0,0,0,0
2001-11-01,Nevada,7.75,20,16,19,0.029375,0.037,13,31,0,0,1,0,0,0,0,0
2001-11-02,Nevada,7.75,25,6,24,0.030833,0.041,12,35,0,0,1,0,0,0,0,0
2001-11-03,Nevada,6.166667,13,4,12,0.032792,0.045,11,38,0,0,1,0,0,0,0,0
2001-11-04,Nevada,2.166667,8,3,8,0.036,0.042,9,36,0,0,1,0,0,0,0,0
2001-11-05,Nevada,1.375,10,17,9,0.032708,0.036,8,31,0,0,1,0,0,0,0,0
2001-11-06,Nevada,7.583333,23,7,22,0.028042,0.034,12,29,0,0,1,0,0,0,0,0
2001-11-07,Nevada,4.291667,18,16,17,0.031875,0.038,18,32,1.0791665,8,13,6.5,0,0,0,0
2001-11-08,Nevada,0.208333,5,13,5,0.03875,0.042,11,36,0,0,1,0,0,0,0,0
