Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2002-03-31,New Hampshire,15.041667,35,0,33,0.037,0.037,22,31,2.5333335,7.3,8,5.5,0.264583,0.7,1,3
2002-04-01,New Hampshire,7.347826,17,9,16,0.040708,0.043,14,36,0.2015525,1.65,1,1.5,0.178442,0.25,4.5,1
2002-04-02,New Hampshire,12.375,38,20,36,0.034625,0.042,8,36,1.5791665,12,5,13,0.19374999999999998,0.45,20,2.5
2002-04-03,New Hampshire,15.375,41,8,39,0.028708,0.037,11,31,1.2833335,10,7.5,9.5,0.34375,0.75,8.5,3
2002-04-04,New Hampshire,8.291667,15,21,14,0.031,0.035,7,30,0.32916650000000003,2,5,2,0.19375,0.25,8,1
2002-04-05,New Hampshire,12.25,19,18,18,0.027833,0.034,8,29,1.9875,9,10,8.5,0.20625,0.3,14.5,1.5
2002-04-06,New Hampshire,6.583333,14,5,13,0.0385,0.046,10,39,0.5791664999999999,3.65,4,3.5,0.15,0.3,0.5,1.5
2002-04-07,New Hampshire,10.208333,39,21,37,0.034167,0.045,8,38,1.2833335,7.15,20,7,0.1708335,0.44999999999999996,21.5,1.5
2002-04-08,New Hampshire,18.26087,25,6,24,0.03125,0.038,19,32,2.4391305,4.65,7,3.5,0.22291650000000002,0.35,2.5,1.5
2002-04-09,New Hampshire,14.125,29,6,27,0.033708,0.041,10,35,0.7833335,2.5,22.5,2,0.0875,0.25,3,0.5
2002-04-10,New Hampshire,6.208333,17,20,16,0.02875,0.038,11,32,0.7721055,6.5,22,6.5,0.010417000000000001,0.1,0,0.5
2002-04-11,New Hampshire,12.666667,28,6,26,0.028458,0.044,8,37,1.6583335,5.15,4.5,4.5,0.039583,0.2,6,0.5
2002-04-12,New Hampshire,16.916667,28,1,26,0.026333,0.037,11,31,2.9479165,9.5,7,8.5,0.6645835,1.75,22.5,8.5
2002-04-13,New Hampshire,7.833333,12,20,11,0.0305,0.037,11,31,0,0,1,0,1.091667,1.7,0,8.5
2002-04-14,New Hampshire,3.166667,8,17,8,0.04,0.049,9,42,0.45416650000000003,7.3,17,8,0.43333299999999997,1.5,0,7.5
2002-04-15,New Hampshire,11.666667,29,20,27,0.010417,0.032,0,27,1.7032465,13.3,13,14.5,0.48541650000000003,1.5499999999999998,11.5,7
2002-04-16,New Hampshire,20.875,51,20,48,0.016208,0.042,11,36,1.4416665000000002,5.3,7.5,4.5,0.37083350000000004,1.5,22,5
2002-04-17,New Hampshire,17,42,0,40,0.03675,0.056,9,47,1.5462735,8,7.5,7,0.5333335,1.5499999999999998,0.5,7
2002-04-18,New Hampshire,7.375,14,8,13,0.034875,0.045,10,38,0.0395835,0.65,5,0.5,0.0791665,0.15000000000000002,4,0.5
2002-04-19,New Hampshire,19.791667,39,22,37,0.01575,0.03,0,25,0.24375,1.65,22.5,1.5,0.3145835,0.9,22.5,4.5
2002-04-20,New Hampshire,9.666667,46,0,43,0.035417,0.04,9,34,0.1645835,1.5,1.5,1.5,0.170833,1.3,0,5
2002-04-21,New Hampshire,3.541667,9,22,8,0.042,0.049,10,42,0.2895835,2.5,22,2,0.0104165,0.15000000000000002,0,0.5
2002-04-22,New Hampshire,8.5,13,0,12,0.030042,0.033,0,28,0.9020835,4.15,1.5,3.5,0.05,0.30000000000000004,18.5,1
2002-04-23,New Hampshire,8.916667,17,20,16,0.024958,0.033,9,28,0.9541664999999999,9.3,4,9.5,0.0625,0.1,2,0.5
2002-04-24,New Hampshire,14.833333,25,2,24,0.024042,0.043,9,36,2.6458335,10.3,4.5,8,0.10625,0.30000000000000004,5.5,1
2002-04-25,New Hampshire,19.826087,30,4,28,0.022292,0.037,8,31,3.9499999999999997,10,7.5,11.5,0.2064315,0.44999999999999996,6,1.5
2002-04-26,New Hampshire,9.25,21,21,20,0.026708,0.036,10,31,0.6533335,3.3,10,3.5,0.0791665,0.2,0,1
2002-04-27,New Hampshire,13.458333,31,20,29,0.026542,0.043,10,36,2.4083335,14.5,4.5,13,0.125,0.30000000000000004,0.5,1
2002-04-28,New Hampshire,7.041667,21,0,20,0.038625,0.044,11,37,0.8229165,4.65,1,3.5,0.0875,0.35,0,1.5
2002-04-29,New Hampshire,10.583333,19,6,18,0.02875,0.033,10,28,3.7375,11.15,8,8.5,0.10625,0.30000000000000004,16,1
2002-04-30,New Hampshire,10.458333,21,23,20,0.026833,0.036,8,31,0.74375,8.15,5,8.5,0.097917,0.2,13.5,1
2002-05-01,New Hampshire,14.708333,35,21,33,0.023458,0.039,9,33,1.4479165,6.3,4.5,5.5,0.21458300000000002,0.5,12.5,1.5
2002-05-02,New Hampshire,18.041667,33,8,31,0.023792,0.037,16,31,3.2770835,18,5,17,0.33125,0.7,9,3
2002-05-03,New Hampshire,6.666667,22,5,21,0.034,0.04,7,34,0.0791665,0.8,7.5,0.5,0.10416700000000001,0.35,0,1.5
2002-05-04,New Hampshire,9.708333,40,20,38,0.0305,0.05,10,42,0.375,2.5,21.5,2,0.1145835,0.6000000000000001,21.5,2.5
2002-05-05,New Hampshire,14.458333,32,0,30,0.035167,0.058,10,49,1.49375,4,4,3,0.2604165,0.8500000000000001,0.5,3.5
2002-05-06,New Hampshire,15.708333,33,6,31,0.049792,0.066,14,71,1.7375,5.5,7,5,0.2229165,0.44999999999999996,3.5,1.5
2002-05-07,New Hampshire,11.217391,18,6,17,0.044333,0.051,9,43,0.1298135,0.8,12,0.5,0.18315199999999998,0.35,20,1.5
2002-05-08,New Hampshire,7.708333,21,23,20,0.031611,0.045,10,38,0.4666665,2.15,17,2,0.122917,0.2,8.5,1
2002-05-09,New Hampshire,14.875,29,7,27,0.022125,0.03,9,25,0.5791664999999999,2.5,4.5,2,0.2083335,0.35,9,1.5
2002-05-10,New Hampshire,9.208333,20,7,19,0.042375,0.058,13,49,0.36875,2.5,4.5,2,0.204167,0.65,6.5,2.5
2002-05-11,New Hampshire,7.291667,31,23,29,0.033208,0.044,10,37,0.24375,2.3,22.5,2,0.08958350000000001,0.30000000000000004,22,1
2002-05-12,New Hampshire,9.416667,22,0,21,0.036625,0.046,20,39,1.0666665000000002,3.65,11.5,3.5,0.16249999999999998,0.4,0,1.5
2002-05-13,New Hampshire,6.869565,13,10,12,0.043208,0.049,19,42,0,0,1,0,0.1509965,0.25,12.5,1
2002-05-14,New Hampshire,9.083333,18,7,17,0.03475,0.04,0,34,0.9145835,8,5,7,0.14375,0.25,9,1
2002-05-15,New Hampshire,8.416667,25,23,24,0.031042,0.04,7,34,0.25,2,7,2,0.1333335,0.30000000000000004,11.5,1
2002-05-16,New Hampshire,17.25,32,6,30,0.040792,0.056,12,47,1.8229165,5.3,5,4.5,0.3208335,0.7,5.5,3
2002-05-17,New Hampshire,7.833333,15,6,14,0.037875,0.048,1,41,0.2041665,1.8,1,1.5,0.1666665,0.3,2.5,1.5
2002-05-18,New Hampshire,6.416667,16,10,15,0.024167,0.034,0,29,0.2895835,3,10.5,3,0.1458335,0.25,11,1
2002-05-19,New Hampshire,7.333333,23,21,22,0.027625,0.042,10,36,0.9083335,5.3,2,5,0.15416649999999998,0.44999999999999996,1,1.5
2002-05-20,New Hampshire,8.227273,15,5,14,0.025917,0.037,8,31,0.9701295,7.65,4.5,7,0.081818,0.25,2.5,1
2002-05-21,New Hampshire,6.208333,14,5,13,0.025917,0.032,10,27,0.0791665,0.65,1,0.5,0.0083335,0.05,2.5,0
2002-05-22,New Hampshire,10.5,25,22,24,0.029542,0.046,10,39,0.49375,3,4,2,0.0833335,0.25,14,1
2002-05-23,New Hampshire,19.458333,31,1,29,0.037417,0.058,11,49,1.2770834999999998,3.5,5,3,0.177083,0.30000000000000004,3,1
2002-05-24,New Hampshire,15.875,37,6,35,0.04575,0.069,10,80,1.5208335,3.65,7,3,0.241667,0.5,5.5,2.5
2002-05-25,New Hampshire,4.958333,13,20,12,0.034375,0.041,9,35,0.0791665,1.3,22.5,1.5,0.033333,0.1,0,0.5
2002-05-26,New Hampshire,8.333333,26,23,25,0.027125,0.041,10,35,0.0395835,0.65,23,0.5,0.1375,0.65,21.5,2.5
2002-05-27,New Hampshire,9.75,22,0,21,0.033,0.054,11,46,2.0729165,19.65,10.5,18,0.21250000000000002,0.55,0,3
2002-05-28,New Hampshire,14.95,20,21,19,0.024792,0.038,10,32,1.1520834999999998,4.5,10,4.5,0.304348,0.4,13,2.5
2002-05-29,New Hampshire,14.791667,23,16,22,0.021917,0.033,10,28,0.4875,2.8,7,3,0.30833350000000004,0.45,18.5,2.5
2002-05-30,New Hampshire,12.272727,22,20,21,0.030208,0.046,10,39,0,0,1,0,0.245644,0.35,9.5,1.5
2002-05-31,New Hampshire,11.608696,21,22,20,0.037292,0.055,12,47,0.08633550000000001,0.8,13,0.5,0.2233695,0.35,10.5,1.5
2002-06-01,New Hampshire,6.875,20,21,19,0.047583,0.059,12,50,0,0,1,0,0.15,0.35,10.5,1.5
2002-06-02,New Hampshire,4.208333,19,0,18,0.040375,0.057,2,48,0,0,1,0,0.075,0.25,0,1
2002-06-03,New Hampshire,7.041667,17,23,16,0.030417,0.043,11,36,0.125,1.5,22.5,1.5,0.018750000000000003,0.15000000000000002,20.5,0.5
2002-06-04,New Hampshire,14.791667,22,2,21,0.034167,0.045,21,38,1.4541665,3.5,2,3,0.11875,0.25,20,1
2002-06-05,New Hampshire,13.333333,23,8,22,0.036042,0.044,15,37,0,0,1,0,0.2270835,0.35,14,1.5
2002-06-06,New Hampshire,11.782609,21,5,20,0.021294,0.034,0,29,0.025,0.5,7.5,0.5,0.265942,0.35,3,1.5
2002-06-07,New Hampshire,8.625,26,21,25,0.020375,0.033,11,28,0.1645835,1.5,22,1.5,0.166667,0.44999999999999996,10.5,1.5
2002-06-08,New Hampshire,9.666667,21,21,20,0.029708,0.047,10,40,0.5333335,2.65,1,2,0.177083,0.6000000000000001,0.5,2.5
2002-06-09,New Hampshire,7.375,12,0,11,0.03975,0.055,11,47,0.2041665,1.65,5,1.5,0.1666665,0.25,4.5,1
2002-06-10,New Hampshire,7.173913,22,20,21,0.024917,0.037,8,31,0,0,1,0,0.061866000000000004,0.25,21,1
2002-06-11,New Hampshire,12.583333,20,5,19,0.031292,0.049,10,42,0.752381,2,6.5,1.5,0.242301,0.35,11.5,1.5
2002-06-12,New Hampshire,10.956522,24,16,23,0.025208,0.031,0,26,0,0,1,0,0.127083,0.30000000000000004,16,1
2002-06-13,New Hampshire,12.722222,20,19,19,0.021042,0.032,10,27,0.375,4,4.5,3.5,0.20965899999999998,0.45,21,2.5
2002-06-14,New Hampshire,10.095238,18,0,17,0.024625,0.034,13,29,0.4479165,1.8,9.5,1.5,0.30833299999999997,0.45,0,2.5
2002-06-15,New Hampshire,3.208333,6,0,6,0.031708,0.034,10,29,0,0,1,0,0.11249999999999999,0.25,0,1
2002-06-16,New Hampshire,6.541667,11,15,10,0.02025,0.027,0,23,0,0,1,0,0.139583,0.25,8,1
2002-06-17,New Hampshire,10.086957,24,20,23,0.022667,0.034,11,29,0.0431675,0.65,1.5,0.5,0.24474649999999998,0.4,13.5,1.5
2002-06-18,New Hampshire,8.136364,25,20,24,0.017542,0.031,10,26,0.2792205,1.5,20,1.5,0.193939,0.6000000000000001,21.5,2.5
2002-06-19,New Hampshire,10.958333,21,22,20,0.029042,0.051,11,43,5.10625,40.15,7.5,33.5,0.26875,0.55,0,2.5
2002-06-20,New Hampshire,13.791667,25,21,24,0.042792,0.073,10,93,2.6916665,18,8,16.5,0.291667,0.5,21.5,2.5
2002-06-21,New Hampshire,17.166667,29,7,27,0.056667,0.077,14,104,0.99375,1.65,6.5,1.5,0.395833,0.6,23,3
2002-06-22,New Hampshire,11.875,26,0,25,0.035167,0.042,0,36,0.9875,6.3,10,5.5,0.4354165,0.75,4,3.5
2002-06-23,New Hampshire,7.083333,15,19,14,0.045292,0.051,15,43,0,0,1,0,0.31666649999999996,0.55,20.5,3
2002-06-24,New Hampshire,7.583333,17,21,16,0.031708,0.04,10,34,0.0791665,0.8,22.5,0.5,0.16249999999999998,0.35,0,2.5
2002-06-25,New Hampshire,14.25,24,20,23,0.032083,0.043,11,36,0.3229165,1.65,4,1.5,0.21666649999999998,0.5,21,2.5
2002-06-26,New Hampshire,13.75,24,5,23,0.060333,0.08,10,111,0.8229165,1.8,1.5,1.5,0.35,0.45,3.5,2.5
2002-06-27,New Hampshire,9.5,15,5,14,0.048458,0.058,8,49,0.2041665,1.65,7,1.5,0.28125,0.35,3,1.5
2002-06-28,New Hampshire,10.291667,20,6,19,0.027667,0.04,8,34,0.11875,0.8,19,0.5,0.29583349999999997,0.4,8.5,1.5
2002-06-29,New Hampshire,9.125,22,23,21,0.0275,0.042,10,36,2.6916665,20.8,7.5,20,0.2791665,0.85,20.5,3
2002-06-30,New Hampshire,9.875,23,0,22,0.04025,0.05,17,42,0.4083335,1,2.5,0.5,0.360417,0.8,0.5,4
2002-07-01,New Hampshire,13.73913,26,5,25,0.048,0.06,10,51,1.3164595000000001,2,4,1.5,0.383062,0.5,11,2.5
2002-07-02,New Hampshire,9,19,6,18,0.041958,0.053,8,45,0.5333335,1.8,1,1.5,0.4041665,0.55,20.5,3
2002-07-03,New Hampshire,8.375,20,21,19,0.036167,0.05,8,42,0,0,1,0,0.35833349999999997,0.6,10.5,3
2002-07-04,New Hampshire,4.958333,11,0,10,0.039208,0.046,10,39,0.0791665,0.8,4,0.5,0.270833,0.45,0,3
2002-07-05,New Hampshire,4.375,10,20,9,0.031167,0.036,12,31,0,0,1,0,0.2,0.35,10,1.5
2002-07-06,New Hampshire,4.833333,8,17,8,0.030375,0.036,9,31,0,0,1,0,0.2125,0.3,0,1.5
2002-07-07,New Hampshire,6.208333,17,21,16,0.021042,0.031,9,26,0,0,1,0,0.485417,0.95,21.5,5
2002-07-08,New Hampshire,9.208333,15,8,14,0.029917,0.042,10,36,0.1979165,1.3,1.5,1.5,0.5333335,0.9,0,5
2002-07-09,New Hampshire,11.565217,20,7,19,0.044667,0.071,9,87,0.775,3,9.5,3,0.366667,0.45,3,2.5
2002-07-10,New Hampshire,5.125,11,0,10,0.027875,0.034,11,29,0.1645835,2.65,19.5,3,0.1645835,0.4,0,2.5
2002-07-11,New Hampshire,5.875,19,20,18,0.026125,0.034,11,29,0,0,1,0,0.127083,0.30000000000000004,20,1
2002-07-12,New Hampshire,10.583333,22,20,21,0.024958,0.038,11,32,0.6583335,5.8,10.5,5,0.2333335,0.45,21.5,2.5
2002-07-13,New Hampshire,11.75,21,0,20,0.04925,0.066,17,71,0.7833335,3,21,2,0.302083,0.45,0,2.5
2002-07-14,New Hampshire,9.083333,20,0,19,0.061292,0.076,10,101,1.6583335,4.65,1.5,3.5,0.30625,0.45,0,2.5
2002-07-15,New Hampshire,11.75,24,6,23,0.037875,0.052,8,44,1.2833335,4,3.5,3,0.336051,0.45,5,2.5
2002-07-16,New Hampshire,6.25,13,20,12,0.02125,0.031,10,26,0,0,1,0,0.2020835,0.25,0,1.5
2002-07-17,New Hampshire,10.75,27,21,25,0.030542,0.042,12,36,0.4083335,1.65,4.5,1.5,0.275,0.5,20,2.5
2002-07-18,New Hampshire,11.666667,24,6,23,0.03525,0.051,8,43,1.1458335,4.3,7.5,3.5,0.42291650000000003,0.6,11,3
2002-07-19,New Hampshire,6.458333,14,18,13,0.020875,0.03,8,25,0,0,1,0,0.3166665,0.45,0,3
2002-07-20,New Hampshire,5.333333,14,22,13,0.022375,0.036,11,31,1.5333335,10.15,7,10,0.26875,0.45,0,2.5
2002-07-21,New Hampshire,7.25,14,19,13,0.036833,0.051,11,43,0.0791665,0.8,1,0.5,0.34791649999999996,0.45,0,2.5
2002-07-22,New Hampshire,10.958333,16,6,15,0.059792,0.091,14,140,1.24375,2.5,19,2,0.3958335,0.55,18,3
2002-07-23,New Hampshire,10.041667,20,6,19,0.036333,0.063,7,61,1.1520834999999998,2.8,7,2,0.4166665,0.5,2.5,3
2002-07-24,New Hampshire,7,21,20,20,0.017208,0.03,9,25,0.3229165,1.65,12.5,1.5,0.158333,0.35,10,1.5
2002-07-25,New Hampshire,8.75,15,23,14,0.02,0.038,9,32,2.4083335,24.8,7.5,24.5,0.214583,0.3,0,1.5
2002-07-26,New Hampshire,9.333333,15,0,14,0.020792,0.033,9,28,0.24375,1.65,7,1.5,0.185417,0.3,0,1.5
2002-07-27,New Hampshire,10.833333,17,20,16,0.018042,0.03,12,25,0.125,1,7,0.5,0.28125,0.45,20.5,2.5
2002-07-28,New Hampshire,9.041667,18,0,17,0.024583,0.037,10,31,0.0791665,0.8,1,0.5,0.3854165,0.5,0,2.5
2002-07-29,New Hampshire,11.826087,30,20,28,0.024458,0.045,9,38,0.22298099999999998,1.5,19.5,1.5,0.408877,0.75,21.5,3.5
2002-07-30,New Hampshire,12.375,28,9,26,0.025708,0.046,10,39,0.0395835,0.65,1,0.5,0.4291665,0.75,3.5,3.5
2002-07-31,New Hampshire,10.666667,26,20,25,0.021875,0.037,8,31,0.4083335,2.15,7,2,0.302083,0.5,20.5,2.5
2002-08-01,New Hampshire,11.291667,22,0,21,0.028875,0.051,10,43,1.0333335,3.8,19.5,3.5,0.33125,0.4,0,2.5
2002-08-02,New Hampshire,11.291667,25,15,24,0.027542,0.048,9,41,0.5333335,3,4.5,3,0.33125000000000004,0.5,14.5,2.5
2002-08-03,New Hampshire,9.583333,20,2,19,0.025833,0.048,9,41,0.15833350000000002,0.8,4,0.5,0.32499999999999996,0.5,10.5,2.5
2002-08-04,New Hampshire,8.208333,15,0,14,0.041583,0.055,20,47,1.7375,10.65,8,10,0.370833,0.6,0,3
2002-08-05,New Hampshire,9.291667,21,6,20,0.045292,0.057,10,48,0.5729165,1.8,4.5,1.5,0.40208299999999997,0.55,3,3
2002-08-06,New Hampshire,3.913043,6,18,6,0.01775,0.024,0,20,0,0,1,0,0.2039855,0.3,11,1.5
2002-08-07,New Hampshire,5.458333,12,21,11,0.022958,0.03,10,25,0.0395835,0.65,20,0.5,0.2,0.25,3.5,1
2002-08-08,New Hampshire,7.583333,23,22,22,0.019542,0.028,9,24,0,0,1,0,0.20625,0.35,22,1.5
2002-08-09,New Hampshire,13.041667,34,22,32,0.016947,0.034,10,29,0.5333335,1,12,0.5,0.2916665,0.55,22.5,2.5
2002-08-10,New Hampshire,11.291667,31,21,29,0.031167,0.051,11,43,0.5270835,3.3,5,3,0.3833335,0.65,10.5,3
2002-08-11,New Hampshire,10.333333,18,0,17,0.05425,0.077,9,104,1.4020834999999998,2.5,17,2,0.41458300000000003,0.7,11.5,3.5
2002-08-12,New Hampshire,18.875,39,20,37,0.049,0.088,10,132,2.9354165,4,9,3,0.5020835,0.75,20.5,3.5
2002-08-13,New Hampshire,25.375,55,20,52,0.041792,0.085,9,124,2.0729165,4,10,3.5,0.6416665,1.2,21,5.5
2002-08-14,New Hampshire,16.473684,32,1,30,0.0645,0.089,11,135,1.3524845,2,11.5,1.5,0.622538,0.95,0,5.5
2002-08-15,New Hampshire,6.708333,19,6,18,0.052833,0.076,10,101,1.5270834999999998,3,4,2,0.50625,0.6,2.5,3.5
