Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,New Jersey,24.25,31,18,29,0.003208,0.005,7,4,15.5666665,36.5,18.5,27.5,1.0729165,2.2,22.5,10
2000-01-02,New Jersey,22.041667,38,10,36,0.021292,0.035,14,30,8.5666665,12.5,2.5,9.5,1.4333335,2.65,2.5,14
2000-01-03,New Jersey,23.73913,38,16,36,0.012333,0.023,21,19,11.2254655,25.3,16.5,20.5,0.9111415,2.55,18,9.5
2000-01-04,New Jersey,14,25,21,24,0.0195,0.026,8,22,2.3166665,4.8,22,3.5,0.4984845,1,3,7.5
2000-01-05,New Jersey,10,11,0,10,0.016292,0.027,7,23,3.1520835,6.5,16.5,5,0.439583,0.7,22,3.5
2000-01-07,New Jersey,19.454545,25,23,24,0.008375,0.015,12,13,11.35,38.8,10,28,1.03125,2,4,10
2000-01-08,New Jersey,24.333333,30,7,28,0.007542,0.016,8,14,10.60625,16.65,15.5,13,0.6708335000000001,1.15,7,4.5
2000-01-09,New Jersey,22.958333,31,19,29,0.008417,0.012,20,10,10.3958335,18.15,5,15,0.5708335,0.7,8,4
2000-01-10,New Jersey,20.25,29,22,27,0.009292,0.017,8,14,6.7708335,20.8,20,18,0.5583335,0.6499999999999999,4,3.5
2000-01-11,New Jersey,20.375,29,2,27,0.015,0.019,8,16,9.3166665,21,2.5,17,0.4979165,0.6,3.5,3.5
2000-01-12,New Jersey,22.913043,41,23,39,0.008208,0.017,9,14,8.0136645,16.15,19.5,13,0.6833335,1.7000000000000002,23,7.5
2000-01-13,New Jersey,23.25,36,0,34,0.011333,0.023,19,19,5.48125,10.8,14,8.5,0.7791665000000001,1.4,0,8
2000-01-14,New Jersey,15.958333,34,20,32,0.018875,0.026,8,22,2.9020835,7,16,5.5,0.5249999999999999,0.6499999999999999,17.5,3.5
2000-01-15,New Jersey,20.166667,31,7,29,0.0165,0.02,8,17,6.9020835,13.8,8,10.5,0.5666665,0.6499999999999999,8.5,3.5
2000-01-16,New Jersey,13.375,25,14,24,0.020625,0.03,22,25,6.9479165,26.65,13.5,20.5,0.5416665,0.6499999999999999,7,3.5
2000-01-17,New Jersey,10.416667,16,16,15,0.025292,0.03,0,25,1.5729165,2,4.5,1.5,0.547917,0.6,11,3.5
2000-01-18,New Jersey,29.125,40,17,38,0.006542,0.016,0,14,6.1125,14.65,20,11.5,0.7708335,1,10.5,5
2000-01-19,New Jersey,30.708333,39,22,37,0.005292,0.013,8,11,16.520833500000002,27,10,20.5,1.0125000000000002,2.15,21.5,10
2000-01-20,New Jersey,29.416667,42,17,40,0.005917,0.018,23,15,9.1520835,18.65,22,15,0.985417,1.65,0,11
