Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,New Mexico,9.180952,20.4,4,19,0.030167,0.035,10,30,0.052083500000000005,0.30000000000000004,15,0,0.1979165,0.2,2.5,1
2011-01-02,New Mexico,11.504762,40.3,18,38,0.020708,0.033,9,28,0.1625,1.35,20.5,0.5,0.30000000000000004,0.8500000000000001,21,3.5
2011-01-03,New Mexico,23.342857,47.2,18,44,0.008375,0.017,8,14,0.7041664999999999,2.6,22,1.5,0.5145835000000001,1.25,21.5,6.5
2011-01-04,New Mexico,23.245455,35.5,1,33,0.020667,0.035,22,30,0.875,2.6500000000000004,1,2,0.53125,1.15,0,6.5
2011-01-05,New Mexico,12.6375,28.8,7,26,0.032292,0.035,10,30,0.44166649999999996,0.8,16.5,0,0.2,0.35,3.5,1.5
2011-01-06,New Mexico,11.8,23.2,20,22,0.031667,0.036,6,31,0.2642855,0.7,20,0,0.2,0.30000000000000004,3.5,1
2011-01-07,New Mexico,18.716667,44.4,20,42,0.025208,0.039,9,33,0.3125,0.8,14,0.5,0.260119,0.44999999999999996,13,1.5
2011-01-08,New Mexico,21.6625,39.3,7,37,0.016125,0.03,10,25,0.5625,2.7,8,1.5,0.38958349999999997,0.8500000000000001,7.5,3.5
2011-01-09,New Mexico,22.3125,40.8,8,38,0.022125,0.035,10,30,0.4708335,1.8,8,1.5,0.36250000000000004,0.7,8,3.5
2011-01-10,New Mexico,9.958333,18.1,1,17,0.034208,0.038,11,32,0.1166665,0.65,22.5,0,0.19583299999999998,0.25,0,1.5
2011-01-11,New Mexico,19.241667,41.1,21,39,0.019333,0.032,8,27,0.31875,1.5,22,0.5,0.3166665,0.8500000000000001,21.5,3.5
2011-01-12,New Mexico,32.58,47.6,18,44,0.011833,0.02,23,17,1.0532465,2.45,19.5,1.5,0.5645835,1.05,11,5
2011-01-13,New Mexico,15.108333,38.3,0,36,0.028208,0.035,10,30,0.5625,1,7.5,0.5,0.26249999999999996,0.7,0,4.5
2011-01-14,New Mexico,23.075,45.5,2,42,0.022,0.029,9,25,1.0708335,2.05,8,1.5,0.29583349999999997,0.7,8,3
2011-01-15,New Mexico,20.958333,39.9,3,37,0.021917,0.038,11,32,0.8958335,2.05,7.5,1.5,0.295833,0.6,7,3
2011-01-16,New Mexico,18.595833,40.7,6,38,0.026167,0.037,12,31,0.750974,1.7,1.5,0.5,0.2539775,0.4,3.5,1.5
2011-01-17,New Mexico,12.077778,27.2,8,25,0.027833,0.034,11,29,0.5270835,1.1,1.5,0.5,0.14375,0.30000000000000004,4,1
2011-01-18,New Mexico,18.866667,46.7,22,43,0.021667,0.038,9,32,0.6333335,1.4,7.5,0.5,0.2395835,0.6000000000000001,21.5,2.5
2011-01-19,New Mexico,24.9125,52.9,7,49,0.023,0.032,21,27,0.7104165,2.6500000000000004,7.5,2,0.38125,0.95,7.5,4
2011-01-20,New Mexico,15.716667,40.5,7,38,0.023632,0.028,0,24,0.2875,0.65,9,0,0.225,0.44999999999999996,8,1.5
2011-01-21,New Mexico,17.766667,39.5,22,37,0.023348,0.033,8,28,0.7166665,2.25,1.5,1.5,0.23124999999999998,0.6000000000000001,22,2.5
2011-01-22,New Mexico,23.908333,44.8,8,42,0.022292,0.034,10,29,0.5666665,2.25,8,2,0.35625,0.8,4,3
2011-01-23,New Mexico,14.941667,33.7,7,31,0.027208,0.04,10,34,0.2395835,0.4,7,0,0.211508,0.3,0,1.5
2011-01-24,New Mexico,17.745833,41.9,8,39,0.02525,0.036,10,31,0.6020835,1.85,9.5,1.5,0.25625,0.6000000000000001,8,2.5
2011-01-25,New Mexico,29.204167,45,19,42,0.014333,0.032,10,27,0.84375,3.15,8,2,0.45,0.95,8.5,4
2011-01-26,New Mexico,25.225,44.3,23,42,0.016167,0.037,10,31,0.5979165,1.65,22.5,0.5,0.36250000000000004,0.8,22,3.5
2011-01-27,New Mexico,31.265217,51,7,48,0.011792,0.028,9,24,0.706169,1.35,13,0.5,0.525,1.4,7.5,4.5
2011-01-28,New Mexico,30.4,42.4,19,40,0.009417,0.025,10,21,1.48125,3.65,7.5,2,0.5020835,0.85,16,4
2011-01-29,New Mexico,25.329167,44,8,42,0.014875,0.032,10,27,0.8708335,2.6,8,2,0.46875,0.9500000000000001,4.5,4.5
2011-01-30,New Mexico,28.966667,43.3,19,41,0.014542,0.033,10,28,0.802381,1.4,7,0.5,0.47197,0.6499999999999999,2,3.5
2011-01-31,New Mexico,16.394118,34.2,7,32,0.025667,0.038,8,32,0.3241665,1.15,14,0.5,0.254801,0.5,3.5,3
2011-02-01,New Mexico,6.620833,11.9,7,10,0.026625,0.035,22,30,-0.2,-0.2,8,0,0.18125000000000002,0.25,2.5,1.5
2011-02-02,New Mexico,7.058333,23.6,21,22,0.031292,0.039,8,33,-0.10500000000000001,0.09999999999999999,12.5,0,0.2104165,0.3,20.5,1.5
2011-02-03,New Mexico,19.408333,32.9,6,30,0.019042,0.03,8,25,-0.07705899999999999,0,10.5,0,0.28125,0.4,14.5,2.5
2011-02-04,New Mexico,29.570833,43.2,8,41,0.017542,0.03,10,25,0.32499999999999996,1.2,9.5,0.5,0.3958335,0.6,6.5,3
2011-02-05,New Mexico,21.8125,41.9,5,39,0.025,0.036,23,31,0.2625,1.25,7.5,0.5,0.322917,0.65,7.5,3
2011-02-06,New Mexico,8.708333,23.5,23,22,0.033375,0.045,9,38,-0.10052649999999999,0,1.5,0,0.175,0.25,11.5,1
2011-02-07,New Mexico,20.025,42.3,9,40,0.024542,0.035,10,30,0.2011905,1.4500000000000002,7.5,0.5,0.32499999999999996,0.7,7.5,3
2011-02-08,New Mexico,14.616667,41.7,7,39,0.025833,0.036,10,31,0.145238,1.2000000000000002,7.5,0.5,0.2395835,0.55,9,2.5
2011-02-09,New Mexico,13.304167,26.5,23,25,0.021625,0.032,11,27,-0.0083335,0.2,9.5,0,0.214583,0.3,14.5,1.5
2011-02-10,New Mexico,23.1625,43.7,7,41,0.021583,0.037,10,31,0.1238095,0.55,10,0,0.3645835,0.95,7.5,3.5
2011-02-11,New Mexico,18.766667,41,22,39,0.020542,0.034,10,29,0.5354165,1.4,6.5,0.5,0.2666665,0.65,22.5,3
2011-02-12,New Mexico,22.7875,43.4,4,41,0.020375,0.034,12,29,0.5458335,2.15,4.5,1.5,0.36666699999999997,0.75,4,3.5
2011-02-13,New Mexico,23.308333,38.9,2,36,0.017042,0.037,10,31,0.19025999999999998,0.45,9,0,0.3227275,0.55,21,3
2011-02-14,New Mexico,21.766667,54.5,16,51,0.019375,0.04,10,34,0.490683,1.65,23,1.5,0.352462,0.65,10.5,3
2011-02-15,New Mexico,26.305556,47.9,19,44,0.018125,0.04,10,34,0.5825,1.15,13,0.5,0.447538,1.0499999999999998,10,4
2011-02-16,New Mexico,25.741667,42.6,18,40,0.01775,0.029,12,25,0.7866664999999999,1.4,15.5,0.5,0.4708335,1.0499999999999998,8.5,4
2011-02-17,New Mexico,15.954167,39.9,7,37,0.02375,0.039,10,33,0.6895835,2.35,8,1.5,0.25625,0.65,3.5,1.5
2011-02-18,New Mexico,21.491667,35.8,7,33,0.021875,0.031,11,26,0.7375,1.9,7.5,1.5,0.33958299999999997,0.55,4.5,2.5
2011-02-19,New Mexico,14.066667,34,6,32,0.019875,0.026,23,22,0.4666665,0.8500000000000001,9.5,0,0.21458300000000002,0.35,3,1.5
2011-02-20,New Mexico,5.775,13.4,19,12,0.04175,0.046,9,39,0.30625,0.5,10.5,0,0.15625,0.25,15.5,1
2011-02-21,New Mexico,14.820833,42.9,7,40,0.036583,0.051,10,43,0.36875,0.85,7.5,0.5,0.264583,0.55,15,2.5
2011-02-22,New Mexico,19.575,46.2,8,43,0.024917,0.044,11,37,0.4214285,0.95,16.5,0.5,0.31875,0.75,8.5,3
2011-02-23,New Mexico,22.108333,52.7,7,49,0.032042,0.047,10,40,0.597078,1.3,10,0.5,0.3354165,0.9,7,3
2011-02-24,New Mexico,12.533333,40.6,23,38,0.0365,0.049,9,42,0.375,0.7,1,0,0.18125000000000002,0.4,22,1.5
2011-02-25,New Mexico,17.404167,48.3,8,45,0.033333,0.042,10,36,0.7208335,2.3,7.5,1.5,0.2854165,0.6000000000000001,7.5,2.5
2011-02-26,New Mexico,13.808333,28.6,23,26,0.033583,0.045,9,38,0.4583335,0.55,1,0,0.23125,0.35,20,1.5
2011-02-27,New Mexico,14.079167,36.2,6,34,0.035417,0.049,10,42,0.36041650000000003,0.6,7,0,0.202882,0.35,0,1.5
2011-02-28,New Mexico,32.691667,51.5,7,48,0.021125,0.043,10,36,0.4738095,1.05,14,0.5,0.35706499999999997,0.85,7.5,3
2011-03-01,New Mexico,27.654167,61.3,19,58,0.023583,0.05,11,42,0.5479164999999999,1.3,7.5,0.5,0.38749999999999996,0.65,10,3
2011-03-02,New Mexico,25.891667,47.8,7,44,0.026083,0.044,10,37,0.45487049999999996,1.4500000000000002,10,0.5,0.38333300000000003,0.8500000000000001,7.5,3.5
2011-03-03,New Mexico,20.495833,43.3,7,41,0.024125,0.042,11,36,0.3666665,0.8500000000000001,7.5,0.5,0.291667,0.7,8,3
