Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,New York,24.520833500000002,33,11.5,31,0.0041670000000000006,0.0085,10,7,13.85,21.3,13,16.5,0.719408,1.8,12.75,9
2000-01-02,New York,24.833333500000002,36,12,33.5,0.020854,0.0305,12.5,26,10.25416675,19.4,3.5,14.5,0.50520825,1.35,2.25,6.25
2000-01-03,New York,28.0244565,37.5,8.5,35.5,0.0083955,0.0225,11.5,19.5,7.926515,13.825,11.25,11,0.29479175,0.7,18.25,3.25
2000-01-04,New York,17.4375,31.5,19,30,0.018375,0.023,0.5,19.5,3.1947917500000003,8.325,22.25,6.5,0.20208325,0.375,5.25,2.75
2000-01-05,New York,12.6041665,25.5,20.5,24,0.021125,0.030000000000000002,8.5,25.5,3.7770835000000003,6.15,22,4.5,0.07395825,0.2,5.75,1.25
2000-01-06,New York,28.335227500000002,42,19.5,40,0.009896,0.023,8.5,19.5,7.7067872500000005,13.9,6,10.75,0.2861865,1.1,19.25,3.75
2000-01-07,New York,29,43.5,7,41,0.0110835,0.021,20.5,17.5,12.438541749999999,21.975,10.5,17,0.7010415,1.9,7.5,7.5
2000-01-08,New York,21.229166499999998,35,18.5,33,0.009626,0.0205,3.5,17.5,9.93854175,19.9,23,14.5,0.17118025,0.475,15,2.25
2000-01-09,New York,28.25,38,15.5,35.5,0.005896,0.0125,8,10.5,13.2708335,18.975,4.75,14.25,0.33229175,0.65,22.25,3.25
2000-01-10,New York,25.102272499999998,32.5,0,30.5,0.0097915,0.019,10.5,16.5,6.371454249999999,12.05,1.25,9,0.22934775000000002,0.5,2,3.25
2000-01-11,New York,22.708333,38.5,17.5,36.5,0.0148335,0.020499999999999997,8,17.5,6.13541675,9.4,12,7.5,0.20208325,0.425,12.5,1.25
2000-01-12,New York,18.954545500000002,37.5,18,35.5,0.0129315,0.025500000000000002,5.5,21.5,8.16969725,15.075,19.75,11.25,0.28315049999999997,0.775,20,3.25
2000-01-13,New York,18.916666499999998,33,2,31,0.0174165,0.028,22.5,23.5,7.83333325,15.5,2.5,11.75,0.390625,0.6,1.25,3.5
2000-01-14,New York,9.5700755,13,7.5,12.5,0.0276875,0.031,7.5,26.5,4.7089285,6.825,14.5,5,0.22925725,0.275,3.25,1.5
2000-01-15,New York,23.979166499999998,40.5,18,38,0.014478999999999999,0.0235,4,19.5,11.9875,23.65,17.5,17.75,0.3947915,1.025,20.25,4.5
2000-01-16,New York,14.395833,29.5,0,27.5,0.0234375,0.0345,23,29,6.96458325,14.575,10.75,11.75,0.29166675,0.6,3,4.25
2000-01-17,New York,8.6875,15,17.5,14.5,0.0276875,0.034,0,28.5,3.9614585,6.075,14.25,4.5,0.15520825,0.225,0,1.5
2000-01-18,New York,17.752976,27,17,25.5,0.017718,0.0225,0,19,11.57736725,23.15,15.25,17.75,0.29517075,0.425,13.25,2.25
2000-01-19,New York,22.560606,30.5,15,28.5,0.012292,0.023,9,19.5,17.5864585,40.3,15,30,0.59895825,1.925,22.75,8.5
2000-01-20,New York,33.583333,50,2,47,0.009667,0.014,12,12,16.9020835,33.3,4.5,26,0.7562500000000001,1.15,2.5,5.5
2000-01-21,New York,14.548611000000001,24.5,7.5,23,0.0274375,0.031,11,26.5,7.5270835,11.55,3.25,8.5,0.26354175,0.35,3.75,2
2000-01-22,New York,16.083333,27.5,19.5,26,0.022625,0.0315,7.5,27,8.296875,13.4,16,10.25,0.15729175,0.225,4,1.5
2000-01-23,New York,26.9232455,38.5,2,36.5,0.0132155,0.0205,14.5,17.5,15.5468055,37.725,5.25,30.25,0.475248,0.875,7.75,4.25
2000-01-24,New York,31.880682,40,18,38,0.006895999999999999,0.014,23,12,17.693336,26.725,12,20.25,0.6787592499999999,1.4,18.5,6
2000-01-25,New York,14.1041665,26,9,24.5,0.020917,0.025500000000000002,9,21.5,6.69166675,11.825,10,9.25,0.42083349999999997,0.725,4.5,5.75
2000-01-26,New York,17.558712,33,17.5,31,0.018875,0.026000000000000002,15,22,7.021292750000001,11.15,8,9.25,0.34850549999999997,0.5,9.5,2.5
2000-01-27,New York,11.7083335,18.5,7.5,17.5,0.0255205,0.0285,15,24,5.342708249999999,8.325,7.5,6.5,0.2666665,0.35,3.5,2
2000-01-28,New York,14.2916665,21.5,19.5,20,0.026937500000000003,0.0305,5,26,7.00011,11.475,17,9.25,0.264674,0.325,5.75,1.75
2000-01-29,New York,23.479166999999997,45,20,42.5,0.0192915,0.031,8,26,11.3,26.65,20.75,20.75,0.40104175000000003,0.7000000000000001,20.25,3
2000-01-30,New York,41.303571500000004,57,14,54.5,0.012708500000000001,0.0295,22.5,25,24.32752975,46.325,8,38,0.65369325,1.075,13.5,4.75
2000-01-31,New York,24.339015500000002,35,14.5,33,0.008729,0.026000000000000002,0,22,18.693723,34.3,18.75,26,0.36017075000000004,0.5499999999999999,16,3.5
2000-02-01,New York,30.375,40.5,18.5,38.5,0.012375,0.0235,23,20,20.87916675,29.9,9,22.75,0.4958335,0.65,3.5,3.5
2000-02-02,New York,14.1875,23.5,9,22,0.026125000000000002,0.031,12,26.5,7.3166665,12.725,13.25,10.75,0.25625,0.425,2,3
2000-02-03,New York,31.645833500000002,45,13,42.5,0.00975,0.014499999999999999,0,12,16.4052085,33.75,7.5,25.5,0.44583324999999996,0.825,10.25,3.75
2000-02-04,New York,31.045289999999998,39,20,37,0.004979,0.009,3,7.5,19.3090385,28.325,21.75,21.5,0.630163,1.6,23,7
2000-02-05,New York,28.895833500000002,42.5,10.5,40,0.0159165,0.03,8.5,25.5,17.44166675,34.15,1.5,25,0.64999975,1.475,1.75,8.5
2000-02-06,New York,24.493421,45,19.5,42.5,0.0187755,0.032,9,27,11.66628775,20.575,10.25,16.25,0.42964025,0.8,20,3.75
2000-02-07,New York,22.104167,38.5,4,36,0.0231665,0.0335,21,28,13.2375,25.4,10.25,19,0.44583325,0.675,3.75,3.75
2000-02-08,New York,22.2137685,44,17,41.5,0.016354,0.032,0,27,7.77348475,16.65,19.25,13.25,0.5314395000000001,1.125,20,4.75
2000-02-09,New York,36.541667,47,20.5,44.5,0.010374999999999999,0.0225,9,19,13.71458325,23.325,14.25,18.25,0.6666664999999999,1.2,5,5.75
2000-02-10,New York,38,50,7.5,47.5,0.0094795,0.0185,8.5,16,17.884168,32.15,5.75,24.5,0.91485525,1.575,7.5,7
2000-02-11,New York,30.7083335,50,15.5,47.5,0.013291500000000001,0.029,22,24.5,10.546875,21.075,15.5,17,0.69375,1.15,10,5.5
2000-02-12,New York,21.020833500000002,41.5,20.5,39,0.018500000000000003,0.032,8.5,27.5,9.14895825,25.9,22,20.25,0.6625,1.975,22.25,8.75
2000-02-13,New York,27.4315475,37.5,11,35,0.018875,0.0315,9,27,11.15,24.575,3.25,18.25,0.8681862499999999,1.925,0.75,10.75
2000-02-14,New York,27.3125,44,8.5,41.5,0.014437499999999999,0.03,12.5,25.5,6.46145825,14.55,20.75,11.25,0.56562475,0.95,19.75,4.75
2000-02-15,New York,22.729166499999998,43,20.5,40.5,0.019667,0.035500000000000004,9.5,30,8.345833500000001,16.975,22.75,13,0.54374975,1.225,17.25,5
2000-02-16,New York,31.119318,46,9.5,43.5,0.015229,0.031,23,26.5,14.10087975,28.4,3.25,21.25,0.82948375,1.7,3,8.25
2000-02-17,New York,20.479166499999998,41,20.5,38.5,0.022,0.035500000000000004,8,30,7.53333325,21.4,22.5,16.25,0.6208335,1.5750000000000002,22.5,7
2000-02-18,New York,25.9242425,38.5,3.5,36,0.0197055,0.03,16,25.5,7.6177487500000005,16.3,1,12.25,0.59374675,1.375,0.5,8
2000-02-19,New York,21.916666499999998,29.5,9.5,28,0.0139375,0.018500000000000003,7.5,15.5,8.20520825,13.3,9.25,10.25,0.28854175,0.35,8.5,2
2000-02-20,New York,19.354167,34,19,32,0.0250415,0.038500000000000006,9,33,8.79375,13.8,14.5,10.75,0.259375,0.35,0,2
2000-02-21,New York,27.2291665,44.5,13.5,42,0.018312500000000002,0.039,9,33,10.9583335,21.825,18.75,16.75,0.32291675,0.7,21.75,3.25
2000-02-22,New York,46.454545,60,2,57,0.009458,0.023,9,19,18.022727500000002,35.65,8,26,0.8484845000000001,1.7,7.5,8
2000-02-23,New York,47.208333,62,8,60,0.009042,0.024,9,20,13.9875,36.3,7.5,28,0.7708335,1.5,8.5,6.5
2000-02-24,New York,50.583333,59,13,56,0.002,0.005,7,4,16.1916665,25.15,5,19.5,1.00625,1.4,9,7
2000-02-25,New York,27.916667,53,0,50,0.015792,0.028,23,24,6.2770835,10.15,1,8,0.575,1.05,3,5.5
2000-02-26,New York,18.458333,30,20,28,0.015167,0.028,0,24,5.8958335,10.8,20,8.5,0.30000000000000004,0.45,20,2.5
2000-02-27,New York,24.625,35,2,33,0.019,0.027,19,23,3.8958335,7.3,8,5.5,0.4625,0.7,8,3.5
2000-02-28,New York,16.291667,28,7,26,0.021708,0.028,10,24,3.0208335,5.8,7.5,4.5,0.2875,0.45,9.5,2.5
