Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-03-31,North Carolina,29.125,59,20,56,0.0115,0.012,22,10,4.7708335,7.3,7.5,5.5,0.68125,1.6,22,7
2000-04-01,North Carolina,18.125,44,0,42,0.048625,0.068,10,77,2.6916665,4.3,9.5,3.5,0.7083335,1.35,0.5,8
2000-04-02,North Carolina,12.875,25,22,24,0.030458,0.044,0,37,3.9083335,11,4,9.5,0.50625,0.6,11,3
2000-04-03,North Carolina,8.25,17,8,16,0.038542,0.048,12,41,2,2,1,1.5,0.5,0.5,0,3
2000-04-04,North Carolina,9.25,19,22,18,0.031889,0.037,0,31,4.23125,17.8,22.5,18,0.5,0.5,0,3
2000-04-05,North Carolina,17.166667,43,6,41,0.033208,0.046,11,39,4.1125,11,1,10,0.5375,0.8,6,3.5
2000-04-06,North Carolina,12.75,31,6,29,0.049292,0.071,13,87,3.0333335,5.5,7.5,4.5,0.5,0.5,0,3
2000-04-07,North Carolina,14.541667,41,6,39,0.043208,0.059,11,50,4.3291664999999995,28,8,28,0.5541665,0.9,7,4
2000-04-08,North Carolina,8.083333,12,13,11,0.030208,0.039,0,33,2.61875,8.65,19,8.5,0.5,0.5,0,3
2000-04-09,North Carolina,8.541667,23,21,22,0.033542,0.044,11,37,3.36875,10.15,7.5,8,0.5,0.5,0,3
2000-04-10,North Carolina,18.875,47,8,44,0.036875,0.054,11,46,3.73125,9.3,9.5,8.5,0.633333,1.15,7.5,5
2000-04-11,North Carolina,12.136364,34,6,32,0.043708,0.059,10,50,2.910606,4.8,1,3.5,0.5172345,0.6499999999999999,7.5,3.5
2000-04-12,North Carolina,15.125,36,20,34,0.035125,0.046,10,39,5.6916665,12.5,9.5,9.5,0.516667,0.6499999999999999,20,3.5
