Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2008-01-01,North Dakota,2.458333,24,23,23,0.019292,0.027,10,23,0.2291665,0.35,15.5,0,0.15115,0.279,20,1
2008-01-02,North Dakota,14,33,7,31,0.016583,0.031,22,26,0.6187499999999999,1.3,13.5,0.5,0.3016045,0.605,10,3
2008-01-03,North Dakota,12.083333,29,22,27,0.021292,0.032,0,27,0.1708335,0.35,2,0,0.2122085,0.32399999999999995,18.5,1.5
2008-01-04,North Dakota,14.875,23,23,22,0.015292,0.02,8,17,0.0291665,0.1,10,0,0.23566700000000002,0.311,10.5,1.5
2008-01-05,North Dakota,8.833333,14,2,13,0.021333,0.028,12,24,0.0291665,0.1,13,0,0.22368749999999998,0.278,8,1.5
2008-01-06,North Dakota,11.333333,33,19,31,0.017583,0.03,9,25,0.08124999999999999,0.45,14,0,0.23275,0.3715,18.5,1.5
2008-01-07,North Dakota,15.761905,25,8,24,0.015167,0.021,22,18,0.03474,0.35,16,0,0.25128,0.3205,4,1.5
2008-01-08,North Dakota,8.904762,28,20,26,0.015217,0.024,8,20,0.1557145,0.4,4,0,0.20950000000000002,0.253,9.5,1
2008-01-09,North Dakota,15.083333,33,20,31,0.013375,0.017,23,14,0.20625,0.7,20,0.5,0.25325,0.314,15,1.5
2008-01-10,North Dakota,4.333333,11,0,10,0.021958,0.025,21,21,0.025,0.1,1,0,0.2107915,0.278,1,1.5
2008-01-11,North Dakota,4.541667,12,18,11,0.02075,0.025,7,21,0.0041665,0.05,10,0,0.1973335,0.21450000000000002,9,1
2008-01-12,North Dakota,7.291667,30,22,28,0.015625,0.024,10,20,0.1354165,0.25,16,0,0.23072900000000002,0.46950000000000003,22,2.5
2008-01-13,North Dakota,7.25,25,0,24,0.021042,0.027,22,23,0.0083335,0.05,5,0,0.2100835,0.336,0,2.5
2008-01-14,North Dakota,8.208333,31,19,29,0.019458,0.027,9,23,0.0833335,0.35,13.5,0,0.19945849999999998,0.32,21,1.5
2008-01-15,North Dakota,5.625,13,0,12,0.023458,0.027,8,23,0.1708335,0.6,13.5,0,0.2069375,0.263,0,1.5
2008-01-16,North Dakota,1.166667,5,0,5,0.023417,0.026,7,22,0.10625,0.6,4.5,0,0.1879165,0.199,0,1
2008-01-17,North Dakota,15,31,19,29,0.014792,0.029,23,25,0.1895835,0.45,14,0,0.2628125,0.3745,13,1.5
2008-01-18,North Dakota,1.041667,4,5,4,0.031,0.033,9,28,0.31666649999999996,1,7,0.5,0.1827295,0.24,9.5,1.5
2008-01-19,North Dakota,6.791667,30,22,28,0.022292,0.031,9,26,0.24583349999999998,0.45,10.5,0,0.184,0.221,9.5,1
2008-01-20,North Dakota,10.541667,37,18,35,0.022417,0.03,8,25,0.6770835,2.35,14,1.5,0.21129199999999998,0.3535,19.5,1.5
2008-01-21,North Dakota,7.416667,34,19,32,0.027208,0.034,8,29,0.5708335,1.6,13.5,0.5,0.2088545,0.4125,9.5,1.5
2008-01-22,North Dakota,3.380952,9,20,8,0.030875,0.033,10,28,0.4535715,0.9,12.5,0.5,0.19428,0.27349999999999997,9.5,1.5
2008-01-23,North Dakota,5.904762,21,20,20,0.025708,0.033,8,28,1.1242424999999998,4,14,3,0.1847275,0.202,3.5,1
2008-01-24,North Dakota,12.428571,29,8,27,0.020792,0.027,9,23,0.45416650000000003,0.9,5,0.5,0.2527915,0.4165,8.5,1.5
2008-01-25,North Dakota,19.625,32,18,30,0.011958,0.019,10,16,0.40625,0.9,14.5,0.5,0.2775205,0.3745,10.5,1.5
2008-01-26,North Dakota,19.166667,40,19,38,0.014167,0.028,10,24,0.3375,0.75,14,0,0.3011455,0.5265,19.5,2.5
2008-01-27,North Dakota,17.083333,31,4,29,0.024208,0.033,10,28,0.1875,0.45,14,0,0.2544165,0.36,8,2.5
2008-01-28,North Dakota,9.791667,24,8,23,0.022417,0.03,23,25,0.1458335,0.35,12,0,0.230354,0.32799999999999996,8.5,1.5
2008-01-29,North Dakota,0.083333,1,0,1,0.0315,0.032,7,27,0.18333349999999998,0.3,15,0,0.1906875,0.20350000000000001,8.5,1
2008-01-30,North Dakota,1.958333,11,23,10,0.028167,0.033,11,28,0.46458350000000004,0.6,12.5,0,0.182521,0.19,11.5,1
2008-01-31,North Dakota,8.25,27,0,25,0.024875,0.028,5,24,0.8333335,3.5,4,3,0.2020625,0.23900000000000002,0.5,1
2008-02-01,North Dakota,9.041667,17,17,16,0.017833,0.027,23,23,0.32708349999999997,0.55,13.5,0,0.221292,0.3045,18,1.5
2008-02-02,North Dakota,6.5,23,23,22,0.024833,0.03,9,25,0.2,0.55,23,0,0.199229,0.2465,11.5,1
2008-02-03,North Dakota,11.166667,26,18,25,0.0195,0.024,10,20,0.3375,0.6,1,0,0.2187085,0.24050000000000002,9,1
2008-02-04,North Dakota,9.833333,15,8,14,0.023125,0.029,20,25,0.17424250000000002,0.4,4,0,0.214553,0.2815,9,1.5
2008-02-19,North Dakota,3.25,5,22,5,0.027111,0.032,12,27,0.245238,0.6000000000000001,16,0,0.19234800000000002,0.2245,4,1
2008-02-20,North Dakota,10.208333,30,19,28,0.019083,0.025,8,21,0.36875,1.45,13,1.5,0.2245685,0.3225,18.5,1.5
2008-02-21,North Dakota,12.625,36,20,34,0.021667,0.03,10,25,0.3104165,0.5,7,0,0.24820799999999998,0.34950000000000003,9.5,1.5
2008-02-22,North Dakota,18.583333,44,21,42,0.015333,0.028,10,24,0.2895835,0.6499999999999999,10.5,0,0.262333,0.501,23,2.5
2008-02-23,North Dakota,25.083333,42,0,40,0.020833,0.033,10,28,0.1916665,0.35,8.5,0,0.348396,0.532,2,3
2008-02-24,North Dakota,17.75,39,19,37,0.026167,0.038,22,32,0.13125,0.25,14.5,0,0.2945835,0.363,9.5,1.5
