Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2009-04-08,Ohio,2.456522,7.8,4,7,0.048333,0.054,12,46,4.1152175,5.4,12.5,3.5,0.55625,0.6499999999999999,14.5,3.5
2009-04-09,Ohio,9.16087,34.2,6,32,0.045958,0.065,12,67,5.0090065,8.1,16,5.5,0.629167,0.75,20,4
2009-04-10,Ohio,4.708696,18.9,0,17,0.049583,0.055,12,47,7.4276395,20.1,22,15,0.66875,0.75,0,4
2009-04-11,Ohio,1.043478,6.5,0,6,0.046792,0.053,12,45,2.9024845,17,2.5,22,0.5979165,0.6499999999999999,6.5,3.5
2009-04-12,Ohio,1.708696,5.8,6,5,0.047167,0.055,11,47,4.445031,16,7,12,0.61875,0.7,15,4
2009-04-13,Ohio,4.291304,8.5,23,8,0.040083,0.044,10,37,11.1618015,35.150000000000006,7.5,26,0.5958335,0.7,11,4
2009-04-14,Ohio,3.343478,8.4,15,8,0.033,0.038,12,32,3.302174,9.4,13.5,8,0.4458825,0.7,1,4
2009-04-15,Ohio,3.030435,3.8,22,3,0.022792,0.027,9,23,2.4027950000000002,3.4000000000000004,6.5,2,0.1,0.1,0,0.5
2009-04-16,Ohio,4.752381,14.3,22,13,0.039333,0.057,11,48,6.6109525,17.6,9,15,0.1625,0.25,12.5,1
2009-04-17,Ohio,4.1,10.5,6,9,0.046542,0.069,12,80,6.2335405,30.45,7.5,27.5,0.2708335,0.35,12,1.5
2009-04-18,Ohio,7.682609,36.2,1,34,0.054792,0.073,12,93,4.1931674999999995,6.5,13,5,0.37083350000000004,0.5,4,3
2009-04-19,Ohio,2.704348,7.8,0,7,0.053042,0.059,10,50,4.8403725,14.95,13.5,13,0.35416650000000005,0.4,0,2.5
