Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-03-02,Oklahoma,1.5,4,19,4,0.036958,0.041,11,35,0,0,1,0,0.025,0.2,6.5,1
2000-03-03,Oklahoma,5.138889,11.666666666666666,12.666666666666666,11.333333333333334,0.021583,0.029,3.3333333333333335,25,0.31111116666666666,1.1666666666666667,1,1.1666666666666667,0.043611,0.1,12.666666666666666,0.3333333333333333
2000-03-04,Oklahoma,8.354167,26.5,9,25,0.029395499999999998,0.051000000000000004,11,43.5,1.24375,8.475,18,7,0.040625,0.225,10,0.75
2000-03-05,Oklahoma,3.479167,12,4.5,11.5,0.0424795,0.056999999999999995,11,49.5,0.5135415,4.725,10.75,4.25,0.0552085,0.125,0,0.75
2000-03-06,Oklahoma,3.8333329999999997,9,15.5,8.5,0.044312500000000005,0.052500000000000005,9,44.5,0.55625,1.575,6.5,1.25,0.0604165,0.1,6.75,0.5
2000-03-07,Oklahoma,3.9791665,16.5,7,15.5,0.036958,0.044,14,37.5,0.3427085,1.65,8,1.25,0.06562525,0.35,3.75,1
2000-03-08,Oklahoma,5.212121,28.5,21,27,0.0373125,0.05,10,42.5,1.0316287499999999,10.575,21,10,0.0114585,0.1,10,0.25
2000-03-09,Oklahoma,4.729167,11,12.5,10,0.026041500000000002,0.034,11,29,2.621875,17.5,1.5,14.75,0.0083335,0.07500000000000001,6.25,0.25
2000-03-10,Oklahoma,5.681818,11,13.5,10.5,0.020374999999999997,0.025500000000000002,16.5,21.5,0.51666675,2.9,5.5,2.5,0.0202085,0.125,6.25,0.25
2000-03-11,Oklahoma,6.0625,17.5,13,16.5,0.028270999999999998,0.0415,11.5,35.5,2.26041675,8.15,2.5,6,0.006250250000000001,0.07500000000000001,13,0.25
2000-03-12,Oklahoma,6.0833335,19.5,14,18.5,0.034270999999999996,0.052,10.5,44,0.26666675,1.25,5.5,1,0.025,0.1,5.5,0.25
2000-03-13,Oklahoma,7.125,20.5,12.5,19.5,0.0429375,0.0595,12,50.5,1.84583325,11.4,15,10.75,0.0864585,0.3,11.25,0.75
2000-03-14,Oklahoma,6.6666665,17.5,9,16.5,0.0473125,0.0595,5.5,60,0.45104175,1.75,12.5,1.25,0.09575975,0.2,4.5,0.75
2000-03-15,Oklahoma,4.875,17.5,13.5,16.5,0.0392815,0.056,11.5,47.5,0.51041675,1.975,11,1.75,0.052083250000000005,0.275,7.25,0.75
2000-03-16,Oklahoma,4.375,9,11,8.5,0.0224655,0.0245,13,20.5,0,0,1,0,0.00625,0.025,0,0
