Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2007-05-02,Oregon,16,21,21,20,0.032375,0.04,3,34,1,1,1,0.5,0.28541649999999996,0.6,21.5,3
2007-05-03,Oregon,12.083333,21,18,20,0.026667,0.037,9,31,1.0431675,1.65,7,1.5,0.322917,0.5,0,3
2007-05-04,Oregon,11.782609,24,23,23,0.023125,0.037,10,31,1,1,1,0.5,0.1451085,0.4,23,1.5
2007-05-05,Oregon,16.875,34,21,32,0.019917,0.039,10,33,1,1,1,0.5,0.35,0.8999999999999999,23,3.5
2007-05-06,Oregon,13.916667,30,0,28,0.019,0.036,9,31,1.0395835,1.65,7.5,1.5,0.295833,0.75,0.5,4
2007-05-07,Oregon,13.833333,23,20,22,0.011375,0.024,11,20,1.1645835,3.65,5,3.5,0.127083,0.30000000000000004,11,1
2007-05-08,Oregon,12.619048,20,0,19,0.0205,0.03,19,25,1.1583335,2.3,5,2,0.164583,0.35,1.5,1.5
2007-05-09,Oregon,10.916667,25,5,24,0.030667,0.042,12,36,1,1,1,0.5,0.1395835,0.25,7.5,1
2007-05-10,Oregon,11.583333,22,5,21,0.033375,0.044,11,37,1.0395835,1.65,5,1.5,0.14375,0.25,16.5,1
2007-05-11,Oregon,12.208333,21,21,20,0.033208,0.043,11,36,1.0395835,1.65,5,1.5,0.1636775,0.25,5.5,1
2007-05-12,Oregon,11.916667,21,4,20,0.030083,0.037,9,31,1,1,1,0.5,0.1458335,0.25,5.5,1
2007-05-13,Oregon,8.416667,19,20,18,0.032833,0.046,9,39,1,1,1,0.5,0.135417,0.25,8,1
2007-05-14,Oregon,13.125,26,5,25,0.032917,0.049,16,42,1.1645835,3.65,5,3.5,0.2104165,0.35,13.5,1.5
2007-05-15,Oregon,13.541667,36,5,34,0.036583,0.051,9,43,1.0395835,1.65,7,1.5,0.3104165,0.7,6.5,3
2007-05-16,Oregon,11,22,6,21,0.031958,0.039,11,33,1,1,1,0.5,0.397826,0.55,19,3
2007-05-17,Oregon,10.791667,15,5,14,0.032,0.042,11,36,1,1,1,0.5,0.2104165,0.4,0,3
2007-05-18,Oregon,14.166667,25,6,24,0.026,0.039,11,33,1.24375,2.8,7,2,0.22291650000000002,0.35,4,1.5
2007-05-19,Oregon,5.125,11,23,10,0.033292,0.041,8,35,1,1,1,0.5,0.38958349999999997,0.75,21.5,4
2007-05-20,Oregon,6.458333,13,22,12,0.027458,0.032,8,27,1,1,1,0.5,0.35,0.6499999999999999,0,4
2007-05-21,Oregon,9.416667,17,20,16,0.022542,0.028,8,24,1,1,1,0.5,0.3233695,0.55,14.5,3
2007-05-22,Oregon,15.416667,31,20,29,0.020375,0.034,11,29,1.11875,1.8,6.5,1.5,0.32499999999999996,0.6000000000000001,10,2.5
2007-05-23,Oregon,19.826087,39,20,37,0.013417,0.029,10,25,1.0863355000000001,1.8,7,1.5,0.4046195,0.55,10,3
2007-05-24,Oregon,13.458333,21,5,20,0.026458,0.047,11,40,1,1,1,0.5,0.28125,0.5,0,3
2007-05-25,Oregon,19.25,30,4,28,0.024292,0.039,13,33,1.4541665,4.15,7,3.5,0.3229165,0.55,19.5,2.5
2007-05-26,Oregon,6.652174,13,0,12,0.026708,0.033,9,28,1,1,1,0.5,0.14791700000000002,0.30000000000000004,0,2.5
2007-05-27,Oregon,4.875,12,23,11,0.031167,0.037,10,31,1,1,1,0.5,0.1229165,0.2,11.5,1
2007-05-28,Oregon,8.458333,19,22,18,0.02775,0.036,10,31,1,1,1,0.5,0.1395835,0.3,21.5,1.5
2007-05-29,Oregon,12.666667,26,5,25,0.037083,0.049,11,42,1.125,3,5,3,0.334239,0.6,20,3
2007-05-30,Oregon,14.791667,35,4,33,0.037208,0.057,11,48,1.0791665,1.65,5,1.5,0.697917,1.05,9,5.5
2007-05-31,Oregon,12.125,22,5,21,0.029083,0.051,11,43,1.0395835,1.65,5,1.5,0.367301,0.6,0,3.5
2007-06-01,Oregon,10.347826,15,23,14,0.0285,0.049,11,42,1,1,1,0.5,0.204167,0.45,13.5,2.5
2007-06-02,Oregon,10.875,17,21,16,0.031167,0.054,11,46,1.11875,1.8,6.5,1.5,0.1041665,0.15000000000000002,0,0.5
2007-06-03,Oregon,9.25,20,2,19,0.026708,0.052,10,44,1,1,1,0.5,0.12916650000000002,0.2,2.5,1
2007-06-04,Oregon,6.666667,13,0,12,0.022875,0.032,17,27,1,1,1,0.5,0.40951099999999996,1,18,5
2007-06-05,Oregon,8.75,15,14,14,0.020792,0.024,0,20,1,1,1,0.5,0.37916700000000003,0.7,0,4.5
2007-06-06,Oregon,7.416667,13,7,12,0.024417,0.031,11,26,1,1,1,0.5,0.1104165,0.2,2.5,1
2007-06-07,Oregon,9.166667,19,6,18,0.023167,0.028,11,24,1,1,1,0.5,0.1041665,0.15000000000000002,11,0.5
2007-06-08,Oregon,12.958333,33,21,31,0.019208,0.034,12,29,1,1,1,0.5,0.2104165,0.5,5.5,1.5
2007-06-09,Oregon,8,20,0,19,0.016208,0.023,7,19,1,1,1,0.5,0.155163,0.3,10,1.5
2007-06-10,Oregon,3.666667,7,20,7,0.023208,0.029,8,25,1,1,1,0.5,0.1395835,0.3,11,1.5
2007-06-11,Oregon,8.708333,17,7,16,0.019708,0.029,10,25,1,1,1,0.5,0.2,0.55,22.5,2.5
2007-06-12,Oregon,10.541667,18,6,17,0.024875,0.039,12,33,1.4541665,3.5,6.5,3,0.314583,0.7,3.5,3.5
2007-06-13,Oregon,5.5,8,5,8,0.024917,0.031,11,26,1,1,1,0.5,0.1,0.1,0,0.5
2007-06-14,Oregon,8.416667,14,5,13,0.02325,0.032,11,27,1.0395835,1.65,23,1.5,0.15625,0.35,22,1.5
2007-06-15,Oregon,12.608696,21,7,20,0.0235,0.034,13,29,1.272078,2,2.5,1.5,0.34239149999999996,0.55,13.5,3
2007-06-16,Oregon,5.958333,9,6,8,0.022292,0.027,7,23,1,1,1,0.5,0.127083,0.25,6.5,1.5
2007-06-17,Oregon,5.625,10,20,9,0.017375,0.02,9,17,1,1,1,0.5,0.18958350000000002,0.35,20.5,1.5
2007-06-18,Oregon,7.25,17,21,16,0.018333,0.027,11,23,1,1,1,0.5,0.22083350000000002,0.4,3.5,1.5
2007-06-19,Oregon,13.791667,27,23,25,0.021208,0.04,12,34,1.0395835,1.65,5,1.5,0.12346,0.2,16,1
2007-06-20,Oregon,11.833333,22,0,21,0.024083,0.038,9,32,1,1,1,0.5,0.104167,0.2,4.5,1
2007-06-21,Oregon,7,14,13,13,0.0235,0.031,11,26,1,1,1,0.5,0.1645835,0.4,14.5,1.5
2007-06-22,Oregon,6.454545,11,20,10,0.023625,0.031,8,26,1,1,1,0.5,0.1,0.1,0,0.5
2007-06-23,Oregon,8,18,2,17,0.022417,0.033,9,28,1,1,1,0.5,0.1625,0.4,2.5,1.5
2007-06-24,Oregon,5.375,14,23,13,0.018667,0.023,4,19,1,1,1,0.5,0.1291665,0.4,21,1
2007-06-25,Oregon,10.375,18,23,17,0.019167,0.029,11,25,1,1,1,0.5,0.13571450000000002,0.15000000000000002,0,1
2007-07-02,Oregon,7.541667,14,5,13,0.021208,0.034,10,29,1,1,1,0.5,0.2833335,0.3,19,1.5
2007-07-05,Oregon,6.416667,9,4,8,0.027643,0.042,10,36,1,1,1,0.5,0.1375,0.2,5,1
2007-07-06,Oregon,7.708333,15,4,14,0.022667,0.033,9,28,1,1,1,0.5,0.159964,0.3,18.5,1.5
2007-07-07,Oregon,5.541667,11,23,10,0.023333,0.034,11,29,1,1,1,0.5,0.11875,0.25,10,1.5
2007-07-08,Oregon,4.875,8,0,8,0.018417,0.027,9,23,1,1,1,0.5,0.1,0.1,0,0.5
2007-07-09,Oregon,6.608696,10,21,9,0.027292,0.043,13,36,1,1,1,0.5,0.276902,0.4,8.5,2.5
2007-07-10,Oregon,13.708333,26,5,25,0.034125,0.056,13,47,1,1,1,0.5,0.2604165,0.35,4,1.5
2007-07-11,Oregon,19.583333,37,7,35,0.030708,0.06,11,51,1.2833335,2,4,1.5,0.2895835,0.45,6.5,2.5
2007-07-12,Oregon,11.782609,19,4,18,0.026458,0.055,11,47,1.0395835,1.65,4,1.5,0.3104165,0.45,14,2.5
2007-07-13,Oregon,10.333333,15,13,14,0.023667,0.04,12,34,1,1,1,0.5,0.15416649999999998,0.30000000000000004,0,2.5
2007-07-14,Oregon,8.375,13,5,12,0.026875,0.049,10,42,1.125,2,7,1.5,0.22291650000000002,0.35,14.5,1.5
2007-07-15,Oregon,4.333333,9,20,8,0.013667,0.017,9,14,1,1,1,0.5,0.1145835,0.2,0,1
2007-07-16,Oregon,8.875,15,12,14,0.01475,0.026,11,22,1,1,1,0.5,0.2083335,0.35,13,1.5
