Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2000-01-01,Pennsylvania,25.333333,33,11,31,0.001375,0.002,15,2,11.5208335,22.8,17.5,17,1.0267545,2.2,22.5,11
2000-01-02,Pennsylvania,28.75,40,9,38,0.006125,0.012,18,10,14.7770835,30.5,11,23,1.49375,2.85,3,15
2000-01-03,Pennsylvania,33.333333,47,17,44,0.002333,0.006,22,5,16.85625,30,10,22,0.947917,2.6,19,10
2000-01-04,Pennsylvania,23.619048,31,7,29,0.006875,0.014,23,12,3.1916665,7.8,5.5,5.5,0.40625,1.05,3,9
2000-01-05,Pennsylvania,19.458333,36,19,34,0.009292,0.015,0,13,1.0074535,1.8,3,1.5,0.35788050000000005,0.6499999999999999,21,3.5
2000-01-06,Pennsylvania,38.541667,47,20,44,0.002667,0.004,8,3,5.1916665,10.8,8,8.5,0.8083335,1.5,23,7
2000-01-07,Pennsylvania,38.75,66,7,64,0.003208,0.006,14,5,4.1520835,9.3,13,7,1.39375,3.6,7,14
2000-01-08,Pennsylvania,31.541667,38,19,36,0.0025,0.004,6,3,9.23125,16.8,23,13,0.6479165,0.9500000000000001,14,4.5
2000-01-09,Pennsylvania,34.333333,39,5,37,0.001625,0.002,7,2,15.73125,29.65,11,23,0.6729164999999999,0.9,8,4.5
2000-01-10,Pennsylvania,30.541667,38,12,36,0.001625,0.002,0,2,2.8625,5.3,23,4.5,0.5375,0.75,20,4
2000-01-11,Pennsylvania,28.25,40,4,38,0.007208,0.011,21,9,6.9416665,15.3,4.5,11.5,0.4583335,0.7,3.5,4
2000-01-12,Pennsylvania,27.041667,45,23,42,0.005125,0.01,0,8,6.0270835,15.8,19,13,0.6416665,1.75,22.5,8
2000-01-13,Pennsylvania,28.291667,49,0,46,0.009208,0.022,20,19,5.5666665,10.15,7.5,8,0.8062499999999999,1.6,0,9
2000-01-14,Pennsylvania,19.125,35,20,33,0.0145,0.02,0,17,2.1520835,5.8,19,4.5,0.45625000000000004,0.6,14.5,3.5
2000-01-15,Pennsylvania,29.125,37,7,35,0.007625,0.01,0,8,4.6458335,9.15,12.5,8,0.54375,0.6499999999999999,9,3.5
2000-01-16,Pennsylvania,22.708333,37,2,35,0.014125,0.03,22,25,6.6979165,21.5,13,16.5,0.491667,0.7,6.5,3.5
2000-01-17,Pennsylvania,12.541667,21,19,20,0.022375,0.029,0,25,0.24375,1,4,0.5,0.46875,0.6,16.5,3.5
2000-01-18,Pennsylvania,30.291667,41,19,39,0.006167,0.016,0,14,2.9875,10.15,20,9.5,0.816667,1.2,10,5.5
2000-01-19,Pennsylvania,30.904762,40,20,38,0.004417,0.007,9,6,13.637267,22.15,10,17,0.8770834999999999,1.75,21.5,8.5
2000-01-20,Pennsylvania,34.25,43,16,41,0.003917,0.014,23,12,6.6854165,15.8,1,11.5,0.941214,1.6,0,9
2000-01-21,Pennsylvania,18.833333,28,18,26,0.013083,0.016,0,14,5.5666665,8.3,12,6.5,0.50625,0.75,3.5,5
2000-01-22,Pennsylvania,30.541667,40,21,38,0.007083,0.012,9,10,7.9479165,12.5,23,9.5,0.65,0.8500000000000001,14.5,4.5
2000-01-23,Pennsylvania,30.291667,41,17,39,0.004667,0.008,2,7,8.685416499999999,20.65,1.5,16.5,0.641667,0.9,11.5,4.5
2000-01-24,Pennsylvania,39.3,46,23,43,0.002875,0.007,23,6,17.9020835,37.3,10.5,28,1.0583330000000002,1.5499999999999998,21,8
2000-01-25,Pennsylvania,19.333333,43,0,41,0.012208,0.016,20,14,4.24375,18.5,1,14.5,0.64375,1.1,0,7.5
2000-01-26,Pennsylvania,19.541667,32,18,30,0.011458,0.016,21,14,3.1979165,5.5,8,4.5,0.6229169999999999,0.75,9,4
2000-01-27,Pennsylvania,20,30,17,28,0.0145,0.02,20,17,2.797619,5,16,4.5,0.5625,0.7,3.5,4
2000-01-28,Pennsylvania,28.73913,51,19,48,0.012417,0.018,0,15,4.6583335,7.5,21.5,5.5,0.514583,0.7,4,3.5
2000-01-29,Pennsylvania,37.75,64,20,62,0.008292,0.013,8,11,5.2375,10.3,23,8,0.8583335,2.45,21.5,10
2000-01-30,Pennsylvania,57.666667,75,11,73,0.002167,0.003,0,3,15.5666665,27.8,11,22,1.2854165000000002,2.25,0,12
2000-01-31,Pennsylvania,32.25,41,0,39,0.003208,0.005,9,4,11.3229165,20,10.5,15.5,0.608333,0.9,20.5,4.5
2000-02-01,Pennsylvania,34.380952,44,8,42,0.007792,0.018,23,15,10.4416665,13.65,10.5,10,0.6229169999999999,1.1,4,4.5
2000-02-02,Pennsylvania,27.583333,43,18,41,0.011208,0.018,0,15,3.2770835,5,1,4.5,0.4574275,0.6499999999999999,3.5,3.5
2000-02-03,Pennsylvania,50.041667,80,7,79,0.002917,0.004,0,3,14.2770835,32.3,10,25,0.852778,1.8499999999999999,8.5,8
2000-02-04,Pennsylvania,54.708333,69,19,67,0.002167,0.003,9,3,16.74375,28,13.5,20.5,1.3020835000000002,2.3,18,10
2000-02-05,Pennsylvania,35.708333,54,0,51,0.007708,0.013,9,11,11.447826,17.15,8,13,0.8354170000000001,1.4,0,9
2000-02-06,Pennsylvania,31.416667,55,21,52,0.009,0.015,9,13,9.0270835,21.8,22.5,16.5,0.6125,1,20.5,5
2000-02-07,Pennsylvania,35.833333,46,0,43,0.008208,0.024,23,20,14.0208335,22.8,1,17,0.7875000000000001,1.15,3.5,5
2000-02-08,Pennsylvania,33.421053,54,18,51,0.0045,0.011,8,9,5.466316,16.3,19,14.5,0.7328945,1.1,20,5.5
2000-02-09,Pennsylvania,50.458333,58,7,55,0.002708,0.004,8,3,17.447916499999998,39.15,12.5,30.5,0.9875,1.65,8,7
2000-02-10,Pennsylvania,52.333333,72,6,70,0.002833,0.004,5,3,11.8229165,23.5,10,19.5,1.3833335,3.7,6.5,14
2000-02-11,Pennsylvania,41.791667,64,10,62,0.006292,0.021,23,18,9.6916665,26.8,12.5,21.5,1.075,2,11.5,9.5
2000-02-12,Pennsylvania,23.583333,47,21,44,0.012458,0.021,0,18,2.2833335,4.5,11,3.5,0.6125,1.3,23,5
2000-02-13,Pennsylvania,44,54,1,51,0.002333,0.003,0,3,4.4416665,8.3,9.5,6.5,1.1229165,2.2,1.5,9.5
2000-02-14,Pennsylvania,33.291667,44,8,42,0.002417,0.011,23,9,7.1520835,18.8,13,13.5,0.9458335,1.6,13,7
2000-02-15,Pennsylvania,23.809524,53,20,50,0.010167,0.017,9,14,3.6854165,5.8,1,4.5,0.6583330000000001,1.4500000000000002,22.5,6.5
2000-02-16,Pennsylvania,36.458333,55,0,52,0.006875,0.025,23,21,9.696894,21,14.5,17,0.8134965000000001,1.35,0.5,7.5
2000-02-17,Pennsylvania,22.666667,45,21,42,0.014208,0.025,0,21,1.3291665,4.5,1.5,3.5,0.5,0.6499999999999999,10.5,3.5
2000-02-18,Pennsylvania,38.958333,47,19,44,0.002417,0.006,0,5,0.36875,1.65,1.5,1.5,0.6729164999999999,1.2000000000000002,20.5,6.5
2000-02-19,Pennsylvania,31.916667,46,0,43,0.005833,0.021,23,18,1.0791665,4,15.5,3.5,0.89375,1.15,5,6.5
2000-02-20,Pennsylvania,19.541667,38,20,36,0.01675,0.021,0,18,2.5666665,4.65,16,3.5,0.458333,0.6499999999999999,9,4
2000-02-21,Pennsylvania,34.375,63,23,61,0.009417,0.018,10,15,2.5666665,5.15,9.5,4.5,0.666667,1.65,22.5,7
2000-02-22,Pennsylvania,49.958333,68,0,66,0.003542,0.006,10,5,15.3166665,61.5,10.5,44.5,1.164583,1.95,4.5,9
2000-02-23,Pennsylvania,55.416667,81,9,80,0.002583,0.004,8,3,13.0666665,37,10.5,28,1.25,2.1,8,9.5
2000-02-24,Pennsylvania,52.791667,75,8,73,0.002958,0.004,17,3,15.2708335,45.65,10.5,33.5,1.65625,3.7,8,15
2000-02-25,Pennsylvania,42.875,68,12,66,0.003458,0.008,23,7,6.10625,19.8,10,15.5,0.9895835000000001,1.25,5,7
2000-02-26,Pennsylvania,25.541667,33,17,31,0.005917,0.009,0,8,1.3625,4.8,13.5,3.5,0.5916665,0.7,17.5,4
2000-02-27,Pennsylvania,23.083333,32,15,30,0.009292,0.021,21,18,1.3229165,6,14,5,0.7083335,0.8500000000000001,12.5,4.5
2000-02-28,Pennsylvania,14.958333,31,7,29,0.021083,0.028,11,24,0.4875,2.3,9.5,2,0.5916665,0.9,7.5,4
2000-02-29,Pennsylvania,19.333333,43,20,41,0.015292,0.026,9,22,0.45416650000000003,3.65,22.5,3,0.566667,0.9,17,4
2000-03-01,Pennsylvania,43.25,58,7,55,0.00725,0.016,23,14,5.1077639999999995,12,7.5,9.5,0.970471,2.05,7,9
2000-03-02,Pennsylvania,17.458333,40,0,38,0.018708,0.026,21,22,0.9541664999999999,6.15,1,5.5,0.4,0.8,3.5,5
2000-03-03,Pennsylvania,17.708333,31,20,29,0.02075,0.025,12,21,0.6979165,2.8,12.5,2,0.3520835,0.55,21,3
2000-03-04,Pennsylvania,24.625,51,22,48,0.016542,0.031,9,26,2.3104165,6.8,19,5,0.4875,1.05,22.5,4.5
2000-03-05,Pennsylvania,24.75,48,3,45,0.022625,0.033,10,28,3.85625,10.3,7.5,8,0.5562499999999999,1,2.5,5.5
2000-03-06,Pennsylvania,22.875,41,19,39,0.018208,0.031,9,26,0.2895835,1.5,20,1.5,0.4604165,0.85,20,4
2000-03-07,Pennsylvania,47,70,7,68,0.006958,0.013,9,11,16.9020835,35.5,16.5,27.5,0.9291670000000001,2.25,7,9
2000-03-08,Pennsylvania,42.25,69,9,67,0.014958,0.03,11,25,10.2770835,21,1,18,1.0375,2.6500000000000004,8.5,12
2000-03-09,Pennsylvania,49.125,95,12,95,0.013417,0.031,22,26,11.8229165,40.15,13.5,30.5,0.8666665,1.6,12,7.5
2000-03-10,Pennsylvania,17.25,30,6,28,0.015375,0.023,0,19,0.9875,4.8,1,4.5,0.38125,0.7,8.5,4
2000-03-11,Pennsylvania,21.541667,37,19,35,0.010167,0.019,0,16,0.2041665,1.65,16,1.5,0.427083,0.7,17.5,3.5
2000-03-12,Pennsylvania,18.333333,36,3,34,0.0155,0.03,17,25,2.1520835,8.8,11,7,0.5166665,0.75,5,4
