Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-06-01,Rhode Island,3.809524,5,1,5,0.037792,0.045,9,38,0,0,1,0,0.1983335,0.22,4.5,1
2011-06-02,Rhode Island,3.916667,9,2,8,0.038708,0.048,4,41,0.1645835,1.5,4.5,1.5,0.1435415,0.2,1,1
2011-06-03,Rhode Island,3.95,14,22,13,0.036375,0.045,11,38,0.1,1.3,22.5,1.5,0.118191,0.2,21.5,1
2011-06-04,Rhode Island,4.291667,18,1,17,0.029708,0.044,5,37,0.0791665,0.8,1,0.5,0.1404165,0.24000000000000002,0.5,1
2011-06-05,Rhode Island,4.333333,13,2,12,0.01975,0.03,8,25,0.0791665,0.8,13,0.5,0.1720835,0.24000000000000002,2,1
2011-06-06,Rhode Island,6.047619,9,5,8,0.037833,0.054,12,46,1.5952385,8.3,7.5,7,0.19301600000000002,0.23,6.5,1
2011-06-07,Rhode Island,6.5,15,5,14,0.050708,0.068,15,77,0,0,1,0,0.2091665,0.255,3.5,1
2011-06-08,Rhode Island,8.291667,22,6,21,0.061958,0.078,10,106,0.11875,0.8,6.5,0.5,0.24833299999999997,0.37,3,1.5
2011-06-09,Rhode Island,8,15,9,14,0.045333,0.066,9,71,0.15833350000000002,0.8,13.5,0.5,0.2045835,0.23,4.5,1
2011-06-10,Rhode Island,3.75,7,5,7,0.028167,0.041,7,35,0.2875,2.15,23,2,0.190625,0.21500000000000002,2.5,1
2011-06-11,Rhode Island,2.25,3,0,3,0.021667,0.025,22,21,0,0,1,0,0.12416650000000001,0.18,2.5,1
2011-06-12,Rhode Island,1.791667,3,13,3,0.03,0.035,8,30,0,0,1,0,0.115625,0.125,6.5,0.5
2011-06-13,Rhode Island,3.6,6,9,6,0.020867,0.03,11,25,0,0,10,0,0.16749999999999998,0.2,11.5,1
2011-06-14,Rhode Island,3.944444,7,5,7,0.023583,0.028,11,24,0,0,1,0,0.11900000000000001,0.125,3.5,0.5
2011-06-15,Rhode Island,4.458333,10,22,9,0.0312,0.043,12,36,0.0395835,0.65,22,0.5,0.12000000000000001,0.14500000000000002,3.5,0.5
2011-06-16,Rhode Island,8.083333,17,5,16,0.051476,0.061,14,54,0.1979165,1.3,5,1.5,0.2,0.255,10,1
2011-06-17,Rhode Island,3.466667,6,9,6,0.050958,0.062,16,58,0,0,10,0,0.196,0.26,6.5,1
2011-06-18,Rhode Island,4.083333,11,22,10,0.051042,0.06,12,51,0.11875,0.8,14,0.5,0.203542,0.315,22.5,1.5
2011-06-19,Rhode Island,3.041667,7,19,7,0.031958,0.04,11,34,0,0,1,0,0.17875000000000002,0.295,0,1.5
2011-06-20,Rhode Island,7,13,4,12,0.033042,0.05,10,42,0.3761905,2.5,7,2,0.204127,0.315,6,1.5
2011-06-21,Rhode Island,6,14,5,13,0.050333,0.076,12,101,0.2833335,1.65,7,1.5,0.2045835,0.28500000000000003,2.5,1
2011-06-22,Rhode Island,4.916667,12,9,11,0.029125,0.034,13,29,0.15833350000000002,1.3,13.5,1.5,0.1939585,0.225,4.5,1
2011-06-23,Rhode Island,3,5,7,5,0.035875,0.042,9,36,0,0,1,0,0.13501849999999999,0.19,13,1
2011-06-24,Rhode Island,2.95,6,7,6,0.027542,0.03,8,25,0,0,6,0,0.155853,0.185,8,1
2011-06-25,Rhode Island,2.791667,6,15,6,0.034292,0.045,12,38,0.0395835,0.65,16,0.5,0.1429165,0.20500000000000002,17,1
2011-06-26,Rhode Island,4.25,11,21,10,0.033667,0.046,9,39,0.15833350000000002,0.8,3.5,0.5,0.217917,0.32,20.5,1.5
2011-06-27,Rhode Island,4.333333,7,23,7,0.034083,0.047,10,40,0,0,4,0,0.20460299999999998,0.275,10,1.5
2011-06-28,Rhode Island,5.55,14,6,13,0.046588,0.058,9,49,0.05,0.65,7,0.5,0.20825,0.245,3,1
2011-06-29,Rhode Island,3.235294,9,7,8,0.047316,0.058,10,49,0,0,9,0,0.185,0.22,9.5,1
2011-06-30,Rhode Island,3.666667,12,22,11,0.034917,0.044,12,37,0,0,1,0,0.130625,0.21000000000000002,21,1
2011-07-01,Rhode Island,5.15,13,5,12,0.035917,0.046,11,39,0,0,6,0,0.192,0.24000000000000002,10,1
2011-07-02,Rhode Island,4.291667,11,3,10,0.042292,0.054,12,46,0.11875,0.8,6.5,0.5,0.21666649999999998,0.305,4,1.5
2011-07-03,Rhode Island,3.458333,7,21,7,0.050333,0.06,8,51,0,0,1,0,0.2277085,0.32499999999999996,19.5,1.5
2011-07-04,Rhode Island,4.083333,18,21,17,0.034458,0.044,10,37,0.24375,2.15,22,2,0.235,0.345,10.5,1.5
2011-07-05,Rhode Island,6.291667,12,5,11,0.045208,0.069,12,80,0.40208350000000004,1.65,7.5,1.5,0.231875,0.405,5,1.5
2011-07-06,Rhode Island,9.916667,27,7,25,0.051292,0.078,12,106,0.5333335,2.5,7.5,2,0.2520835,0.36,5,1.5
2011-07-07,Rhode Island,5.208333,9,5,8,0.053417,0.062,15,58,0.11875,0.65,2,0.5,0.20875,0.23,0,1
2011-07-08,Rhode Island,3.9,7,7,7,0.041292,0.052,8,44,0.025,0.5,6.5,0.5,0.21050000000000002,0.24000000000000002,3.5,1
2011-07-09,Rhode Island,3,9,23,8,0.03475,0.046,8,39,0,0,1,0,0.18625,0.20500000000000002,2.5,1
2011-07-10,Rhode Island,5.666667,10,0,9,0.038083,0.05,9,42,0.0395835,0.65,7,0.5,0.19937500000000002,0.24000000000000002,2.5,1
2011-07-11,Rhode Island,4.571429,7,3,7,0.055583,0.073,11,93,0,0,4,0,0.2083335,0.23,8,1
2011-07-12,Rhode Island,3.5,9,7,8,0.051917,0.063,10,61,0,0,1,0,0.18545450000000002,0.21500000000000002,3.5,1
2011-07-13,Rhode Island,3.916667,7,20,7,0.039,0.047,9,40,0,0,1,0,0.19187500000000002,0.22,10,1
2011-07-14,Rhode Island,2.916667,11,20,10,0.028095,0.035,11,30,0.0395835,0.65,22,0.5,0.12666650000000002,0.225,10,1
2011-07-15,Rhode Island,4.55,10,5,9,0.036417,0.044,18,37,0,0,6,0,0.169044,0.21500000000000002,2.5,1
2011-07-16,Rhode Island,5.666667,15,6,14,0.052333,0.065,15,67,0.0791665,0.65,7,0.5,0.21520850000000002,0.255,11,1
2011-07-17,Rhode Island,4.333333,9,5,8,0.052208,0.07,11,84,0,0,1,0,0.21250000000000002,0.295,0,1.5
2011-07-18,Rhode Island,6.47619,12,5,11,0.04475,0.065,9,67,0.511905,1.65,6.5,1.5,0.204762,0.225,4,1
2011-07-19,Rhode Island,6.409091,13,22,12,0.0285,0.05,9,42,0,0,1,0,0.2120455,0.25,11,1
2011-07-20,Rhode Island,6.708333,16,7,15,0.042792,0.063,10,61,0.7895835,6.65,10,5.5,0.276042,0.42000000000000004,7,2.5
2011-07-21,Rhode Island,3.708333,7,6,7,0.051167,0.066,10,71,0,0,1,0,0.211667,0.31,12,1.5
2011-07-22,Rhode Island,5.9,15,23,14,0.046083,0.069,8,80,0,0,6,0,0.2155735,0.31,7.5,1.5
2011-07-23,Rhode Island,9.125,23,3,22,0.046833,0.069,13,80,1.11875,4.65,13.5,4.5,0.2660415,0.35,2.5,1.5
2011-07-24,Rhode Island,4.208333,12,2,11,0.0305,0.042,4,36,0,0,1,0,0.2235415,0.315,1,1.5
2011-07-25,Rhode Island,4.095238,6,3,6,0.014083,0.021,9,18,0,0,4,0,0.177,0.19,1.5,1
2011-07-26,Rhode Island,5.391304,10,8,9,0.027458,0.041,9,35,0.08633550000000001,0.8,22,0.5,0.200652,0.255,5,1
2011-07-27,Rhode Island,5.291667,19,21,18,0.022083,0.036,9,31,0.0395835,0.65,22,0.5,0.1745835,0.27,11,1
2011-07-28,Rhode Island,5.416667,16,0,15,0.034833,0.054,11,46,0.25,2,5.5,2,0.1983335,0.305,0.5,1.5
2011-07-29,Rhode Island,3.95,7,6,7,0.043167,0.048,9,41,0.05,0.65,7,0.5,0.192,0.29000000000000004,4.5,1
2011-07-30,Rhode Island,3.833333,17,22,16,0.032042,0.047,9,40,0.0791665,0.8,22,0.5,0.178958,0.305,11,1
