Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2003-02-26,South Carolina,4.52381,20,16,19,0.033667,0.036,0,31,1.9115384999999998,2,3,1.5,0.3,0.3,20.5,1.5
2003-02-27,South Carolina,6.333333,12,14,11,0.016,0.016,10,14,0.05,0.5,15.5,0.5,0.2416665,0.3,0,1.5
2003-02-28,South Carolina,4.208333,9,16,8,0.022417,0.027,15,23,0.9145835,7,13,7,0.185417,0.30000000000000004,6,1
2003-03-01,South Carolina,1.75,5,2,5,0.032292,0.036,7,31,0,0,1,0,0.26458349999999997,0.3,2.5,1.5
2003-03-02,South Carolina,3.208333,9,23,8,0.023208,0.03,13,25,1.0791665,3,18.5,2,0.2,0.2,0,1
2003-03-03,South Carolina,3.619048,7,2,7,0.027,0.032,11,27,2.1916665,3.8,4.5,3,0.29000000000000004,0.3,16,1.5
2003-03-04,South Carolina,2.541667,10,2,9,0.032708,0.037,14,31,0.24375,1,7,0.5,0.29791650000000003,0.35,10,1.5
2003-03-05,South Carolina,4.333333,11,10,10,0.022875,0.027,11,23,0.4083335,2.65,10.5,2,0.2729165,0.3,0,1.5
2003-03-06,South Carolina,3.708333,8,14,8,0.023667,0.026,0,22,0.2041665,2.15,7,2,0.26666650000000003,0.3,0,1.5
2003-03-07,South Carolina,5,10,15,9,0.017417,0.019,0,16,0.0395835,0.65,16,0.5,0.32708349999999997,0.4,8.5,2.5
2003-03-08,South Carolina,3.416667,11,9,10,0.030125,0.04,12,34,2.2833335,12.3,10,10.5,0.25625,0.3,0,1.5
2003-03-09,South Carolina,3.5,18,23,17,0.019167,0.031,10,26,1.0270834999999998,5.3,10,4.5,0.29375,0.4,12,1.5
2003-03-10,South Carolina,4.375,14,0,13,0.034583,0.045,11,38,1.1125,3.65,10.5,3,0.2416665,0.45,0,2.5
2003-03-11,South Carolina,2.043478,6,20,6,0.033,0.046,13,39,0.428571,1,10,0.5,0.2333335,0.3,3.5,1.5
2003-03-12,South Carolina,2.647059,5,17,5,0.037917,0.05,10,42,0.5729165,1,1,0.5,0.2929925,0.4,8,2.5
2003-03-13,South Carolina,2.5,7,9,7,0.031333,0.043,11,36,0,0,1,0,0.2041665,0.25,11,1
2003-03-14,South Carolina,4.625,9,16,8,0.033083,0.045,18,38,0.9083335,2.65,11,2,0.29791650000000003,0.35,5.5,1.5
2003-03-15,South Carolina,5.208333,16,5,15,0.021667,0.033,0,28,1.7770834999999998,5,8,4.5,0.2916665,0.3,0,1.5
2003-03-16,South Carolina,6.083333,16,6,15,0.018542,0.03,11,25,2.1125,5.15,21.5,5,0.3229165,0.4,6.5,2.5
2003-03-17,South Carolina,3.166667,12,8,11,0.026458,0.037,18,31,0.7375,4.8,8,5,0.30625,0.35,3,1.5
2003-03-18,South Carolina,1.083333,2,21,2,0.033292,0.039,10,33,0.0395835,0.65,10.5,0.5,0.28541700000000003,0.3,0,1.5
2003-03-19,South Carolina,1.791667,4,6,4,0.038458,0.043,22,36,0.11875,0.8,18.5,0.5,0.27708350000000004,0.3,0,1.5
2003-03-20,South Carolina,1.5,3,12,3,0.039208,0.044,1,37,0,0,1,0,0.258333,0.3,2.5,1.5
2003-03-21,South Carolina,2.75,8,10,8,0.035208,0.05,15,42,0.74375,1.65,10.5,1.5,0.30625,0.35,6.5,1.5
2003-03-22,South Carolina,4.833333,11,12,10,0.039042,0.06,11,51,1.8229165,5.3,10.5,4.5,0.31666700000000003,0.4,15,2.5
2003-03-23,South Carolina,5.333333,11,20,10,0.02525,0.046,10,39,1.2708335,3,13,2,0.3729165,0.5,9,2.5
2003-03-24,South Carolina,4.85,12,2,11,0.035417,0.06,10,51,0.85625,3.3,11,3,0.3452655,0.4,0,2.5
2003-03-25,South Carolina,1.958333,4,1,4,0.046042,0.065,10,67,0.9083335,2,10,1.5,0.25,0.3,0,1.5
2003-03-26,South Carolina,2.541667,8,8,8,0.048083,0.063,9,61,0.527381,1.8,9.5,1.5,0.28958300000000003,0.3,2.5,1.5
2003-03-27,South Carolina,2.666667,6,4,6,0.038125,0.044,21,37,0.4875,1.8,9,1.5,0.3520835,0.4,6.5,2.5
2003-03-28,South Carolina,1.208333,2,0,2,0.037917,0.045,0,38,0,0,1,0,0.31666700000000003,0.4,0.5,2.5
