Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01-01,South Dakota,5.25,17.5,20,16,0.0395,0.044,7,37,0.55,1.2999999999999998,13,0.5,0.19125,0.21050000000000002,12,1
2011-01-02,South Dakota,8.5875,17.3,18,16,0.037083,0.04,8,34,0.40208350000000004,0.5,12.5,0,0.22964600000000002,0.3175,17.5,1.5
2011-01-03,South Dakota,8.229167,18.6,8,17,0.035875,0.041,10,35,1.0541665,3.65,19.5,3,0.2252295,0.3205,8.5,1.5
2011-01-04,South Dakota,14.8125,26.8,7,25,0.028125,0.034,9,29,0.8520835,2.3,1,1.5,0.2629375,0.4,7.5,1.5
2011-01-05,South Dakota,9.761905,21.1,8,20,0.038417,0.043,12,36,0.49242450000000004,0.75,19,0,0.2170145,0.2925,3.5,1.5
2011-01-06,South Dakota,8.359091,19,21,18,0.037917,0.042,23,36,0.5916665,0.75,4.5,0,0.2,0.2,0,2
2011-01-10,South Dakota,8.095833,19.9,17,18,0.026708,0.032,19,27,0.7916665,1.5499999999999998,16,0.5,0.2843335,0.33999999999999997,18.5,1.5
2011-01-11,South Dakota,7.079167,10.8,21,9,0.029667,0.031,0,26,1.4270835000000002,2.5,10.5,1.5,0.213667,0.295,8,1.5
2011-01-12,South Dakota,11.229167,32,19,30,0.027333,0.034,22,29,0.7520835,1.5,16,0.5,0.2,0.2,0,2
2011-01-19,South Dakota,16.466667,39,7,37,0.02375,0.029,10,25,0.4604165,0.8,11.5,0,0.252262,0.299,16,1.5
2011-01-20,South Dakota,8.904348,15.1,2,14,0.029042,0.034,8,29,0.8173915,1.05,12.5,0.5,0.201239,0.2695,3.5,1
2011-01-21,South Dakota,10.383333,24.3,22,23,0.026958,0.03,8,25,0.8145835,1.8,16.5,1.5,0.2157085,0.304,21.5,1.5
2011-01-22,South Dakota,6.033333,12.5,0,11,0.029958,0.034,8,29,0.9541664999999999,1.9,10.5,1.5,0.193542,0.262,1.5,1.5
2011-01-23,South Dakota,12.416667,35.9,7,33,0.027083,0.034,11,29,1.2270835,4.1,15.5,3.5,0.2207915,0.33699999999999997,7.5,1.5
2011-01-24,South Dakota,10.391667,31.9,6,29,0.032625,0.039,7,33,0.6479165,0.9,1,0.5,0.200854,0.249,3,1
2011-01-25,South Dakota,11.820833,26.1,20,25,0.029625,0.036,9,31,0.4625,0.55,1,0,0.2101665,0.2605,4,1
2011-01-26,South Dakota,15.886957,38.7,7,36,0.030167,0.038,12,32,0.746894,1.15,17,0.5,0.2696555,0.498,8,2.5
2011-01-27,South Dakota,13.3,25.3,23,24,0.026708,0.034,10,29,0.6166665,0.9500000000000001,14,0.5,0.2089585,0.3095,7.5,1.5
2011-01-28,South Dakota,11.258333,25,0,24,0.033083,0.04,14,34,0.5854165,0.8500000000000001,13,0,0.20597949999999998,0.2955,10.5,1.5
2011-01-29,South Dakota,3.933333,7.7,0,7,0.029042,0.032,0,27,0.4083335,0.9,2.5,0.5,0.18683349999999999,0.20400000000000001,3,1
2011-01-30,South Dakota,3.995833,5.8,6,5,0.030583,0.032,10,27,0.32916650000000003,0.45,8,0,0.1895,0.202,8,1
2011-01-31,South Dakota,8.458333,16.5,7,15,0.027958,0.032,23,27,0.5583335,1.05,22.5,0.5,0.24541649999999998,0.33499999999999996,7.5,1.5
2011-02-01,South Dakota,4.413043,8.3,0,8,0.035667,0.037,17,31,0.5857144999999999,1,1,0.5,0.1890435,0.21050000000000002,3.5,1
2011-02-02,South Dakota,9.504167,21.6,18,20,0.0325,0.036,21,31,1.0833335,3.1500000000000004,11,2,0.22318749999999998,0.3295,18,1.5
2011-02-03,South Dakota,10.979167,26.6,20,25,0.029542,0.035,0,30,0.4625,0.6,12.5,0,0.23049999999999998,0.32299999999999995,18,1.5
2011-02-04,South Dakota,15.733333,38.6,21,36,0.028708,0.04,10,34,0.4479165,0.55,10.5,0,0.24743749999999998,0.351,10.5,1.5
2011-02-05,South Dakota,19.891667,40.3,4,38,0.029667,0.042,19,36,0.3708335,0.5,6.5,0,0.336479,0.624,8,3
2011-02-06,South Dakota,4.945833,7.9,3,7,0.03775,0.04,10,34,0.3729165,1,10,0.5,0.19108350000000002,0.21000000000000002,4.5,1
2011-02-07,South Dakota,5.516667,11.6,21,10,0.034042,0.038,9,32,0.42708349999999995,0.6499999999999999,8,0,0.1815415,0.221,3.5,1
2011-02-08,South Dakota,9.466667,18.9,7,17,0.031542,0.035,9,30,0.9958335,2.25,13,1.5,0.20075,0.28049999999999997,3.5,1
2011-02-09,South Dakota,10.021739,28.3,22,26,0.032958,0.039,9,33,0.8944099999999999,1.85,16,0.5,0.22580450000000002,0.347,15.5,1.5
2011-02-10,South Dakota,12.995833,23.3,19,22,0.032917,0.039,9,33,1.0645835,2.8,13,2,0.23522900000000002,0.3335,8.5,1.5
2011-02-11,South Dakota,9.6,21.3,7,20,0.035792,0.042,13,36,0.42291650000000003,0.55,13.5,0,0.20437499999999997,0.3025,3.5,1.5
2011-02-12,South Dakota,7.3625,14.8,17,13,0.03625,0.04,9,34,0.3520835,0.45,10.5,0,0.19897900000000002,0.223,9,1
2011-02-13,South Dakota,3.854167,5.8,1,5,0.041,0.046,15,39,0.31666649999999996,0.4,9.5,0,0.1883335,0.20550000000000002,5.5,1
2011-02-14,South Dakota,5.829167,13.2,7,12,0.03725,0.04,0,34,0.5395835,0.8500000000000001,1.5,0,0.182021,0.2425,3.5,1
2011-02-15,South Dakota,10.045833,29.1,19,27,0.028375,0.033,0,28,0.65,1.2999999999999998,4,0.5,0.21845799999999999,0.35050000000000003,19,1.5
2011-02-16,South Dakota,7.456522,11,17,10,0.030875,0.039,12,33,0.515909,1.35,18,0.5,0.209449,0.28049999999999997,8.5,1.5
2011-02-17,South Dakota,7.429167,15.9,8,14,0.028458,0.038,12,32,0.24375,0.35,10.5,0,0.2394585,0.33399999999999996,6.5,1.5
2011-02-18,South Dakota,4.9625,8.4,7,8,0.032583,0.037,10,31,0.2854165,0.45,14,0,0.1980625,0.219,3.5,1
2011-02-19,South Dakota,4.15,7.5,18,7,0.028083,0.029,0,25,0.2791665,0.4,1,0,0.19937500000000002,0.2245,9,1
2011-02-20,South Dakota,5.741667,8.4,18,8,0.031,0.034,19,29,0.3520835,0.55,18.5,0,0.2045415,0.221,6.5,1
2011-02-21,South Dakota,6.0375,10.7,6,9,0.034333,0.037,9,31,0.30208349999999995,0.45,13,0,0.1932915,0.21500000000000002,3,1
2011-02-22,South Dakota,11.683333,35.2,7,33,0.027417,0.036,9,31,0.9729165,2.95,18.5,2,0.22483350000000002,0.38849999999999996,7.5,1.5
2011-02-23,South Dakota,8.030435,12.3,6,11,0.034167,0.046,17,39,1.25625,2.55,1,1.5,0.203913,0.23500000000000001,3.5,1
2011-02-24,South Dakota,5.745833,11.4,5,10,0.036708,0.039,12,33,0.60625,1.15,10.5,0.5,0.1919375,0.2265,3.5,1
2011-02-25,South Dakota,4.420833,6.3,21,6,0.038,0.04,9,34,0.6223605,1.7999999999999998,22.5,0.5,0.186,0.2175,3.5,1
2011-02-26,South Dakota,6.4,14.1,21,13,0.033667,0.039,8,33,0.6729164999999999,1.75,4,0.5,0.195854,0.223,10.5,1
2011-02-27,South Dakota,6.941667,12,20,11,0.035708,0.046,14,39,0.5229165,1.65,23,1.5,0.19818750000000002,0.2265,4,1
