Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2002-04-05,Tennessee,3.478261,12,6,11,0.038125,0.053,12,45,1,1,1,0.5,1,1,2.5,5.5
2002-04-06,Tennessee,8.434783,25,22,24,0.034417,0.061,11,54,1.0395835,1.65,20,1.5,1,1,0,5.5
2002-04-07,Tennessee,5.173913,15,0,14,0.051625,0.071,11,87,1,1,1,0.5,1,1,0,5.5
2002-04-08,Tennessee,2.695652,4,11,4,0.056,0.061,10,54,1,1,1,0.5,1,1,0,5.5
2002-04-09,Tennessee,3.363636,7,8,7,0.038542,0.047,12,40,1,1,1,0.5,1,1,0,5.5
2002-04-10,Tennessee,5.478261,22,19,21,0.035,0.06,11,51,1,1,1,0.5,1,1,0,5.5
2002-04-11,Tennessee,4.391304,9,4,8,0.034625,0.051,12,43,1,1,1,0.5,1,1,0,5.5
2002-04-12,Tennessee,5.869565,12,6,11,0.022083,0.041,9,35,1,1,1,0.5,1,1,0,5.5
2002-04-13,Tennessee,3.347826,7,3,7,0.025958,0.041,11,35,1,1,1,0.5,1,1,0,5.5
2002-04-14,Tennessee,2.565217,6,1,6,0.030083,0.04,10,34,1,1,1,0.5,1,1,0,5.5
2002-04-15,Tennessee,4.478261,9,3,8,0.032333,0.057,12,48,1.0395835,1.65,7.5,1.5,1,1,0,5.5
2002-04-16,Tennessee,4.782609,11,5,10,0.033042,0.052,10,44,1,1,1,0.5,1,1,0,5.5
2002-04-17,Tennessee,6.043478,14,20,13,0.025333,0.051,11,43,1,1,1,0.5,1,1,0,5.5
2002-04-18,Tennessee,3.782609,6,8,6,0.036625,0.068,10,77,1,1,1,0.5,1,1,0,5.5
2002-04-19,Tennessee,6.347826,14,7,13,0.037167,0.06,10,51,1,1,1,0.5,1,1,0,5.5
2002-04-20,Tennessee,6.043478,13,21,12,0.027917,0.047,10,40,1,1,1,0.5,1,1,0,5.5
2002-04-21,Tennessee,3.043478,7,7,7,0.04,0.053,10,45,1,1,1,0.5,1,1,0,5.5
2002-04-22,Tennessee,2.869565,9,22,8,0.039708,0.054,12,46,1,1,1,0.5,1,1,0,5.5
2002-04-23,Tennessee,6.652174,16,20,15,0.029917,0.052,10,44,1,1,1,0.5,1,1,0,5.5
2002-04-24,Tennessee,7.73913,14,19,13,0.030208,0.046,10,39,1,1,1,0.5,1,1,0,5.5
2002-04-25,Tennessee,2.434783,9,0,8,0.041833,0.055,11,47,1,1,1,0.5,1,1,0,5.5
2002-04-26,Tennessee,6.565217,15,21,14,0.027,0.042,8,36,1,1,1,0.5,1,1,0,5.5
2002-04-27,Tennessee,4.826087,10,0,9,0.034458,0.053,14,45,1,1,1,0.5,1,1,0,5.5
2002-04-28,Tennessee,2.565217,4,3,4,0.038542,0.044,11,37,1,1,1,0.5,1,1,0,5.5
2002-04-29,Tennessee,4,14,6,13,0.037208,0.055,10,47,1,1,1,0.5,1,1,0,5.5
2002-04-30,Tennessee,6.73913,14,18,13,0.030875,0.046,7,39,1,1,1,0.5,1,1,0,5.5
2002-05-01,Tennessee,3.2391305,4,2.5,4,0.0319375,0.040999999999999995,13.5,34.5,1,1,1,0.5,1,1,1.25,5.5
2002-05-02,Tennessee,2.5434780000000003,5,9.5,5,0.030229,0.0465,5.5,39.5,1.03958325,1.4,8.75,1,1,1,0,5.5
2002-05-03,Tennessee,4.956522,12,11.5,11,0.016625,0.0215,3,18,1.51666675,3.575,4,2.75,1,1,0,5.5
2002-05-04,Tennessee,3.717391,7,10.5,7,0.016646,0.028999999999999998,11.5,24.5,1.121875,1.9,5.75,1.25,1,1,0,5.5
2002-05-05,Tennessee,1.847826,6,9.5,5.5,0.027625,0.044,10.5,37,1,1,1,0.5,1,1,0,5.5
2002-05-06,Tennessee,3.6086955,6.5,2.5,6,0.0322705,0.040999999999999995,10.5,34.5,1,1,1,0.5,1,1,0,5.5
2002-05-07,Tennessee,3.173913,7,3,6.5,0.0310205,0.043,9.5,36.5,1,1,1,0.5,1,1,0,5.5
2002-05-08,Tennessee,2.673913,4.5,1.5,4.5,0.034187499999999996,0.0475,17,40,1,1,1,0.5,1,1,0,5.5
2002-05-09,Tennessee,3.1739135,6,20.5,5.5,0.030021,0.040999999999999995,8.5,34.5,1,1,1,0.5,1,1,0,5.5
2002-05-10,Tennessee,2.9565219999999997,8.5,4.5,8,0.026145500000000002,0.035500000000000004,6,30,1.01979175,1.325,4.5,1,1,1,0,5.5
2002-05-11,Tennessee,1.2826089999999999,2.5,7.5,2.5,0.033958,0.047,11.5,39.5,1.01979175,1.325,4.25,1,1,1,0,5.5
2002-05-12,Tennessee,1.1304349999999999,2,5.5,2,0.0388335,0.047,7.5,40,1,1,1,0.5,1,1,0,5.5
2002-05-13,Tennessee,1.326087,3,5,3,0.032,0.0435,12,37,1,1,1,0.5,1,1,0,5.5
2002-05-14,Tennessee,3.1086955,11,6,10,0.035604,0.058499999999999996,11,49.5,1,1,1,0.5,1,1,0,5.5
2002-05-15,Tennessee,2.5652175,4.5,5.5,4.5,0.044667,0.067,9.5,73.5,1.10208325,2,5.5,1.75,1,1,0,5.5
2002-05-16,Tennessee,4.304348,9.5,3,9,0.048146,0.067,7.5,74,1,1,1,0.5,1,1,0,5.5
2002-05-17,Tennessee,3.5,10,12,9.5,0.034125,0.0465,5,39.5,1,1,1,0.5,1,1,0,5.5
2002-05-18,Tennessee,1.3260869999999998,5.5,12,5,0.033458,0.042499999999999996,9.5,36,1,1,1,0.5,1,1,0,5.5
2002-05-19,Tennessee,1.9782609999999998,8,14,7.5,0.036250000000000004,0.0565,11,47.5,1.03958325,1.4,4.25,1,1,1,0,5.5
2002-05-20,Tennessee,2.282609,7.5,5.5,7,0.038541500000000006,0.058499999999999996,10,49.5,1,1,1,0.5,1,1,0,5.5
