Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2013-08-01,Washington,3.704167,7,6,7,0.017042,0.02,9,19,0.45,0.8500000000000001,4.5,0,0.12943749999999998,0.23099999999999998,3,1.5
2013-08-02,Washington,8.225,22.7,22,21,0.008958,0.014,0,13,0.504348,0.8,4.5,0,0.1582425,0.2465,17.5,1
2013-08-03,Washington,12.573913,24,21,23,0.012833,0.026,12,24,1.617702,6.2,22,5.5,0.1990415,0.2185,11,1
2013-08-04,Washington,10.254545,25.9,19,24,0.02075,0.033,11,31,1.597619,3.1,7.5,2,0.193087,0.277,0.5,1
2013-08-05,Washington,15.5875,41.1,20,39,0.017083,0.028,10,26,1.2729165,3.45,4.5,3,0.224667,0.39749999999999996,6.5,1.5
2013-08-06,Washington,17.616667,32.8,21,30,0.01575,0.032,11,30,2.2506215000000003,4.95,7,3.5,0.20417400000000002,0.2525,4,1
2013-08-07,Washington,20.304167,34.7,20,32,0.01125,0.028,11,26,2.5770835,4.95,7,3.5,0.2182915,0.313,7.5,1.5
2013-08-08,Washington,8,21,0,20,0.014417,0.026,12,24,0.714596,1.3,5.5,0.5,0.1495215,0.24000000000000002,0.5,1
2013-08-09,Washington,17.9375,38.4,19,36,0.010958,0.022,10,20,2.1812500000000004,7.35,7,5.5,0.202146,0.3245,8.5,1.5
2013-08-10,Washington,8.9125,28.4,20,26,0.012375,0.021,10,19,0.971212,2.95,20,2,0.1574315,0.2585,9.5,1
2013-08-11,Washington,5.686364,24.6,19,23,0.019417,0.029,10,27,0.616234,1.1,22,0.5,0.112375,0.199,9.5,1
2013-08-12,Washington,8.729167,22.8,21,21,0.018792,0.029,10,27,0.8590065,1.75,16,1.5,0.120862,0.20400000000000001,1,1
2013-08-13,Washington,10.85,17.8,8,16,0.016833,0.037,10,34,0.7270835,1.2,23,0.5,0.165979,0.229,13.5,1
2013-08-16,Washington,11.022222,27,21,25,0.014583,0.029,11,27,1.313354,3.15,2.5,2,0.220185,0.3705,3.5,1.5
2013-08-17,Washington,6.495652,24.2,20,23,0.016292,0.023,11,21,1.7881985,9.25,20,8,0.119333,0.23650000000000002,10.5,1
2013-08-18,Washington,3.568182,6.3,17,6,0.022667,0.026,9,24,0.545238,0.75,5.5,0,0.11979000000000001,0.182,8.5,1
2013-08-19,Washington,8.58,27.8,3,25,0.023333,0.031,11,29,0.6016665,1,4.5,0.5,0.143354,0.21650000000000003,5,1
2013-08-20,Washington,5.0875,8.6,12,8,0.023958,0.03,13,28,0.6381985,0.9500000000000001,10.5,0.5,0.114848,0.1295,10.5,0.5
2013-08-21,Washington,10.266667,23.7,18,22,0.021708,0.03,10,28,0.7979164999999999,1.35,13.5,0.5,0.1695835,0.23,14,1
2013-08-22,Washington,22.758333,40.1,22,38,0.01425,0.02,10,19,2.3391305,5.8,17,4.5,0.2522065,0.4085,15.5,1.5
2013-08-23,Washington,3.254167,6.5,19,6,0.014583,0.025,23,23,0.3979165,0.6499999999999999,19.5,0,0.114625,0.214,11.5,1.5
2013-08-24,Washington,5.634783,19,16,18,0.0265,0.032,7,30,0.9674245,3.95,16.5,3,0.135975,0.2225,16,1
2013-08-25,Washington,9.590909,23.7,20,22,0.018167,0.025,10,23,1.006818,2.35,12.5,1.5,0.1678955,0.33899999999999997,20.5,1.5
2013-08-26,Washington,13.129167,23.9,9,22,0.010958,0.023,10,21,0.7245345,1.75,10.5,1.5,0.20825,0.29000000000000004,3,1.5
2013-08-27,Washington,13.370833,26,18,25,0.013583,0.023,9,21,0.9083334999999999,2.25,19,1.5,0.1994375,0.3415,7,1.5
2013-08-28,Washington,17.1875,38.3,20,36,0.008583,0.022,10,20,1.004969,2.15,22,1.5,0.22332950000000001,0.3645,9,1.5
2013-08-29,Washington,8.745455,17.9,0,16,0.010333,0.015,9,14,0.44166649999999996,0.9500000000000001,1,0.5,0.187,0.2205,9,1
2013-08-30,Washington,7.022727,15.9,18,14,0.023708,0.034,10,31,0.5295030000000001,1.15,19,0.5,0.1578405,0.2285,3.5,1
2013-08-31,Washington,15.173913,36.7,21,34,0.012208,0.023,11,21,1.0503105,2,17,1.5,0.212354,0.33899999999999997,22,1.5
2013-09-01,Washington,11.568182,30.7,2,28,0.018667,0.035,10,32,0.7607145,1.2,21.5,0.5,0.205815,0.32999999999999996,2,1.5
2013-09-02,Washington,13.133333,27,22,25,0.01575,0.027,10,25,0.6291665,0.9,11.5,0.5,0.1903125,0.3665,4.5,1.5
2013-09-03,Washington,18.875,33.9,19,31,0.008167,0.016,12,15,0.8568325,1.4500000000000002,10.5,0.5,0.2310835,0.34450000000000003,17,1.5
2013-09-04,Washington,18.45,35,22,33,0.008292,0.015,11,14,1.1166665,2.65,22.5,2,0.224833,0.3405,9.5,1.5
2013-09-05,Washington,17.016667,27.6,0,25,0.008167,0.012,9,11,1.470497,5.65,20,4.5,0.225025,0.292,9.5,1.5
2013-09-06,Washington,10.475,20.5,7,19,0.009292,0.018,12,17,0.41666650000000005,0.6,20,0,0.204521,0.256,10.5,1
2013-09-07,Washington,12.316667,24.5,3,23,0.009708,0.017,12,16,2.25,6.6,11,5,0.208297,0.3295,11,1.5
2013-09-08,Washington,18.518182,39.2,20,37,0.011083,0.026,10,24,1.0333335,1.35,1,0.5,0.24022900000000003,0.4395,10,1.5
2014-04-01,Washington,10.05,20,23,19,0.02425,0.032,11,30,0.3666665,0.75,14.5,0,0.2098335,0.2415,3.5,1
2014-04-02,Washington,12.229167,33.4,5,31,0.028625,0.04,11,37,0.31875,0.8999999999999999,5,0.5,0.211729,0.3065,7.5,1.5
2014-04-03,Washington,13.2875,23.4,5,22,0.025417,0.033,11,31,0.24583349999999998,0.55,8.5,0,0.23693750000000002,0.3415,7,1.5
2014-04-04,Washington,7.483333,22.4,5,21,0.033167,0.042,10,39,0.1666665,0.8,7.5,0.5,0.193104,0.2325,3.5,1
2014-04-05,Washington,7.804167,21,3,20,0.029292,0.036,20,33,0.3022725,0.85,9.5,0.5,0.2013335,0.2215,3,1
2014-04-06,Washington,4.269565,8.1,18,8,0.027708,0.037,7,34,0.1555195,0.5,14,0,0.189674,0.221,8,1
2014-04-07,Washington,9.379167,18.7,10,17,0.018792,0.031,13,29,0.5583335,2.15,13.5,1.5,0.206333,0.3015,11,1.5
2014-04-08,Washington,6.545833,13.9,7,12,0.020917,0.034,21,31,0.2020835,0.65,8,0,0.182729,0.219,4,1
2014-04-09,Washington,6.241667,13.2,16,12,0.0335,0.038,9,35,0.1166665,0.4,16.5,0,0.194021,0.219,9.5,1
2014-04-10,Washington,6.504167,11.3,18,10,0.032083,0.037,9,34,0.175,0.25,9.5,0,0.197521,0.2225,9,1
2014-04-11,Washington,6.829167,13.7,11,12,0.034417,0.043,20,40,0.15833350000000002,0.44999999999999996,11,0,0.2015625,0.2225,8,1
2014-04-12,Washington,5.879167,19.9,3,18,0.037042,0.041,0,38,0.27197,0.8,13.5,0,0.19747900000000002,0.2215,11.5,1
2014-04-13,Washington,13.726087,45.8,22,42,0.024333,0.042,11,39,0.4136365,1.5,22,0.5,0.22870649999999998,0.3435,20.5,1.5
2014-04-14,Washington,17.804167,39.6,0,37,0.030625,0.043,12,40,0.7604165,2.35,10,1.5,0.296375,0.531,7,2.5
2014-04-15,Washington,4.9625,13,8,12,0.038417,0.043,10,40,0.16875,0.44999999999999996,20,0,0.1916875,0.234,4,1
2014-04-16,Washington,12.125,21.6,19,20,0.023917,0.032,0,30,0.1875,0.35,4,0,0.227875,0.305,18.5,1.5
2014-04-17,Washington,9.0625,21.7,8,20,0.033792,0.042,18,39,0.0791665,0.15000000000000002,3.5,0,0.201646,0.2825,3.5,1.5
2014-04-18,Washington,5.734783,15.7,6,14,0.034292,0.041,13,38,0.092857,0.25,7.5,0,0.19408350000000002,0.23850000000000002,3,1
2014-04-19,Washington,7.204167,22.4,6,21,0.031708,0.043,16,40,0.12453449999999999,0.8,10,0.5,0.20725349999999998,0.3075,8,1.5
2014-04-20,Washington,8.031818,36.6,20,34,0.035857,0.048,9,44,0.26458349999999997,1.1,20,0.5,0.1942145,0.2575,9.5,1
2014-04-25,Washington,10.9625,28,4,26,0.031391,0.041,10,38,0.4083335,0.8,8,0,0.21110400000000001,0.317,6,1.5
2015-04-24,Washington,8.56,14.4,23,13,0.033042,0.038,8,35,0.29583349999999997,0.45,7,0,0.1939285,0.219,10,1
2015-04-25,Washington,8.620833,25.6,20,24,0.028958,0.039,10,36,0.45551949999999997,1.3,16,0.5,0.19575,0.261,11,1
2015-04-26,Washington,5.829167,12.7,1,11,0.0305,0.041,13,38,0.275,0.5,10,0,0.20625,0.27949999999999997,1.5,1.5
2015-04-27,Washington,13.004167,33.3,21,31,0.019542,0.027,10,25,0.35624999999999996,0.75,23,0,0.21258349999999998,0.3145,21,1.5
2015-04-28,Washington,8.383333,17.6,0,16,0.022857,0.024,4,22,0.3625,0.55,5,0,0.1954345,0.27249999999999996,4,1.5
2015-04-30,Washington,11.529412,41.9,20,39,0.035,0.044,10,41,0.342353,0.65,20,0,0.228696,0.39149999999999996,19.5,1.5
2015-05-01,Washington,5.475,12.6,9,11,0.041958,0.048,11,44,0.2708335,0.4,11,0,0.198271,0.2585,4.5,1.5
2015-05-02,Washington,5.141667,9.1,5,8,0.041375,0.049,12,45,0.364935,0.5,9.5,0,0.19027100000000002,0.20950000000000002,1,1
2015-05-03,Washington,13.529167,51.4,22,48,0.031833,0.05,11,46,0.8125,2.75,22.5,2,0.220875,0.3065,20.5,1.5
2015-05-04,Washington,6.729167,26.4,4,25,0.038167,0.046,10,43,0.35625,0.8500000000000001,1,0.5,0.2191815,0.3175,1.5,1.5
2015-05-05,Washington,4.633333,9.3,3,8,0.034125,0.042,9,39,0.22083350000000002,0.3,3.5,0,0.18975,0.2175,4,1
2015-05-06,Washington,5.775,10.3,5,9,0.022429,0.027,6,25,0.2625,0.5,13,0,0.1944165,0.2285,10,1
2015-05-08,Washington,9.020833,15.8,19,14,0.032071,0.041,14,38,0.5562499999999999,1.2000000000000002,13.5,0.5,0.2215835,0.307,8.5,1.5
2015-05-09,Washington,12.379167,25.5,1,24,0.031625,0.05,11,46,0.8487009999999999,2.95,10,2,0.27075000000000005,0.39649999999999996,3,1.5
2015-05-10,Washington,8.541667,36.3,1,34,0.031208,0.039,13,36,0.4666665,0.85,1.5,0.5,0.207958,0.345,4,1.5
