Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2006-01-01,Wisconsin,10.708333,14,5,13,0.010042,0.018,23,15,3.3229165,6.5,13,5,0.3,0.3,2.5,1.5
2006-01-02,Wisconsin,9.375,12,7,11,0.016792,0.018,0,15,3.6125,4.8,7.5,3.5,0.3,0.3,0,1.5
2006-01-03,Wisconsin,14.75,20,16,19,0.003333,0.01,0,8,3.2833335,6.15,16,5,0.35625,0.55,15.5,3
2006-01-04,Wisconsin,13.454545,19,0,18,0.004375,0.01,22,8,2.95,5.5,1,4.5,0.33125,0.5,7,2.5
2006-01-05,Wisconsin,10.083333,15,15,14,0.020542,0.032,22,27,2,2,1,1.5,0.3,0.3,0,1.5
2006-01-06,Wisconsin,12.916667,19,16,18,0.017333,0.031,0,26,2,2,1,1.5,0.3,0.3,0,1.5
2006-01-07,Wisconsin,16.541667,31,21,29,0.008792,0.013,9,11,2,2,1,1.5,0.3208335,0.65,23,2.5
2006-01-08,Wisconsin,11.166667,33,0,31,0.016417,0.022,3,19,2,2,1,1.5,0.34791649999999996,0.65,0,3
2006-01-09,Wisconsin,18,34,21,32,0.00925,0.015,11,13,2,2,1,1.5,0.3770835,0.8,22,3.5
2006-01-10,Wisconsin,24.25,34,0,32,0.005417,0.007,7,6,4.2041664999999995,15.5,13,12,0.53125,0.8500000000000001,1.5,4.5
2006-01-11,Wisconsin,19.708333,25,9,24,0.002625,0.004,19,3,4.401111,12.3,17,10.5,0.479167,0.85,10.5,4
2006-01-12,Wisconsin,25.5,37,19,35,0.00425,0.009,8,8,3.7833335,8.15,8,6.5,0.4125,0.6499999999999999,19.5,3.5
2006-01-13,Wisconsin,14.541667,27,0,25,0.013417,0.03,22,25,2,2,1,1.5,0.3375,0.5,0,3.5
2006-01-14,Wisconsin,7,13,17,12,0.024917,0.029,0,25,2,2,1,1.5,0.3,0.3,0,1.5
2006-01-15,Wisconsin,7.916667,12,8,11,0.021292,0.025,12,21,2.8229165,7.65,11,6.5,0.3,0.3,0,1.5
2006-01-16,Wisconsin,13.25,21,23,20,0.010542,0.015,9,13,2.61875,3,3.5,2,0.3,0.3,0,1.5
2006-01-17,Wisconsin,15.894737,26,6,25,0.00875,0.019,22,16,2.309317,3,4,2,0.32708349999999997,0.45,6.5,2.5
2006-01-18,Wisconsin,14,28,22,26,0.01225,0.019,0,16,2.125,4,22.5,3.5,0.3041665,0.35,8.5,1.5
2006-01-19,Wisconsin,29.083333,41,10,39,0.003708,0.005,4,4,6.0666665,16.3,10.5,13.5,0.8479165,3.7,21,13.5
2006-01-20,Wisconsin,15.291667,31,0,29,0.011208,0.016,22,14,2.24375,3.5,22.5,3,0.51875,1.85,0,13.5
2006-01-21,Wisconsin,20.208333,27,7,25,0.014708,0.019,9,16,2.0791665000000004,3.3,13,3,0.35625,0.55,12,3
2006-01-22,Wisconsin,17.166667,26,17,25,0.0128,0.014,18,12,2.687778,9.65,17,11.5,0.521111,2.45,8,5
2006-01-23,Wisconsin,20,32,17,30,0.012292,0.018,21,15,2.125,3.5,11,3,0.3520835,0.45,13.5,2.5
2006-01-24,Wisconsin,11.333333,20,7,19,0.025292,0.03,16,25,2,2,1,1.5,0.3,0.3,0,1.5
2006-01-27,Wisconsin,21.166667,28,20,26,0.008292,0.015,0,13,5.1028845,7.65,12.5,5.5,0.3041665,0.35,0,2.5
2006-01-28,Wisconsin,23.416667,29,15,27,0.008708,0.022,22,19,3.6583335,7.65,9.5,6.5,0.3083335,0.35,3,1.5
2006-01-29,Wisconsin,14.708333,32,7,30,0.00975,0.021,0,18,2,2,1,1.5,0.3020835,0.35,3,1.5
2006-01-30,Wisconsin,14.458333,23,8,22,0.016833,0.028,22,24,2,2,1,1.5,0.3,0.3,0,1.5
2006-01-31,Wisconsin,19.875,33,22,31,0.013083,0.025,0,21,4.0333335,17.8,22.5,15,0.3,0.3,0,1.5
2006-02-01,Wisconsin,18.590909,30,7,28,0.010833,0.014,9,12,4.2770835,11.3,7.5,10,0.3,0.3,0,1.5
2006-02-02,Wisconsin,22,32,7,30,0.0045,0.008,0,7,2.2041665000000004,3.65,23,3,0.3541665,0.45,6.5,2.5
2006-02-03,Wisconsin,21.375,27,3,25,0.005667,0.015,23,13,3.5270835,6.8,7.5,5,0.46875,0.8,5.5,4
2006-02-04,Wisconsin,8.5,13,2,12,0.023917,0.026,17,22,2,2,1,1.5,0.3,0.3,0,1.5
2006-02-05,Wisconsin,6.916667,13,17,12,0.0285,0.032,19,27,2,2,1,1.5,0.3,0.3,0,1.5
2006-02-06,Wisconsin,11.958333,19,18,18,0.025875,0.03,0,25,2,2,1,1.5,0.3,0.3,0,1.5
