Date,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2007-01-01,Wyoming,3.458333,7,7,7,0.0275,0.032,12,27,2.4166665,5,5,3.5,0.0339915,0.1,13,0.5
2007-01-02,Wyoming,4.291667,11,6,10,0.03,0.032,13,27,0.6416664999999999,1.2000000000000002,22.5,0.5,0.0625,0.1,0,0.5
2007-01-03,Wyoming,1.347826,10,0,9,0.035708,0.038,6,32,0.7419255,0.9500000000000001,2.5,0.5,0.0190215,0.1,0,0.5
2007-01-04,Wyoming,0.083333,1,4,1,0.03875,0.043,10,36,0.7229165,0.8500000000000001,1.5,0,0.0041665,0.05,6,0
2007-01-05,Wyoming,0.791667,8,7,8,0.034083,0.036,12,31,0.5208335,0.6499999999999999,1,0,0.0729165,0.1,2.5,0.5
2007-01-06,Wyoming,0.26087,2,8,2,0.037292,0.04,11,34,0.479193,0.6499999999999999,4.5,0,0.095652,0.15000000000000002,6.5,0.5
2007-01-07,Wyoming,0,0,0,0,0.0395,0.041,19,35,0.3229165,0.45,15.5,0,0.0875,0.1,0,0.5
2007-01-08,Wyoming,0,0,0,0,0.038042,0.04,0,34,0.25,0.35,1,0,0.041666999999999996,0.1,0,0.5
2007-01-09,Wyoming,2.583333,16,19,15,0.031875,0.035,0,30,0.4041665,0.75,23,0,0.0104165,0.05,3.5,0
2007-01-10,Wyoming,0.916667,10,0,9,0.04075,0.043,10,36,0.7354165,0.9,1,0.5,0.0104165,0.1,0,0.5
2007-01-11,Wyoming,0.041667,1,4,1,0.034167,0.038,14,32,0.56118,0.9,1,0,0.029934000000000002,0.15000000000000002,20.5,0.5
2007-01-12,Wyoming,3.052632,8,4,8,0.02925,0.031,8,26,1.3041665,3.7,4.5,3,0.0875,0.2,5.5,1
2007-01-13,Wyoming,3.458333,6,23,6,0.028333,0.03,11,25,0.8583335000000001,1.7000000000000002,6.5,0.5,0.11666699999999999,0.2,10.5,1
2007-01-14,Wyoming,8.208333,20,19,19,0.028292,0.033,8,28,0.0041665,0.1,1,0,0.2,0.25,0,1
2007-01-15,Wyoming,8.470588,17,0,16,0.02925,0.034,8,29,0.361579,0.75,17,0,0.1958335,0.3,16.5,1.5
