/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River daily hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882611, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	Water level [m] (WL) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, official
	River discharge [m**3/s] (Q) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: daily, corrected
	Quality flag [#] (Flag) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: Flag = 1 if the data value passed all the quality checks, and Flag = 0 if the data value did not pass one or more of these checks. That is, if Flag = 0, the data value is considered as suspicious
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	260385 data points
*/
Date/Time	WL [m] (daily, official)	WL [m] (daily, corrected)	Q [m**3/s] (daily, official)	Q [m**3/s] (daily, corrected)	Flag [#] (Flag = 1 if the data value pa...)
1875-01-01	1.24	1.88	11442	13363	1
1875-01-02	1.26	1.90	11508	13433	1
1875-01-03	1.28	1.92	11575	13503	1
1875-01-04	1.31	1.95	11641	13573	1
1875-01-05	1.33	1.97	11708	13643	1
1875-01-06	1.35	1.99	11775	13713	1
1875-01-07	1.38	2.01	11843	13784	1
1875-01-08	1.40	2.04	11910	13854	1
1875-01-09	1.42	2.06	11977	13925	1
1875-01-10	1.44	2.08	12045	13996	1
1875-01-11	1.47	2.10	12113	14067	1
1875-01-12	1.49	2.13	12181	14139	1
1875-01-13	1.51	2.15	12249	14210	1
1875-01-14	1.54	2.17	12317	14282	1
1875-01-15	1.56	2.19	12386	14353	1
1875-01-16	1.57	2.21	12425	14394	1
1875-01-17	1.58	2.22	12461	14431	1
1875-01-18	1.60	2.23	12497	14469	1
1875-01-19	1.61	2.24	12534	14506	1
1875-01-20	1.62	2.25	12570	14544	1
1875-01-21	1.63	2.27	12607	14582	1
1875-01-22	1.64	2.28	12643	14619	1
1875-01-23	1.66	2.29	12680	14657	1
1875-01-24	1.67	2.30	12717	14695	1
1875-01-25	1.68	2.31	12753	14733	1
1875-01-26	1.69	2.32	12790	14770	1
1875-01-27	1.71	2.34	12827	14808	1
1875-01-28	1.72	2.35	12864	14846	1
1875-01-29	1.74	2.37	12945	14931	1
1875-01-30	1.79	2.42	13089	15083	1
1875-01-31	1.84	2.47	13234	15236	1
1875-02-01	1.89	2.52	13387	15398	1
1875-02-02	1.94	2.57	13549	15569	1
1875-02-03	1.99	2.62	13712	15740	1
1875-02-04	2.04	2.67	13875	15913	1
1875-02-05	2.10	2.72	14040	16086	1
1875-02-06	2.15	2.77	14205	16260	1
1875-02-07	2.20	2.83	14371	16435	1
1875-02-08	2.25	2.88	14538	16611	1
1875-02-09	2.30	2.93	14706	16787	1
1875-02-10	2.36	2.98	14875	16965	1
1875-02-11	2.36	2.98	14886	16975	1
1875-02-12	2.36	2.98	14880	16968	1
1875-02-13	2.36	2.98	14874	16960	1
1875-02-14	2.35	2.98	14868	16953	1
1875-02-15	2.35	2.98	14862	16945	1
1875-02-16	2.35	2.97	14856	16937	1
1875-02-17	2.40	3.02	15014	17103	1
1875-02-18	2.48	3.11	15290	17394	1
1875-02-19	2.57	3.19	15568	17688	1
1875-02-20	2.65	3.27	15849	17983	1
1875-02-21	2.74	3.36	16131	18280	1
1875-02-22	2.82	3.44	16416	18580	1
1875-02-23	2.90	3.53	16703	18882	1
1875-02-24	2.95	3.57	16860	19046	1
1875-02-25	2.96	3.58	16881	19067	1
1875-02-26	2.96	3.58	16902	19088	1
1875-02-27	2.97	3.59	16924	19109	1
1875-02-28	2.98	3.59	16945	19131	1
1875-03-01	2.98	3.60	16966	19151	1
1875-03-02	2.99	3.60	16985	19170	1
1875-03-03	2.99	3.61	17004	19189	1
1875-03-04	3.01	3.63	17058	19244	1
1875-03-05	3.03	3.64	17124	19312	1
1875-03-06	3.05	3.66	17190	19380	1
1875-03-07	3.05	3.67	17206	19396	1
1875-03-08	3.05	3.66	17199	19388	1
1875-03-09	3.05	3.66	17193	19379	1
1875-03-10	3.05	3.66	17186	19371	1
1875-03-11	3.04	3.66	17180	19363	1
1875-03-12	3.04	3.66	17173	19354	1
1875-03-13	3.06	3.68	17253	19438	1
1875-03-14	3.11	3.72	17396	19587	1
1875-03-15	3.15	3.76	17539	19736	1
1875-03-16	3.19	3.80	17683	19887	1
1875-03-17	3.23	3.84	17827	20037	1
1875-03-18	3.27	3.88	17972	20188	1
1875-03-19	3.31	3.92	18117	20340	1
1875-03-20	3.33	3.94	18169	20393	1
1875-03-21	3.32	3.93	18155	20377	1
1875-03-22	3.32	3.93	18142	20362	1
1875-03-23	3.31	3.92	18128	20346	1
1875-03-24	3.31	3.92	18115	20330	1
1875-03-25	3.31	3.92	18101	20315	1
1875-03-26	3.30	3.91	18088	20299	1
1875-03-27	3.30	3.91	18074	20283	1
1875-03-28	3.30	3.90	18061	20268	1
1875-03-29	3.29	3.90	18040	20245	1
1875-03-30	3.28	3.89	18010	20212	1
1875-03-31	3.27	3.88	17980	20179	1
1875-04-01	3.26	3.87	17950	20146	1
1875-04-02	3.26	3.86	17920	20112	1
1875-04-03	3.25	3.85	17889	20078	1
1875-04-04	3.24	3.84	17858	20045	1
1875-04-05	3.23	3.83	17828	20011	1
1875-04-06	3.22	3.82	17797	19977	1
1875-04-07	3.21	3.82	17766	19944	1
1875-04-08	3.20	3.81	17736	19910	1
1875-04-09	3.19	3.80	17705	19877	1
1875-04-10	3.19	3.79	17675	19843	1
1875-04-11	3.18	3.78	17644	19810	1
1875-04-12	3.17	3.77	17614	19776	1
1875-04-13	3.16	3.76	17583	19743	1
1875-04-14	3.17	3.77	17605	19764	1
1875-04-15	3.21	3.81	17754	19920	1
1875-04-16	3.25	3.85	17904	20077	1
1875-04-17	3.29	3.89	18055	20234	1
1875-04-18	3.34	3.94	18206	20392	1
1875-04-19	3.38	3.98	18358	20550	1
1875-04-20	3.42	4.02	18510	20709	1
1875-04-21	3.42	4.02	18504	20700	1
1875-04-22	3.38	3.98	18370	20558	1
1875-04-23	3.34	3.94	18236	20416	1
1875-04-24	3.31	3.91	18104	20275	1
1875-04-25	3.27	3.87	17971	20134	1
1875-04-26	3.23	3.83	17839	19994	1
1875-04-27	3.19	3.79	17707	19854	1
1875-04-28	3.16	3.75	17576	19714	1
1875-04-29	3.12	3.72	17445	19575	1
1875-04-30	3.08	3.68	17315	19436	1
1875-05-01	3.05	3.64	17198	19312	1
1875-05-02	3.02	3.62	17100	19208	1
1875-05-03	2.99	3.59	17003	19103	1
1875-05-04	2.96	3.56	16905	18999	1
1875-05-05	2.94	3.53	16808	18896	1
1875-05-06	2.88	3.47	16618	18695	1
1875-05-07	2.81	3.40	16369	18430	1
1875-05-08	2.73	3.33	16121	18168	1
1875-05-09	2.66	3.25	15875	17907	1
1875-05-10	2.59	3.18	15630	17647	1
1875-05-11	2.51	3.10	15387	17390	1
1875-05-12	2.44	3.03	15146	17134	1
1875-05-13	2.38	2.97	14956	16931	1
1875-05-14	2.38	2.97	14964	16938	1
1875-05-15	2.39	2.98	14972	16945	1
1875-05-16	2.39	2.98	14979	16952	1
1875-05-17	2.39	2.98	14987	16959	1
1875-05-18	2.40	2.99	15025	16998	1
1875-05-19	2.43	3.02	15115	17091	1
1875-05-20	2.46	3.04	15205	17185	1
1875-05-21	2.48	3.07	15295	17279	1
1875-05-22	2.51	3.10	15385	17373	1
1875-05-23	2.54	3.13	15476	17467	1
1875-05-24	2.57	3.15	15567	17562	1
1875-05-25	2.59	3.18	15658	17657	1
1875-05-26	2.62	3.21	15750	17752	1
1875-05-27	2.65	3.23	15841	17847	1
1875-05-28	2.68	3.26	15933	17943	1
1875-05-29	2.70	3.28	16001	18013	1
1875-05-30	2.72	3.30	16067	18082	1
1875-05-31	2.74	3.32	16134	18150	1
1875-06-01	2.76	3.34	16201	18220	1
1875-06-02	2.78	3.36	16285	18307	1
1875-06-03	2.81	3.39	16370	18395	1
1875-06-04	2.83	3.41	16455	18484	1
1875-06-05	2.86	3.44	16541	18572	1
1875-06-06	2.88	3.46	16626	18661	1
1875-06-07	2.91	3.49	16712	18749	1
1875-06-08	2.93	3.51	16798	18838	1
1875-06-09	2.96	3.54	16884	18928	1
1875-06-10	2.98	3.56	16970	19017	1
1875-06-11	2.98	3.56	16969	19015	1
1875-06-12	2.97	3.55	16930	18972	1
1875-06-13	2.96	3.54	16891	18930	1
1875-06-14	2.95	3.53	16852	18888	1
1875-06-15	2.89	3.47	16646	18670	1
1875-06-16	2.82	3.40	16426	18437	1
1875-06-17	2.76	3.34	16207	18205	1
1875-06-18	2.69	3.27	15990	17975	1
1875-06-19	2.63	3.21	15774	17745	1
1875-06-20	2.56	3.14	15559	17518	1
1875-06-21	2.50	3.08	15345	17291	1
1875-06-22	2.44	3.01	15133	17066	1
1875-06-23	2.38	2.95	14938	16859	1
1875-06-24	2.32	2.90	14763	16673	1
1875-06-25	2.27	2.84	14588	16488	1
1875-06-26	2.21	2.79	14415	16304	1
1875-06-27	2.16	2.73	14243	16121	1
1875-06-28	2.11	2.68	14072	15939	1
1875-06-29	2.11	2.68	14075	15941	1
1875-06-30	2.11	2.68	14082	15947	1
1875-07-01	2.11	2.68	14088	15952	1
1875-07-02	2.12	2.69	14125	15990	1
1875-07-03	2.20	2.77	14380	16258	1
1875-07-04	2.28	2.85	14637	16528	1
1875-07-05	2.36	2.93	14897	16800	1
1875-07-06	2.44	3.01	15158	17075	1
1875-07-07	2.52	3.09	15421	17351	1
1875-07-08	2.60	3.17	15687	17629	1
1875-07-09	2.68	3.25	15954	17909	1
1875-07-10	2.76	3.33	16223	18191	1
1875-07-11	2.84	3.41	16494	18475	1
1875-07-12	2.88	3.45	16632	18618	1
1875-07-13	2.89	3.46	16648	18633	1
1875-07-14	2.89	3.46	16664	18649	1
1875-07-15	2.90	3.46	16680	18664	1
1875-07-16	2.90	3.47	16696	18680	1
1875-07-17	2.91	3.47	16712	18695	1
1875-07-18	2.91	3.48	16728	18711	1
1875-07-19	2.92	3.48	16744	18726	1
1875-07-20	2.90	3.46	16677	18655	1
1875-07-21	2.80	3.36	16335	18294	1
1875-07-22	2.70	3.26	15996	17936	1
1875-07-23	2.60	3.16	15661	17582	1
1875-07-24	2.49	3.06	15328	17231	1
1875-07-25	2.39	2.96	14999	16882	1
1875-07-26	2.29	2.86	14673	16537	1
1875-07-27	2.19	2.76	14350	16196	1
1875-07-28	2.09	2.65	14030	15857	1
1875-07-29	2.00	2.56	13735	15545	1
1875-07-30	1.99	2.55	13695	15501	1
1875-07-31	1.97	2.53	13655	15458	1
1875-08-01	1.96	2.52	13615	15414	1
1875-08-02	1.95	2.51	13575	15371	1
1875-08-03	1.94	2.49	13536	15328	1
1875-08-04	1.92	2.48	13496	15285	1
1875-08-05	1.91	2.47	13456	15241	1
1875-08-06	1.90	2.46	13417	15198	1
1875-08-07	1.88	2.44	13377	15155	1
1875-08-08	1.87	2.43	13327	15101	1
1875-08-09	1.76	2.31	12985	14740	1
1875-08-10	1.65	2.20	12648	14382	1
1875-08-11	1.54	2.09	12314	14028	1
1875-08-12	1.42	1.98	11985	13678	1
1875-08-13	1.31	1.87	11659	13332	1
1875-08-14	1.20	1.76	11336	12989	1
1875-08-15	1.09	1.65	11018	12651	1
1875-08-16	0.99	1.55	10736	12351	1
