/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River monthly hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882612, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6844 data points
*/
Date/Time	WL month mean [m] (monthly, official)	WL month mean [m] (monthly, corrected)	Q month mean [m**3/s] (monthly, official)	Q month mean [m**3/s] (monthly, corrected)
1875-01	1.54	2.17	12332	14295
1875-02	2.45	3.08	15213	17316
1875-03	3.17	3.78	17623	19823
1875-04	3.24	3.84	17881	20052
1875-05	2.63	3.22	15789	17807
1875-06	2.65	3.23	15858	17839
1875-07	2.53	3.10	15474	17394
1875-08	1.14	1.70	11215	12856
1875-09	0.38	0.92	9074	10551
1875-10	1.40	1.93	11995	13606
1875-11	2.16	2.68	14390	16090
1875-12	0.58	1.09	9628	11041
1876-01	2.00	2.50	13799	15397
1876-02	2.05	2.53	13913	15479
1876-03	2.92	3.39	16769	18425
1876-04	3.17	3.63	17631	19283
1876-05	2.02	2.47	13815	15265
1876-06	2.06	2.50	13929	15346
1876-07	1.60	2.03	12542	13862
1876-08	0.72	1.13	9975	11143
1876-09	0.37	0.77	9035	10126
1876-10	0.69	1.08	9893	10992
1876-11	0.05	0.43	8231	9221
1876-12	1.01	1.38	10798	11868
1877-01	1.14	1.50	11173	12223
1877-02	1.41	1.76	11993	13038
1877-03	3.16	3.49	17586	18779
1877-04	3.84	4.17	20044	21265
1877-05	3.72	4.03	19581	20746
1877-06	3.67	3.97	19415	20532
1877-07	2.55	2.84	15551	16525
1877-08	2.57	2.84	15646	16581
1877-09	2.00	2.26	13783	14633
1877-10	1.56	1.81	12386	13163
1877-11	2.27	2.52	14696	15491
1877-12	3.10	3.34	17395	18212
1878-01	3.36	3.58	18312	19106
1878-02	3.93	4.14	20386	21176
1878-03	4.97	5.17	24417	25228
1878-04	5.65	5.83	27231	28035
1878-05	5.90	6.07	28322	29089
1878-06	5.84	6.00	28047	28760
1878-07	5.12	5.27	25027	25657
1878-08	3.98	4.12	20581	21113
1878-09	2.38	2.51	14978	15402
1878-10	2.67	2.79	15916	16312
1878-11	2.84	2.95	16494	16857
1878-12	3.13	3.22	17469	17801
1879-01	2.77	2.85	16255	16537
1879-02	4.03	4.10	20781	21052
1879-03	4.60	4.66	22923	23163
1879-04	4.83	4.88	23851	24049
1879-05	4.73	4.77	23476	23627
1879-06	3.85	3.88	20075	20173
1879-07	3.24	3.25	17889	17942
1879-08	1.91	1.91	13480	13490
1879-09	0.86	0.85	10380	10357
1879-10	0.48	0.46	9320	9268
1879-11	0.72	0.69	10002	9916
1879-12	0.74	0.70	10062	9944
1880-01	2.95	2.90	16906	16719
1880-02	4.04	3.98	20816	20568
1880-03	5.02	4.95	24652	24338
1880-04	5.39	5.30	26157	25787
1880-05	5.25	5.15	25588	25174
1880-06	4.92	4.81	24214	23764
